idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
0,02/01/2015,0.4509804379889626,0.6392027106903765,0.5020643804507039,0.55175819923638,0.507812399591783,0.5572032930863859,0.5816911250873515,0.45740806394430655,0.38939123790117175,0.4999398677089597,0.48030878716603337,0.5029042750929368,0.8124622265200049,0.6875,0.24242424242424243,0.2727272727272727,0.3924050632911392,0.35714285714285715,0.5555555555555556,0.6666666666666666,0.20935960591133007,0.3619047619047619,0.15,0.0,0.6989795918367349,0.19636363636363635,0.5851648351648351,0.2,0.49011857707509887,0.5714285714285714,0.15737704918032788,0.5,0.4871794871794872,0.6662576687116565,0.09512485136741974,0.4,0.6989795918367349,0.19636363636363635,0.5851648351648351,0.2,0.5284552845528454,0.5352480417754568,0.41214057507987223,0.4
1,05/01/2015,0.480392175195585,0.58803989995103,0.5020643804507039,0.45269927114539876,0.46874984283931237,0.5015038557139049,0.7956673654786862,0.45740806394430655,0.38939123790117175,0.4999398677089597,0.48030878716603337,0.5029042750929368,0.49413755590475045,0.5,0.24242424242424243,0.3719008264462809,0.3924050632911392,0.35714285714285715,0.5555555555555556,0.3333333333333333,0.332512315270936,0.48214285714285715,0.11206896551724135,0.0,0.7551020408163267,0.22909090909090907,0.3571428571428572,0.1,0.774703557312253,0.5894465894465895,0.0778688524590164,0.2,0.7905982905982905,0.6196319018404909,0.06420927467300833,0.2,0.7551020408163267,0.22909090909090907,0.3571428571428572,0.1,0.5447154471544717,0.566579634464752,0.4696485623003195,0.4
2,06/01/2015,0.4019608759779253,0.5395349568140873,0.5203181480710057,0.4952944515149954,0.5273437245341484,0.5221331272965472,0.3853249475890986,0.45740806394430655,0.38939123790117175,0.4999398677089597,0.6588263675290995,0.5029042750929368,0.4474797534147226,0.609375,0.24242424242424243,0.2727272727272727,0.3924050632911392,0.5,0.5555555555555556,0.4666666666666667,0.3866995073891626,0.5166666666666667,0.1551724137931034,0.0,0.7908163265306124,0.24848484848484848,0.6346153846153846,0.2,0.8379446640316207,0.5971685971685972,0.0778688524590164,0.2,0.8247863247863247,0.660122699386503,0.08561236623067778,0.2,0.7908163265306124,0.24848484848484848,0.6346153846153846,0.2,0.5691056910569106,0.537859007832898,0.5271565495207666,0.4
3,07/01/2015,0.49019608759779226,0.6744185692835067,0.5016297519384016,0.5403664451787061,0.5273436314018884,0.5561718295072537,0.7956673654786862,0.45740806394430655,0.38939123790117175,0.4999398677089597,0.8644231349134551,0.5029042750929368,0.49413755590475045,0.5,0.24242424242424243,0.2727272727272727,0.3924050632911392,0.5,0.5555555555555556,0.3333333333333333,0.4211822660098523,0.5142857142857142,0.16379310344827583,0.0,0.8061224489795921,0.2642424242424243,0.6840659340659341,0.2,0.774703557312253,0.6615186615186615,0.1795081967213115,0.5,0.7478632478632478,0.739877300613497,0.13079667063020214,0.5,0.8061224489795921,0.2642424242424243,0.6840659340659341,0.2,0.5528455284552847,0.4099216710182767,0.6421725239616612,0.4
4,08/01/2015,0.6176471825701995,0.7308971152276597,0.49445869643361107,0.6404159852233873,0.4882811677816776,0.5499830480324609,0.3853249475890986,0.45740806394430655,0.38939123790117175,0.4999398677089597,0.48030878716603337,0.5029042750929368,0.49413755590475045,0.5,0.24242424242424243,0.2727272727272727,0.3924050632911392,0.35714285714285715,0.5555555555555556,0.38888888888888884,0.3916256157635468,0.5107142857142858,0.09310344827586206,0.0,0.7653061224489798,0.2606060606060606,0.5357142857142857,0.2,0.7588932806324112,0.6846846846846848,0.12295081967213117,0.5,0.7649572649572649,0.7251533742331288,0.098692033293698,0.5,0.7653061224489798,0.2606060606060606,0.5357142857142857,0.2,0.5365853658536586,0.47519582245430825,0.584664536741214,0.4
5,09/01/2015,0.44117652558675513,0.627907153582469,0.5068450841205642,0.566121789155151,0.5273436314018884,0.6067139489840745,0.49564407174470065,0.45740806394430655,0.38939123790117175,0.25965123271196633,0.8496471865388094,0.5029042750929368,0.49413755590475045,0.5,0.24242424242424243,0.2727272727272727,0.3924050632911392,0.35714285714285715,0.5555555555555556,0.3333333333333333,0.3866995073891626,0.5202380952380953,0.14137931034482756,0.2,0.8163265306122451,0.2727272727272727,0.5934065934065935,0.2,0.8616600790513834,0.5791505791505791,0.06557377049180327,0.2,0.8760683760683758,0.6147239263803681,0.07609988109393578,0.2,0.8163265306122451,0.2727272727272727,0.5934065934065935,0.2,0.5853658536585369,0.47258485639686665,0.6421725239616612,0.4
6,12/01/2015,0.49999999999999967,0.5694350802024092,0.5618234912721561,0.5854382499025066,0.41015614740899564,0.5159443458217546,0.457372466806429,0.8101975698585103,0.6007068262862966,0.4999398677089597,0.5457652332991576,0.5029042750929368,0.49413755590475045,0.49739583333333337,0.6060606060606061,0.2760330578512396,0.3924050632911392,0.4087301587301587,0.5555555555555556,0.3333333333333333,0.3546798029556651,0.6666666666666667,0.2637931034482758,0.2,0.7755102040816328,0.29333333333333333,0.5549450549450551,0.2,0.7233201581027668,0.7490347490347491,0.11639344262295084,0.5,0.7521367521367521,0.7128834355828221,0.0873959571938169,0.5,0.7755102040816328,0.29333333333333333,0.5549450549450551,0.2,0.5609756097560976,0.47258485639686665,0.4696485623003195,0.4
7,13/01/2015,0.3137255474862033,0.7169436905173494,0.5879004671311666,0.6156512532006416,0.5273436314018886,0.5417311373497307,0.749017780883609,0.45740806394430655,0.38939123790117175,0.4999398677089597,0.48030878716603337,0.5029042750929368,0.49413755590475045,0.6274801587301587,0.24242424242424243,0.2727272727272727,0.3924050632911392,0.35714285714285715,0.5555555555555556,0.3333333333333333,0.3497536945812808,0.5226190476190476,0.5258620689655171,0.0,0.7142857142857145,0.3321212121212121,0.4560439560439561,0.2,0.7905138339920951,0.6332046332046333,0.07540983606557378,0.2,0.8205128205128203,0.6257668711656442,0.08620689655172414,0.2,0.7142857142857145,0.3321212121212121,0.4560439560439561,0.2,0.5609756097560976,0.4255874673629241,0.4696485623003195,0.4
8,14/01/2015,0.4313726131845477,0.5614617308634036,0.47837796639208846,0.47894982662873725,0.46874993597157205,0.5025353192930374,0.5540554390868857,0.45740806394430655,0.38939123790117175,0.5384245339747444,0.48030878716603337,0.5029042750929368,0.49413755590475045,0.567376893939394,0.24242424242424243,0.2727272727272727,0.3924050632911392,0.35714285714285715,0.5555555555555556,0.3333333333333333,0.28325123152709364,0.4833333333333332,0.1862068965517241,0.0,0.7142857142857145,0.273939393939394,0.5934065934065935,0.2,0.7154150197628459,0.7374517374517375,0.14590163934426228,0.5,0.7478632478632478,0.7460122699386503,0.2170035671819263,0.5,0.7142857142857145,0.273939393939394,0.5934065934065935,0.2,0.5853658536585369,0.4595300261096604,0.4696485623003195,0.4
9,15/01/2015,0.4215685839104855,0.5461796258200969,0.4951106392020644,0.4804358390292415,0.507812399591783,0.543794064507995,0.5910485507969785,0.45740806394430655,0.7058392766174224,0.4999398677089597,0.810385380857608,0.5029042750929368,0.49413755590475045,0.5022321428571428,0.24242424242424243,0.3884297520661157,0.3924050632911392,0.5714285714285714,0.5555555555555556,0.3333333333333333,0.270935960591133,0.3392857142857143,0.11034482758620687,0.0,0.7551020408163267,0.2351515151515151,0.5741758241758241,0.5,0.6679841897233203,0.6936936936936935,0.12131147540983606,0.5,0.7435897435897436,0.6993865030674847,0.059453032104637336,0.5,0.7551020408163267,0.2351515151515151,0.5741758241758241,0.5,0.5528455284552847,0.47258485639686665,0.5271565495207666,0.4
