idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob
21,03/02/2015,0.1299998760223388,1.9599990844726487,0.0,1.460002899169922,0.0,0.3992195129394567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.25,0.0,0.0,0.0,0.0
22,04/02/2015,0.1500000953674316,-0.759998321533196,0.0,-0.5300025939941477,0.0,-0.477117538452152,0.0,0.0,-0.07543333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,05/02/2015,-0.0299999713897705,-0.8199996948242188,0.0,0.9000015258789134,0.0999999046325683,0.4868545532226562,0.0,0.0,0.0,0.4215,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0
24,06/02/2015,0.1099998950958252,0.220001220703125,0.0,1.3300018310546875,-0.0999999046325683,-0.1363201141357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0
25,09/02/2015,0.2100000381469726,0.3599967956542897,0.0,1.05999755859375,-0.0499999523162837,0.2726402282714879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,10/02/2015,0.2799999713897705,0.0200004577636789,0.0,0.029998779296875,0.0,-0.1071090698242223,-0.37895,0.0,0.0,0.0,0.03936666666666666,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
27,11/02/2015,0.0,0.1399993896484375,0.0,1.0100021362304688,-0.1000001430511479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,12/02/2015,-0.059999942779541,0.7900009155273438,0.0,0.779998779296875,0.0,0.3797473907470703,0.0,0.0,0.0,-0.128,0.0,0.0,0.0,0.0,0.0,0.0,-0.3888888888888889,0.0,0.0,0.0
29,13/02/2015,0.0299999713897705,0.9799995422363352,0.0,0.6300010681152344,0.0499999523162841,0.6913337707519531,-0.38273333333333337,0.0,0.0,0.0,0.3818,0.0,0.5574,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727
30,17/02/2015,-0.1800000667572021,0.170001983642571,0.1437397342681883,0.2000007629394531,-0.0499999523162841,0.3797473907470703,0.0,0.0,0.0,-0.18728333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,18/02/2015,-0.0099999904632568,0.3600006103515625,0.0,0.0699996948242187,0.0499999523162841,-0.0486850738525355,-0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,19/02/2015,-0.059999942779541,0.5,0.0,-0.4300003051757812,0.0,0.3213233947753835,-0.296,0.0,0.0,0.0,0.0,0.0,-0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,20/02/2015,-0.1499998569488521,0.8999977111816406,0.0,1.0400009155273438,0.0500001907348637,-0.3018493652343679,0.0,0.0,0.0,0.15073333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.30952380952380953,0.0,0.0,0.0
34,23/02/2015,0.02999997138977,0.3799972534179687,0.0,0.0900001525878906,0.0,-0.2044792175293004,0.0,0.0,0.0,0.096125,0.0,0.0,0.3818,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0
35,24/02/2015,0.0299999713897705,0.3700027465820312,0.0,0.5200004577636719,0.75,0.0389480590820277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.025
36,25/02/2015,0.0799999237060551,0.0100021362304687,0.0,0.25,-0.150000095367432,0.3505344390869211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0
37,26/02/2015,0.1700000762939448,0.1999969482421875,0.1665742989540102,-0.0300025939941406,-0.0499999523162841,-0.3213233947753977,0.0,0.0,-0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,27/02/2015,0.0199999809265136,-0.1199951171875,-0.0532803209304808,0.2700004577636719,0.0499999523162841,-0.1363182067871093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,02/03/2015,-0.1700000762939453,1.2599945068359375,0.0327879768371579,0.1100006103515625,0.0499999523162841,-0.0584239959716796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,03/03/2015,-0.0799999237060546,-0.55999755859375,-0.0322024570465089,0.0600013732910156,-0.0499999523162841,-0.0097370147705042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,04/03/2015,0.0199999809265136,-0.0400009155273437,-0.0380573720932004,-1.3400001525878906,0.0999999046325683,0.0584239959716832,-0.5994,0.0,0.0,0.0,-0.2936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,05/03/2015,-0.0099999904632568,-0.0499954223632812,0.0673322301864622,-0.1200027465820241,-0.1999998092651362,-0.2726402282714844,0.0,0.0,0.0,-0.09509999999999999,0.0,0.0,-0.1027,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
43,06/03/2015,0.0299999713897705,-0.4300003051757812,-0.0731872866630554,-0.4499969482421946,0.0499999523162837,-0.7594928741455078,0.0,0.0,0.0,-0.34,-0.7003,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0
44,09/03/2015,-0.0199999809265136,0.2999954223632812,-0.0386427504539488,0.0699996948242187,0.0499999523162841,-0.4284324645996094,0.0,0.0,0.0,-0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05357142857142857,0.0,0.25
45,10/03/2015,-0.0399999618530273,-1.5699996948242188,-0.0137592907905577,-0.5600013732910156,-0.0499999523162841,-0.3018493652343785,0.0,0.0,0.0,-0.0258,0.0,0.0,-0.5387090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,11/03/2015,-0.0299999713897705,0.2099990844726562,-0.048596445465088,-0.7999992370605469,0.0499999523162841,-0.5063304901123011,0.0,-0.7096,-0.7096,-0.0258,-0.7096,0.0,0.0,0.0,0.0,0.0,0.08409090909090909,0.0,0.0,0.0
47,12/03/2015,-0.0099999904632568,1.3100051879882812,0.009953553581238,0.1100006103515625,0.0,-0.2726383209228551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,13/03/2015,-0.0199999809265132,-1.3000030517578125,-0.0670396117210392,-0.710002899169929,-0.0999999046325679,-0.6426486968994141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,16/03/2015,0.02999997138977,0.1999969482421875,0.0281039599418639,-0.1499977111816335,0.0,0.0876331329345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,17/03/2015,0.1399998664855957,1.3600006103515625,-0.0076114744186397,-0.2999992370605469,-0.0500001907348637,-0.3992195129394531,0.0,0.0,0.0,-0.2202,0.07508000000000001,0.0,0.03533333333333333,0.0,0.0,0.0,0.05606060606060606,0.0,0.0,0.39999999999999997
51,18/03/2015,0.0299999713897705,0.3400039672851562,0.05006010351181,0.2599983215332031,0.0500001907348637,-3.3592987060546875,0.0,0.0,0.0,0.0,-0.33784615384615385,0.0,-0.6486,0.0,0.0,0.0,0.0,-0.015384615384615385,0.0,0.0
52,19/03/2015,0.0500001907348637,-0.5800018310546875,0.0456688465118408,-1.0800018310546875,-0.0500001907348637,-0.7594947814941406,0.0,0.0,0.0,-0.3825,-0.131675,0.0,0.0,0.0,0.0,0.0,-0.35,-0.025,0.0,0.0
53,20/03/2015,0.1099998950958247,0.529998779296875,-0.0248837425231933,0.5800018310546875,0.0500001907348637,0.9639720916748048,0.0,0.0,0.0,0.0,0.045649999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.3625,0.0,0.0
54,23/03/2015,0.2599999904632568,0.1200027465820312,-0.0067330533027649,-0.3400001525878906,0.0499999523162837,0.4284343719482422,0.0,0.0,0.0,-0.0726,-0.5106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,24/03/2015,-0.0199999809265136,-0.4599990844726562,0.0910449331283569,0.0900001525878906,-0.0499999523162837,0.4673805236816406,0.0,0.0,0.0,0.0,0.05904999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,25/03/2015,0.0,-2.6300010681152344,0.0298602364540099,-0.8199996948242188,-0.150000095367432,-0.5355415344238281,0.3818,0.0,0.0,-0.451,0.033184615384615396,0.0,0.0,0.0,0.0,0.0,-0.05,-0.017482517482517484,0.0,0.0
57,26/03/2015,0.3900001049041748,0.539997100830071,0.0111245931625367,-0.1800003051757812,0.0,-0.5452766418457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,27/03/2015,-0.0300002098083496,0.1500015258789133,-0.0254691208839417,0.5499992370605469,-0.0999999046325679,-0.7010707855224609,0.0,0.0,0.0,0.0,-0.11631666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0
59,30/03/2015,0.1600000858306884,1.4199981689453125,-0.0310315588951108,0.8800010681152344,-0.0500001907348637,0.2823753356933594,0.0,0.0,0.0,-0.7579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,31/03/2015,0.0,-1.1800003051757812,0.0105389319419859,0.4099998474121094,0.1500000953674316,0.0097370147705078,0.0,0.0,0.2023,0.0,-0.22020000000000003,0.0,-0.2202,0.0,0.0,0.5,0.0,-0.16666666666666666,0.0,0.0
61,01/04/2015,-0.1299998760223388,0.3600006103515625,0.1662815390586853,-0.2700004577636719,-0.0499999523162841,0.1752681732177734,-0.0258,0.0,0.0,0.0,0.42793333333333333,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
62,02/04/2015,0.1999998092651367,0.0200042724609375,0.1580845448493955,0.3199996948242187,0.2000000476837162,0.379745483398441,0.0,0.0,0.0,0.0516,-0.21484999999999999,0.0,0.4215,0.0,0.0,0.0,0.0,-0.075,0.0,0.0
63,06/04/2015,0.1400001049041748,0.4399948120117187,0.0,2.1100006103515625,0.0999999046325679,0.0681610107421839,0.0,0.0,0.0,0.6705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,07/04/2015,-0.1800000667572021,-0.1999969482421875,0.0336662565231327,0.25,0.0,0.1071071624755859,0.5106,0.0,0.0,0.0,0.0,0.0,-0.16184,0.25,0.0,0.0,0.0,0.0,0.0,0.10909090909090909
65,08/04/2015,0.2000000476837158,0.44000244140625,-0.1261749891281125,0.6300010681152344,-0.0999999046325679,0.1947422027587926,0.0,0.0,0.0,0.0,-0.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,09/04/2015,0.4800000190734863,0.3600006103515625,0.0679178914070122,3.1299972534179688,0.0,-0.0486850738525426,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,10/04/2015,0.059999942779541,0.7599945068359375,0.2014113121986391,-0.2599983215332031,0.0499999523162837,-0.1363201141357422,0.06743333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
68,13/04/2015,0.3800001144409179,0.470001220703125,-0.0535730808258052,-0.3699989318847656,0.0499999523162841,0.8276538848876953,0.0,0.0,0.0,0.0,0.7184,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
69,14/04/2015,-0.3600001335144043,0.2399978637695312,-0.1039259442329409,0.5900001525878906,0.0,-0.6426486968994105,0.0,-0.5267,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-0.25
70,15/04/2015,-0.049999713897705,1.1200027465820312,-0.1551569458961486,0.3400001525878906,0.0499999523162841,0.9737110137939418,0.0,0.0,0.0,0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0
71,16/04/2015,0.179999828338623,-0.3700027465820312,0.0117099715232846,-0.5699996948242188,-0.0999999046325683,0.9152870178222656,0.0,0.0,0.0,0.0,0.3818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,17/04/2015,-0.1300001144409179,-0.3699951171875,-0.0093680337905881,0.30999755859375,0.0,-0.5647525787353516,0.0258,0.0,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0
73,20/04/2015,0.1300001144409179,0.2999954223632812,-0.054743978977203,0.1399993896484304,0.0,-0.8666019439697266,0.0,0.0,0.0,0.0,-0.10115,0.0,0.2732,0.0,0.0,0.0,0.0,0.25,0.0,0.0
74,21/04/2015,0.119999885559082,0.2600021362304687,0.0793349616050715,-0.4399986267089772,0.0,0.0778961181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,22/04/2015,-0.049999713897705,0.19000244140625,0.060306275558472,0.1899986267089772,0.0,0.14605712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.07294285714285716,0.0,0.0,0.0,0.0,-0.056649831649831665,0.0,0.06753246753246753
76,23/04/2015,0.1299996376037597,0.4199981689453125,0.0292749995231624,0.0100021362304758,0.0499999523162841,1.7916259765625,0.25,0.0,0.0,0.0,0.0,0.0,0.41496666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,24/04/2015,-0.0399999618530273,-0.410003662109375,-0.08226270198822,0.0499992370605468,0.0,0.194742202758789,0.0,0.0,0.0,0.0,-0.34,0.0,-0.34,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,-0.30000000000000004
78,27/04/2015,-0.179999828338623,0.3600006103515625,0.0099536950111389,-0.4799995422363281,0.0,-0.340799331665039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635
79,28/04/2015,-0.1900000572204589,0.4500045776367187,-0.090166936302185,0.9300003051757812,0.150000095367432,0.0389499664306676,0.0,0.0,0.0,0.4215,-0.1271,0.0,-0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,29/04/2015,-0.1399998664855957,-0.2000045776367187,0.0283968612670897,0.7999992370605469,-0.1000001430511479,0.175266265869137,0.0,0.0,0.0,0.0,0.1589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,30/04/2015,-0.1300001144409179,-0.9799957275390624,0.0058547736167908,-0.5499992370605469,0.2999999523162842,0.0292129516601526,0.0,0.0,0.0,0.0,0.0,0.0,-0.06364,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454
82,01/05/2015,-0.2699999809265136,0.3199996948242187,0.0,0.7399978637695241,-0.1499998569488525,0.6426467895507884,0.0,0.0,0.0,0.30674999999999997,0.0,0.0,0.316125,0.0,0.0,0.0,0.048863636363636366,0.0,0.0,0.0
83,04/05/2015,-0.1800000667572021,-0.2000045776367187,0.1288096867561341,-0.3199996948242116,0.0499999523162841,-0.7692298889160227,0.0,0.0,0.0,-0.5106,0.0,0.0,0.0,0.0,0.0,0.0,-0.20454545454545456,0.0,0.0,0.0
84,05/05/2015,-0.0199999809265136,-0.6800003051757812,-0.1490092709541322,-0.1199989318847656,0.0499999523162841,-0.0584220886230433,-0.463,0.0,0.0,0.0,0.5574,0.0,0.0,0.125,0.0,0.0,0.0,0.21363636363636362,0.0,0.0
85,06/05/2015,-0.0999999046325683,-0.0399932861328125,-0.0594281373023986,0.0,0.1500000953674316,-0.0486869812011718,-0.04526,0.0,0.0,-0.3182,0.41474,0.0,0.4939,0.0,0.0,0.0,-0.25,0.12,0.0,0.0
