,idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
12,12,21/01/2015,-0.0600000619888303,0.0200004577636789,0.0175648865699769,0.8100013732910156,-0.0499999523162837,0.925024032592777,0.15293333333333334,0.0,0.0,0.0,0.20413333333333336,0.0,0.6808,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.2,40.5,28.5,0,16.6,32.2,38.2,2,20.5,80.2,16.9,5,20.4,79.9,19.4,5,16.6,32.2,38.2,2,19.3,71.1,25.9,2
13,13,22/01/2015,0.0199999809265134,1.2800025939941406,0.0169795082092285,0.9399986267089844,0.0,0.5452766418457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009375000000000001,0.0,0.0,0.0,0.0,1.6,29.3,23.7,0,17.3,29.0,33.5,2,22.3,77.3,18.4,5,21.8,77.8,23.3,5,17.3,29.0,33.5,2,19.5,71.1,27.7,2
14,14,23/01/2015,-0.0099999904632566,-0.19000244140625,0.0,-2.709999084472656,0.0499999523162837,-0.0876331329345703,0.0736,-0.2732,0.0,0.0,0.22296,0.0,0.4404,0.1361111111111111,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,5.4,28.2,34.6,0,16.2,33.6,37.8,2,20.9,82.6,19.4,5,21.6,80.0,23.4,5,16.2,33.6,37.8,2,19.5,69.9,22.3,2
15,15,26/01/2015,0.0299999713897705,0.3400001525878906,0.0,0.2999992370605469,-0.1000001430511474,0.3992214202880859,0.0,0.0,0.0,0.0,0.0,0.0,-0.31756666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,9.1,38.4,40.7,0,16.1,38.6,37.1,5,24.5,67.1,22.3,0,24.3,66.6,22.3,5,16.1,38.6,37.1,5,19.9,70.9,24.1,0
16,16,27/01/2015,-0.0299999713897705,-0.5200004577636648,0.0,-0.7700004577636719,0.0,0.3310604095458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,7.7,76.7,28.0,4,13.9,41.0,35.3,0,25.6,65.1,25.9,2,25.2,66.3,25.9,5,13.9,41.0,35.3,0,21.1,70.4,24.1,2
17,17,28/01/2015,0.0900000333786015,-0.4799995422363352,0.0,-1.0,0.1000001430511474,-0.6523857116699219,-0.05036874999999998,0.0,0.0,0.0,0.06780000000000001,0.0,0.31303333333333333,0.009035669191919189,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,6.6,65.8,16.4,2,14.3,35.9,30.2,0,23.2,67.4,20.5,5,23.1,70.3,27.8,5,14.3,35.9,30.2,0,21.6,63.5,24.1,0
18,18,29/01/2015,0.1000000238418572,0.9500007629394532,0.0,-7.599998474121094,-0.0499999523162837,-0.3115863800048828,0.038365306122448976,0.0,0.07443333333333334,-0.43394999999999995,0.125,0.0,0.0,0.1084243798529513,0.0,-0.01363636363636364,-0.35,0.125,0.0,0.0,7.4,60.2,16.6,2,15.4,39.0,38.5,2,17.2,80.8,19.1,5,19.0,78.9,19.4,5,15.4,39.0,38.5,2,20.8,72.8,25.9,2
19,19,30/01/2015,-0.0199999809265132,-1.1199989318847656,0.0,0.4899978637695312,-0.0500001907348637,-0.3018493652343714,0.0006785714285714271,0.0,0.0,0.0,0.0,0.0,-0.4404,0.11191848330241187,0.08,0.0,0.0,0.0,0.0,-0.16666666666666666,7.8,56.6,33.7,2,15.2,42.8,28.8,2,18.9,85.1,18.8,5,19.2,87.8,16.9,5,15.2,42.8,28.8,2,20.3,73.3,27.7,2
20,20,02/02/2015,0.0299999713897702,1.2599983215332031,0.0,-0.3400001525878906,0.1000001430511474,0.2044792175292933,0.06294285714285715,0.0,0.16871666666666665,0.0,0.8617,0.0,-0.239825,0.09058441558441557,0.0,0.11022727272727273,0.0,0.625,0.0,-0.0451388888888889,6.8,37.9,15.9,0,17.1,36.6,36.7,2,25.5,70.8,20.6,2,25.1,72.7,18.4,2,17.1,36.6,36.7,2,20.9,72.2,24.1,2
21,21,03/02/2015,0.1299998760223388,1.9599990844726487,0.0,1.460002899169922,0.0,0.3992195129394567,0.037837499999999996,0.0,0.0,0.0,0.0,0.0,0.0,-0.06937499999999999,0.0,0.1,0.0,0.0,0.0,0.0,7.3,43.7,16.1,0,17.5,40.6,41.0,2,27.0,64.0,22.3,2,26.5,66.2,22.3,2,17.5,40.6,41.0,2,21.0,73.2,24.1,2
22,22,04/02/2015,0.1500000953674316,-0.759998321533196,0.0,-0.5300025939941477,0.0,-0.477117538452152,-0.08533333333333333,0.0,-0.02935,0.0,0.0,0.0,0.4767,0.0,0.0,0.046464646464646465,0.0,0.0,0.0,0.0,7.0,40.4,16.4,0,16.9,44.0,39.2,2,26.3,64.5,20.2,2,25.8,66.1,16.9,5,16.9,44.0,39.2,2,20.3,74.6,24.1,2
23,23,05/02/2015,-0.0299999713897705,-0.8199996948242188,0.0,0.9000015258789134,0.0999999046325683,0.4868545532226562,0.18051666666666666,0.0,0.0,0.4215,0.0,0.0,0.0,-0.13333333333333333,0.0,-0.2916666666666667,0.0,0.0,0.0,0.0,8.5,37.6,19.6,0,16.4,41.0,36.7,2,25.4,74.4,28.0,5,24.0,77.5,39.9,5,16.4,41.0,36.7,2,19.8,78.1,25.9,2
