,headline,date,snippet,source
0,Top South Korean presidential candidate would review THAAD process: advisers,17/03/2017,"an advanced U.S. missile defense system and would consult China, two of his top sparked outrage in China, which responded with restrictions on some",reuters
1,Top S.Korean presidential candidate would review THAAD process - advisers,17/03/2017,"to deploy the THAAD battery had beenmade hastily. China's reaction anadvanced U.S. missile defence system and would consult China,two",reuters
2,BRIEF-China Bak Battery says board approves changes to co's fiscal year end from September 30 to December 31,17/01/2017,Jan 17 (Reuters) - Cbak Energy Technology Inc :* China Bak Battery,reuters
