headline,date,stock
"Benzinga's Top Pre-Market NASDAQ Losers (MCOX, CBAK, STX, ASML)",30/11/2010,CBAK
China BAK Appoints Marcus Cui as Interim CFO,30/11/2010,CBAK
China BAK Reports Fourth Quarter EPS of $(0.08),30/11/2010,CBAK
"Stocks Crossing Over 50 Day and 200 Day Moving Averages (AAN, CBAK, CCNE)",24/11/2010,CBAK
China BAK Awarded a New Contract,10/09/2010,CBAK
"Benzinga’s Top Pre-Market Losers (PLXT, AMED, ZRAN, CBAK, AINV)",27/04/2010,CBAK
Electric Car Stocks,08/03/2010,CBAK
"China BAK, Conn's Are Early Winners",09/02/2010,CBAK
"Benzinga’s Top Pre-Market Gainers (LXK, ANN, CMI, XOM, CITP, CBAK)",02/02/2010,CBAK
"Company News for December 30, 2009 - Corporate Summary",30/12/2009,CBAK
"Benzinga’s Top Pre- Market Losers (CBAK, JASO, JNJ, QGEN, ACAS, MPEL, EGLE)",30/12/2009,CBAK
China BAK Battery Inc.’s (NASDAQ: CBAK) Declines After CFO Denied Rumors,30/12/2009,CBAK
"Benzinga’s Pre-Market Gainers (AMKR, CBAK, STEC, APWR, XING)",23/12/2009,CBAK
"Benzinga’s Top Pre- Market Gainers (IAG, CBAK, JBL, XING, AMKR, JASO, INTC)",22/12/2009,CBAK
China BAK Battery   (CBAK)   Fiscal 2009 Q4 Earnings Conference Call,24/11/2009,CBAK
A New Smart Grid ETF (GRID),17/11/2009,CBAK
China BAK (CBAK) to Raise $20.6 Million in Registered Direct Offering,22/10/2009,CBAK
"Today’s Top Gainers (EJ,CFW,MVIS,CBAK,DSCO)",30/09/2009,CBAK
"New 52-Week High Stocks (VMED,JBL,ITUB,MVIS,CBAK)",30/09/2009,CBAK
