retrieved_at,tweet_id,tweet_created_at,tweet_year,query,sensitive,lang,source,username,user_id,text,in_reply_to_id,in_reply_to_name,rt_count,reply_count,like_count,quote_count,has_media,if_video_duration,if_video_views,media_url,tweet_url,ent_hashtags,ent_mentions,ent_anotation_types,ent_anotation_elements,place_id,place_name,coordinates
2022-08-16 16:02:00.806324,1211702149039607808,2019-12-30T17:34:39.000Z,2019,($ENS) lang:en,False,en,Tickeron,Tickeron,374729426,$ENS in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators: https://t.co/5JNwVsqmDd #Enersys #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/9gPmVwy7jC,false,false,0,0,0,0,['photo'],0.0,0,['https://pbs.twimg.com/media/ENDUrujU4AAPyj9.jpg'],https://twitter.com/Tickeron/status/1211702149039607808,Enersys;stockmarket;stock;technicalanalysis;money;trading;investing;daytrading;news;today,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211608230444572672,2019-12-30T11:21:27.000Z,2019,($ENS) lang:en,False,en,Zapier.com,WatchlistN,2298709746,EnerSys $ENS Expected to Post Earnings of $1.13 Per Share https://t.co/hLieDuC1MN,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/WatchlistN/status/1211608230444572672,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211608210316185600,2019-12-30T11:21:22.000Z,2019,($ENS) lang:en,False,en,Zapier.com,TickerReport,1979190776,$1.13 EPS Expected for EnerSys $ENS This Quarter https://t.co/vc5HzwBaDS,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/TickerReport/status/1211608210316185600,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211608029801721856,2019-12-30T11:20:39.000Z,2019,($ENS) lang:en,False,en,Zapier.com,CFinancialNews,732361939490312192,EnerSys $ENS Expected to Post Earnings of $1.13 Per Share https://t.co/UsiAEnKrr0 #markets,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/CFinancialNews/status/1211608029801721856,markets,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211608026127486976,2019-12-30T11:20:38.000Z,2019,($ENS) lang:en,False,en,Zapier.com,AmericanBanking,61661638,EnerSys $ENS Expected to Post Earnings of $1.13 Per Share https://t.co/OidLPL8OeS #stocks,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/AmericanBanking/status/1211608026127486976,stocks,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211451537907703810,2019-12-30T00:58:48.000Z,2019,($ENS) lang:en,False,en,Zapier.com,storminvestor,2416188264,EnerSys $ENS Sees Large Growth in Short Interest  https://t.co/ogipDshjYg #markets,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/storminvestor/status/1211451537907703810,markets,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211409193132969984,2019-12-29T22:10:33.000Z,2019,($ENS) lang:en,False,en,Tickeron,Tickeron,374729426,$ENS in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators: https://t.co/xoZ9w9qIHO #Enersys #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/S1jMnZEjJa,false,false,0,0,0,0,['photo'],0.0,0,['https://pbs.twimg.com/media/EM_KPdNVUAEC4mn.jpg'],https://twitter.com/Tickeron/status/1211409193132969984,Enersys;stockmarket;stock;technicalanalysis;money;trading;investing;daytrading;news;today,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211098642897100801,2019-12-29T01:36:32.000Z,2019,($ENS) lang:en,False,en,Zapier.com,dakotafinancial,2920258887,Short Interest in EnerSys $ENS Rises By 19.1% https://t.co/RnJJNRkIKI,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/dakotafinancial/status/1211098642897100801,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1211097831399923712,2019-12-29T01:33:18.000Z,2019,($ENS) lang:en,False,en,Zapier.com,TheMarketsDaily,849417718642159616,Short Interest in EnerSys $ENS Rises By 19.1% https://t.co/a2GVv1oqEE,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/TheMarketsDaily/status/1211097831399923712,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1210987951468904449,2019-12-28T18:16:41.000Z,2019,($ENS) lang:en,False,en,Tickeron,Tickeron,374729426,$ENS in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators: https://t.co/QFAGfI3cTh #Enersys #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/5xtI0IcWxA,false,false,1,0,0,0,['photo'],0.0,0,['https://pbs.twimg.com/media/EM5LH9wUwAALVN_.jpg'],https://twitter.com/Tickeron/status/1210987951468904449,Enersys;stockmarket;stock;technicalanalysis;money;trading;investing;daytrading;news;today,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1210693117625720832,2019-12-27T22:45:07.000Z,2019,($ENS) lang:en,False,en,Zapier.com,TranscriptDaily,852931863547084801,EnerSys $ENS Short Interest Update https://t.co/yHKs8ZbEHA,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/TranscriptDaily/status/1210693117625720832,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1210692218182406145,2019-12-27T22:41:33.000Z,2019,($ENS) lang:en,False,en,Zapier.com,CFinancialNews,732361939490312192,EnerSys $ENS Short Interest Update https://t.co/JPl9GVCEte #markets,false,false,0,0,0,0,['false'],0.0,0,['false'],https://twitter.com/CFinancialNews/status/1210692218182406145,markets,false,false,false,false,false,false
