idx,headline,date,snippet,source
19,Stalled market Lithium knocked by oversupply and cut in electric-vehicle subsidy,27/08/2019,"Chile’s SQM, the world’s second-largest producer, last week said its earnings for the second quarter had almost halved, to $70.2m, because of lower lithium prices.",ft
20,Companies / Sectors / People,25/01/2019,"AngloAmerican.......................................16Ford.................................................................14 Mashable.......................................................12 SJMHoldings.............................................13 Airlines.....................................................16,16Jinghe,Chen...............................................16Aozora............................................................13FormosaPlastics........................................7 McCormick..................................................20 SQM.................................................................16 Automobiles....................................10,12,14Kapoor,Rakesh.......................................20ApolloGlobalManagement.........12,13Freeport-McMoRan.........................16,20 Merck..............................................................16 STMicroelectronics................................20 Banks.............................................................20Kelly,Gary...................................................16",ft
21,Companies / Sectors / People,23/10/2017,"Audi..................................................................15Facebook.........................................9,13,14,15 Mercedes......................................................15 Rusal................................................................16 Airlines...........................................................14Cagney,Mike..............................................13BMW................................................................15Ford..................................................................15 MonarchAirlines.....................................14 SQM.................................................................14 Automobiles................................................15Deripaska,Oleg........................................16BankofCommunications...................14Geely...............................................................15 MorganStanley.......................................13 Schroders...................................................14 Banks..............................................................13Dimon,Jamie..............................................13",ft
22,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"China has seized the opportunity. Tianqi Lithium Corp snapped up a 24 per cent stake in SQM, a Chilean lithium miner, for $4bn, the country’s biggest foreign investment in 2018. Chinese companies have also invested in the electricity, renewable energy, salmon and fruit sectors in the past year.",ft
23,Tesla signs deal with Australia’s Kidman Resources,18/05/2018,"Kidman is developing the Mount Holland hard rock lithium project in Western Australia in a joint venture with Chile’s SQM, the world’s second-largest producer of the battery raw material.",ft
24,Companies / Sectors / People,27/02/2018,"BAIC................................................................10GeneralElectric..................................11,20 SNCF.................................................................7 Vodafone......................................................10 Aschenbroich,Jacques........................14 Seidman,Leslie..........................................11BYD.................................................................10Gogo................................................................16 SQM.................................................................19 Volkswagen.................................................14 Barton,Dominic........................................13 Singh,Malvinder......................................14BancoPopular...........................................12GoldmanSachs.........................................12 SamsungElectronics.............................10 WadhwaniAssetManagement.......19 Blodget,Henry..........................................12 Singh,Shivinder.......................................14",ft
25,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,"Shares in the world’s largest producer, Albemarle, have dropped 24 per cent year to date while Chile’s SQM is off by 27 per cent.",ft
26,Companies / Sectors / People,30/01/2018,"Apple................................................................9EY......................................................................12 KraftHeinz..................................................13 SQM.................................................................14 ZTE....................................................................4 Flannery,John..........................................14ArdenPartners.........................................12EasyJet..........................................................19 LinkedIn........................................................18 Sanofi.........................................................10,11 Sectors Gamgort,Bob..........................................1,13",ft
27,Political scandals put brake on reform agenda,28/04/2015,"While the rightwing UDI party has been deeply damaged by a campaign finance scandal, after politicians invoiced lithium producer SQM and financial group Penta for services that were never provided, Ms Bachelet’s credibility has also been severely dented by accusations that her son and daughter-in-law abused their political influence...",ft
28,Chinese groups go where western rivals fear to tread,25/01/2019,Their largest acquisition last year was the $4.1bn purchase of a 24 per cent stake in Chilean lithium miner SQM by China’s Tianqi Lithium.,ft
