,headline,date,snippet,source
0,EMERGING MARKETS-Latam stock rally fades after Trump tweet dashes U.S.-China trade hopes,13/12/2019,maker SociedadQuimica y Minera de Chile S.A serving as the best * Latam markets still set for weekly gains * Chile stocks extend,reuters
1,RPT-Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,05/05/2019,makerSociedad Quimica y Minera de Chile S.A. (SQM).But even,reuters
2,Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,03/05/2019,with battery chemicals maker Sociedad Quimica y Minera de Chile S.A. (SQM,reuters
3,Wesfarmers bets on electric cars with $544 million bid for Australian lithium miner Kidman,02/05/2019,"is developing Mt Holland in partnerhsip with Chile's Sociedad Quimica y Minera de Chile S.A. (SQM), said the deal has the potential",reuters
4,EMERGING MARKETS-Latam stocks post biggest weekly loss of 2019; FX dips,01/03/2019,"pressured by lithium producerSociedad Quimica y Minera de Chile, which-run oil firm Pemex. Chile's peso fell for a third straight day",reuters
5,"EMERGING MARKETS-Latam FX dips, Brazil's real soft as traders trim positions",01/03/2019,"Sociedad Quimica y Minera de Chile, which reported a disappointing-owned oil company Pemex. Chile's peso slipped 0.1 percent, weighed",reuters
6,"EMERGING MARKETS-Latam stocks, currencies dip; Trump-Kim meet's early end hits sentiment",28/02/2019,"Quimica y Minera de Chile's preferred shares leading the declines. Stocks in Chile slid 0.8 percent, with lithiumproducer Sociedad",reuters
7,"REFILE-EMERGING MARKETS-Latam FX softer, real drops on caution about pension reform",21/02/2019,", pushed up by a 2.4 percent risein lithium giant Sociedad Quimica y Minera de Chile's preferredshares. That performance came as fellow",reuters
8,"EMERGING MARKETS-Latam FX gains in cautious trade, Brazil stocks clock new closing peak",14/01/2019,"three-month closing peak, helped by lithium miner SociedadQuimica y Minera de Chile S.A.'s 0.6 percent rise. Argentine stocks lost 0.3",reuters
9,"EMERGING MARKETS-Latam FX gains against soft dollar, stocks mostly slip",20/12/2018,YMinera De Chile SA tumbled about 7.6 percent after awarning 1.1 percent. Securities of Chilean lithium major Sociedad Quimica,reuters
