headline,date,stock
36 Biggest Movers From Friday,2018-11-26 06:26:04-04:00,CBAK
35 Stocks Moving In Friday's Mid-Day Session,2018-11-23 13:25:12-04:00,CBAK
"CBAK Energy shares up 23% on very heavy volume. While no news specific to the company seems to be impacting shares, the stock is likely seeing increased interest amid attention to Chinese momentum issues.",2018-11-23 10:50:43-04:00,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 8th",2018-08-09 11:10:18-04:00,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 7th",2018-08-08 11:06:25-04:00,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 6th",2018-08-07 11:28:58-04:00,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 2nd",2018-08-03 11:22:04-04:00,CBAK
"Stocks Which Set New 52-Week Low Yesterday, August 1st",2018-08-02 11:07:51-04:00,CBAK
"Stocks Which Set New 52-Week Low Yesterday, July 31",2018-08-01 12:16:58-04:00,CBAK
UPDATE: Not Seeing News In Chinese Momentum Stocks To Justify Dramatic Price Action,2018-01-05 11:52:01-04:00,CBAK
"Chinese Nano-Cap Momentum Stocks Sharply Higher Fri: ChinaCache, China Info Tech Shares Up 77%, The9 40%, China Green Ag, China Techfaith 19%, China Ceramics, Origin Agritech 16%, China Recycling, China Lending, China New Borun, Dragon Victory, Yulong 10%",2018-01-05 00:00:00,CBAK
"Electric Vehicle/Battery Cos. Higher Wed., Likely On The Heels Of EV News Out Of GM, Ford: Kandi Technologies Up 22%, CBAK Energy Up 10%, Energous Up 4.4%",2017-10-04 00:00:00,CBAK
"Companies Holding Shareholder Meetings Today Include: CBAK Energy, China Ceramics, Conagra Brands, Frontline, Golden Ocean, Intuitive Surgical, and Ship Finance",2017-09-22 00:00:00,CBAK
Mid-Afternoon Market Update: Dow Gains 125 Points; Crude Oil Up 5%,2016-03-16 00:00:00,CBAK
Mid-Day Market Update: Peabody Energy Slides Amid Possible Bankruptcy; Bio Blast Pharma Shares Surge,2016-03-16 00:00:00,CBAK
Mid-Morning Market Update: Markets Edge Higher; Oracle Earnings Top Views,2016-03-16 00:00:00,CBAK
