datetime,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions
2015-05-31,11.4,79.0,9.6,2
2015-06-01,12.8,78.2,11.2,2
2015-06-02,11.1,80.6,14.5,0
2015-06-03,13.2,77.5,13.8,0
2015-06-04,15.3,76.1,14.5,0
2015-06-05,16.3,70.1,15.0,0
2015-06-06,17.5,73.8,13.5,0
2015-06-07,17.4,72.4,14.0,0
2015-06-08,18.2,86.4,11.7,2
2015-06-09,17.9,82.4,17.1,2
2015-06-10,18.4,80.4,18.4,2
2015-06-11,14.5,84.4,22.3,1
2015-06-12,11.8,87.8,12.5,2
2015-06-13,13.3,84.1,15.0,2
2015-06-14,13.7,73.1,16.3,2
2015-06-15,13.0,71.5,21.3,2
2015-06-16,11.0,78.9,10.9,2
2015-06-17,12.2,66.9,27.0,2
2015-06-18,11.3,55.0,23.4,2
2015-06-19,8.1,72.0,22.3,2
2015-06-20,9.7,70.3,13.0,0
2015-06-21,11.3,72.1,14.8,0
2015-06-22,12.9,68.5,21.8,2
2015-06-23,11.0,71.3,20.3,2
2015-06-24,9.8,77.5,14.3,2
2015-06-25,11.5,83.7,10.4,2
2015-06-26,13.5,71.4,15.3,2
2015-06-27,14.6,86.7,12.7,2
2015-06-28,15.3,84.3,12.2,2
2015-06-29,16.7,78.8,14.0,2
2015-06-30,12.9,68.8,18.4,0
2015-07-01,12.8,77.0,15.8,2
2015-07-02,12.1,80.0,10.4,2
2015-07-03,12.5,75.9,27.2,5
2015-07-04,9.4,84.2,16.9,4
2015-07-05,8.8,83.2,15.8,5
2015-07-06,11.1,68.5,24.1,2
2015-07-07,11.4,67.3,15.8,2
2015-07-08,9.2,70.4,13.8,0
2015-07-09,11.4,68.0,16.6,0
2015-07-10,13.2,69.7,13.7,2
2015-07-11,14.7,71.7,15.6,2
2015-07-12,14.4,66.7,18.4,0
2015-07-13,15.2,49.8,28.8,2
2015-07-14,9.4,78.6,17.8,5
2015-07-15,9.3,80.9,11.6,2
2015-07-16,9.6,73.4,14.8,2
2015-07-17,9.8,74.5,12.7,0
2015-07-18,12.0,66.8,15.0,0
2015-07-19,12.1,67.9,16.6,2
2015-07-20,10.8,69.7,33.5,5
2015-07-21,8.4,69.5,13.0,5
2015-07-22,9.4,60.5,14.3,2
2015-07-23,10.7,68.0,10.9,0
2015-07-24,11.1,67.3,16.9,0
2015-07-25,11.3,67.0,18.1,0
