idx,headline,date,source
77,Trial delays put a brake on e-scooter makers’ UK ambitions,24/12/2021,The Guardian
78,UK accused of ignoring plight of green activists in Afghanistan,29/09/2021,The Guardian
79,Electric car batteries with five-minute charging times produced,19/01/2021,The Guardian
80,‘What if we just gave up cars?’: Cop26 leaders urged to dream big,10/11/2021,The Guardian
81,How Australia's 'white gold' could power the global electric vehicle revolution,09/09/2020,The Guardian
82,Is deep-sea mining a cure for the climate crisis or a curse?,29/08/2021,The Guardian
83,World leaders announce plan to make green tech cheaper than alternatives,02/11/2021,The Guardian
84,Why sustainability is no longer an optional extra for brands – it’s an essential,14/02/2022,The Guardian
85,Climate activists are being killed for trying to save our planet. There is a way to help | Bill McKibben,13/09/2021,The Guardian
86,‘Zombie batteries’ causing hundreds of waste fires,26/10/2020,The Guardian
87,Flying electric car takes off in South Australian desert ahead of Formula One-style races,17/06/2021,The Guardian
88,‘What am I going to do?’: soaring prices fuel calls for US government to step in,30/04/2022,The Guardian
89,​​Meet the companies embracing ESG reporting: what is it and how can your business benefit?,13/09/2021,The Guardian
90,Air of crisis around Rolls-Royce appears to be fading,13/10/2020,The Guardian
91,Nobel prize in chemistry awarded for work on lithium-ion batteries,09/10/2019,The Guardian
92,The UK has been linked to Congo’s ‘conflict minerals’ – where are the criminal charges? | Vava Tampa,21/07/2021,The Guardian
93,The week in audio: This Union; Neil Oliver’s Love Letter to the British Isles; Electric Ride UK and more,18/09/2021,The Guardian
94,‘Dramatically more powerful’: world’s first battery-electric freight train unveiled,16/09/2021,The Guardian
95,UK car industry ‘could lose 90,29/06/2021,The Guardian
96,Blueprint for emissions reduction: major industry policy changes needed for Australia to reach net zero,22/08/2021,The Guardian
97,Powerhouses: nanotechnology turns bricks into batteries,11/08/2020,The Guardian
98,Anthony Albanese sends mixed signals on fossil fuels as Labor wrestles over climate policy,02/06/2021,The Guardian
99,Elon Musk: I tried to sell Tesla to Apple,23/12/2020,The Guardian
100,Electric vehicles close to ‘tipping point’ of mass adoption,22/01/2021,The Guardian
101,‘I know they’re exciting – but calm down!’ Britain’s love-hate affair with the e-scooter,27/04/2022,The Guardian
102,Nobel prize in chemistry awarded for development of lithium-ion batteries – as it happened,09/10/2019,The Guardian
103,Annotated solutions for Genius 206,06/09/2020,The Guardian
104,Mining boom could herald commodity 'supercycle',17/02/2021,The Guardian
105,Australia’s living standards have risen and economy is ‘roaring back’,11/04/2021,The Guardian
106,Cornish copper find raises hopes for once 'richest square mile',22/04/2020,The Guardian
107,Chile’s political establishment has been swept away – now there's hope for change | Kirsten Sehnbruch,27/05/2021,The Guardian
108,Activists angry over Perth festival Fringe World’s new deal with fossil fuel giant Woodside,23/06/2021,The Guardian
109,Is India’s pledge of net zero by 2070 an ambitious target – or worthless words?,05/11/2021,The Guardian
110,If we want to fight the climate crisis,21/06/2021,The Guardian
111,Out of thin air: can hydropanels bring water to parched communities?,05/10/2021,The Guardian
112,After the failure of Cop26,14/11/2021,The Guardian
113,Ineos signs hydrogen fuel cell deal for its off-road vehicle,23/11/2020,The Guardian
114,Nasa leads push for electric planes in next frontier of cutting emissions,18/05/2021,The Guardian
115,EV battle heats up in Australia with plan to sell affordable Chinese import for $35,15/04/2021,The Guardian
116,UK carmakers have three years to source local electric car batteries,03/01/2021,The Guardian
117,Australia must stop wasting time and shift to renewable energy to spark job creation,19/04/2021,The Guardian
118,Carbis Bay in Cornwall to host G7 summit in June,16/01/2021,The Guardian
119,Charging ahead: what you need to know about buying or renting an e-bike in Australia,18/02/2021,The Guardian
120,What could a good green recovery plan actually look like?,17/11/2020,The Guardian
121,Angus Taylor to announce shift in climate investment away from wind and solar,27/02/2020,The Guardian
122,Oil rallies as US and UK announce bans on Russian oil imports – business live,08/03/2022,The Guardian
123,Car battery firm scraps plan to build UK's first gigafactory in Wales,11/12/2020,The Guardian
124,Turn off the gas: is America ready to embrace electric vehicles?,23/05/2021,The Guardian
125,Australia at risk of losing billions of dollars in revenue without cultural shift to re-use,25/01/2021,The Guardian
126,‘I know how much it hurts’: Biden to release US oil in bid to lower gas prices – as it happened,31/03/2022,The Guardian
127,Going to e-waste: Australia’s recycling failures and the challenge of solar,21/08/2021,The Guardian
128,Jeanie Finlay: ‘I don’t film alpha males. They don’t need more exposure’,23/08/2021,The Guardian
129,‘Galactic Britain’: how Cornwall is winning the European space race,10/10/2021,The Guardian
130,Chinese firms prepare to charge into Europe’s electric car market,17/04/2021,The Guardian
131,Michele Tyrer obituary,04/11/2020,The Guardian
132, ‘Like slave and master’: DRC miners toil for 30p an hour to fuel electric cars,08/11/2021,The Guardian
133,Elon Musk declared himself 'technoking'. He's just a hyper-capitalist clown | Akin Olla,20/03/2021,The Guardian
134,Cosmetics,14/12/2020,The Guardian
135,Rich countries must not resist a tax deal that can do so much for the world’s poor,30/05/2021,The Guardian
136,Morning mail: Australia isolated on climate,19/04/2021,The Guardian
137,The race to give nuclear fusion a role in the climate emergency,28/08/2021,The Guardian
138,UK’s first car battery ‘gigafactory’ to be built by two startups,20/05/2020,The Guardian
139,I thought mental illness meant I'd never be a doctor. Now I'm a consultant psychiatrist | Rebecca Lawrence,16/09/2020,The Guardian
140,Michael Collins obituary,29/04/2021,The Guardian
141,Australia's cheapest EV: can it survive a week of on-street parking and one very sandy dog?,23/01/2021,The Guardian
142,Tuesday briefing: Vaccine nation – Britain's first shot at freedom,08/12/2020,The Guardian
143,New lithium hydroxide factory in Western Australia wins federal approval,03/01/2019,The Guardian
144,How UK's disused mine shafts could be used to store renewable energy,21/10/2019,The Guardian
145,Power ahead in 2021: how to buy an electric bike,26/12/2020,The Guardian
146,Davos day two: Global tax deal delayed; Von der Leyen on Russian food ‘blackmail’ – as it happened,24/05/2022,The Guardian
147,Eco-Visionaries review – the salt flats will die and the jellyfish shall rise,21/11/2019,The Guardian
148,Battery firm chooses Welsh site for Britain's first gigafactory,17/07/2020,The Guardian
149,Big on batteries: government finally seizes on lithium-ion potential,11/12/2018,The Guardian
150,Australia can be a 'renewable energy superpower',08/09/2020,The Guardian
151,Victoria plans 300MW Tesla battery to help stabilise grid as renewables increase,05/11/2020,The Guardian
152,Electric cars could be charged in 10 minutes in future,30/10/2019,The Guardian
153,Eco-Visionaries: Confronting a Planet in a State of Emergency review – speculative and oblique,30/11/2019,The Guardian
154,Cutting battery industry's reliance on cobalt will be an uphill task,05/01/2020,The Guardian
155,Robots and magnetic soap: scientists rethink oil spill clean-ups,29/09/2020,The Guardian
156,World’s largest nuclear fusion project begins assembly in France,28/07/2020,The Guardian
157,Leading the charge! Can I make it from Land’s End to John o’Groats in an electric car?,28/07/2021,The Guardian
158,'E-highways' could slash UK road freight emissions,27/07/2020,The Guardian
159,Labor asks for inquiry into how Shine Energy secured $4m grant for Collinsville coal plant study,26/07/2020,The Guardian
