retrieved_at,tweet_id,tweet_created_at,tweet_year,query,sensitive,lang,source,username,user_id,text,in_reply_to_id,in_reply_to_name,rt_count,reply_count,like_count,quote_count,has_media,if_video_duration,if_video_views,media_url,tweet_url,ent_hashtags,ent_mentions,ent_anotation_types,ent_anotation_elements,place_id,place_name,coordinates
2022-08-16 16:02:00.806324,1212021925352017920,2019-12-31T14:45:19.000Z,2019,($CBAT) lang:en,False,en,SwingTradeBotDotCom,SwingTradeBot,2422703600,Rose Above Upper Bollinger Band today: $UPLD $D $CBAT $SDRL ... https://t.co/AyIukUGmib,false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/SwingTradeBot/status/1212021925352017920,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1210628537708879872,2019-12-27T18:28:30.000Z,2019,($CBAT) lang:en,False,en,Zapier.com,ThisLincolnian,930803511918411776,CBAK Energy Technology Inc $CBAT Sees Significant Drop in Short Interest https://t.co/WGLpVJ51j1,false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/ThisLincolnian/status/1210628537708879872,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1208977902944972800,2019-12-23T05:09:28.000Z,2019,($CBAT) lang:en,False,en,Newsfilter.io,newsfilterio,1134049078424162304,"Form 8-K: On November 22, 2019, Wenwu Wang resigned as General Manager of Dalian CBAK Power Battery,, a wholly owne.. $CBAT https://t.co/8ajIPZrzWX",false,false,1,0,0,0,['false'],0,0,['false'],https://twitter.com/newsfilterio/status/1208977902944972800,false,false,Person,Wenwu Wang,false,false,false
2022-08-16 16:02:00.806324,1206577063441899520,2019-12-16T14:09:23.000Z,2019,($CBAT) lang:en,False,en,Twitter for Android,76enz,1394635735,$CBAT 8%  $VERB 11% PRE,false,false,1,0,1,0,['false'],0,0,['false'],https://twitter.com/76enz/status/1206577063441899520,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1205517585904594946,2019-12-13T15:59:24.000Z,2019,($CBAT) lang:en,False,en,Newsfilter.io,newsfilterio,1134049078424162304,"Form 8-K: On November 22, 2019, Wenwu Wang resigned as General Manager of Dalian CBAK Power Battery,, a wholly owned subsidiary of CBA.. $CBAT https://t.co/8ajIPZrzWX",false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/newsfilterio/status/1205517585904594946,false,false,Person,Wenwu Wang,false,false,false
2022-08-16 16:02:00.806324,1204891027728982016,2019-12-11T22:29:41.000Z,2019,($CBAT) lang:en,False,en,Zapier.com,WKRBNews,2181281054,CBAK Energy Technology Inc $CBAT Short Interest Update https://t.co/JD3Qxc4Jqx #markets,false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/WKRBNews/status/1204891027728982016,markets,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1203162992621129730,2019-12-07T04:03:05.000Z,2019,($CBAT) lang:en,False,en,Newsfilter.io,newsfilterio,1134049078424162304,"Form 8-K: On November 22, 2019, Wenwu Wang resigned as General Manager of Dalian CBAK Power Battery,, a wholly owned subsidiary of CBA.. $CBAT https://t.co/8ajIPZrzWX",false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/newsfilterio/status/1203162992621129730,false,false,Person,Wenwu Wang,false,false,false
2022-08-16 16:02:00.806324,1202605327813730305,2019-12-05T15:07:08.000Z,2019,($CBAT) lang:en,False,en,Microsoft Power Platform,StockPyf,896911607187611649,"Take a look at this Watchlist: 
$BLNK $CBAT $SEEL

This is a Filter ScannerAlert  scnDollHiVol
DateTime: 2019-12-05 10:07 ET",false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/StockPyf/status/1202605327813730305,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1202256534673051656,2019-12-04T16:01:09.000Z,2019,($CBAT) lang:en,False,en,Microsoft Power Platform,StockPyf,896911607187611649,"Take a look at this Watchlist: 
$POLA $ECOR $TRQ $QBIO $EGY $CBAT $NOVN

This is a Filter ScannerAlert  scnDollHiVol
DateTime: 2019-12-04 11:01 ET",false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/StockPyf/status/1202256534673051656,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1201909110330941440,2019-12-03T17:00:36.000Z,2019,($CBAT) lang:en,False,en,Microsoft Power Platform,StockPyf,896911607187611649,"Take a look at this Watchlist: 
$VTVT $VUZI $GEVO $BGFV $TORC $GERN $FLNT $CBAT $TUSK

This is a Filter ScannerAlert  scnDollHiVol
DateTime: 2019-12-03 12:00 ET",false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/StockPyf/status/1201909110330941440,false,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1201668094856437762,2019-12-03T01:02:54.000Z,2019,($CBAT) lang:en,False,en,Zapier.com,midetimes,2266388972,CBAK Energy Technology $CBAT Shares Up 17.5% https://t.co/MaZaPEO2Mi #stocks,false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/midetimes/status/1201668094856437762,stocks,false,false,false,false,false,false
2022-08-16 16:02:00.806324,1201668091542982657,2019-12-03T01:02:53.000Z,2019,($CBAT) lang:en,False,en,Zapier.com,dailypoliticaln,2338882843,CBAK Energy Technology $CBAT Shares Up 17.5% https://t.co/2g2QWSuBWC,false,false,0,0,0,0,['false'],0,0,['false'],https://twitter.com/dailypoliticaln/status/1201668091542982657,false,false,false,false,false,false,false
