,headline,date,snippet,source
35,Australia government launches strategy to develop itself as battery hub,11/12/2018,"in reserves of raw materials like lithium used in rechargeable into a major processing, manufacturing and trading hub for lithium-ion",reuters
36,Australia gov't launches strategy to develop itself as battery hub,11/12/2018,"Australia is rich in reserves of raw materials like lithiumused totransform into a major processing, manufacturing and trading hubfor lithium",reuters
37,Deals of the day-Mergers and acquisitions,10/12/2018,"** The chief executive of China's Tianqi Lithium Corp saidshe believes investing in Chile's lithium miner SQM will bring""long-term benefits",reuters
38,China's Tianqi says stake in Chile lithium miner SQM good for both firms,09/12/2018,Tianqi Lithium Corp said she believes investing in Chile's lithium lithium for their batteries.The Tianqi deal faced scrutiny from,reuters
39,METALS-Copper prices ease on trade truce doubts,03/12/2018,* LITHIUM: China's Tianqi Lithium Corp haspurchased a 23.77 percent share in Chilean lithium miner SQM from Canadian fertilizer giant,reuters
40,China Stocks-Factors to watch on Tuesday,03/12/2018,* Tianqi buys stake in lithium miner SQM from Nutrien for$4.1 bln,reuters
41,Tianqi buys stake in lithium miner SQM from Nutrien for $4.1 billion,03/12/2018,"By Antonio De la JaraSANTIAGO (Reuters) - China's Tianqi Lithium lithium market and unprecedented pricing power.Tianqi, through",reuters
42,CANADA STOCKS-TSX futures higher on U.S.-China trade truce,03/12/2018,of a coveted stake in theworld's No. 2 lithium producer to China's Tianqi,reuters
43,China's Tianqi purchases quarter stake in lithium miner SQM for $4.066 billion,03/12/2018,SANTIAGO (Reuters) - China's Tianqi purchased on Monday a 23.77 percent stake in Chile lithium producer SQM for a total package price,reuters
44,Nutrien to auction stake in lithium miner SQM for over $4 billion,03/12/2018,"in the world's No. 2 lithiumproducer to China's Tianqi.The Chilean Stockpricing power.Tianqi, through Talison Lithium which it controls, is also",reuters
45,Nutrien to auction stake in lithium miner SQM on December 3,28/11/2018,"Corp of Saskatchewan.Tianqi's interest in the Chilean lithium and unprecedented pricing power.Tianqi, through Talison Lithium which it controls",reuters
46,Nutrien to auction stake in lithium miner SQM on Monday,28/11/2018,"the sale of a covetedstake in the world´s No. 2 lithium producer to China´s Tianqi.In a statement, the local stock exchange said the minimum",reuters
47,SQM's lithium sales volumes drop 27 pct after production delay,22/11/2018,$112.9 million in 2017.China's Tianqi Lithium Corp has cleared output of lithiumfrom salt flat Salar de Atacama slashed sales,reuters
48,Albemarle boosts lithium supply with $1.2 billion Australian deal,22/11/2018,"Albemarle already has a joint venture with China's Tianqi Lithium Corp top lithium producer, has agreed to pay $1.15 billion to form a lithium",reuters
49,Lithium miner SQM shares climb after Chile court rejects appeals,31/10/2018,"court rejected appeals to block TianqiLithium Corp's $4.1 billionSANTIAGO, Oct 31 (Reuters) - Shares of Chilean lithium minerSQM",reuters
50,Chile's antitrust court rejects appeals against Tianqi deal,30/10/2018,appeals filed against its authorization of Tianqi Lithium Corp's <002466.SZ> $4.1 billion purchase of a stake in lithium,reuters
