idx,headline,date,source
64,Coventry to seek planning permission for electric car battery 'gigafactory',2021-02-16T00:01:37Z,The Guardian
65,Only batteries have the power to save British carmaking,2021-07-03T15:00:55Z,The Guardian
66,UK electric vehicle charging network is lagging behind,2022-01-26T18:31:58Z,The Guardian
67,The scientists hired by big oil who predicted the climate crisis long ago,2021-07-02T10:00:34Z,The Guardian
68,Friday briefing: Leeds nowhere – north’s high-speed hopes stop short,2021-11-19T06:31:50Z,The Guardian
69,Johnson Matthey’s electric car battery ambitions take sharp U-turn,2021-11-11T18:59:17Z,The Guardian
70,How the rise of copper reveals clean energy’s dark side,2021-11-09T10:00:08Z,The Guardian
71,Electric cars are not perfect,2020-12-13T17:55:43Z,The Guardian
72,The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing,2021-11-21T16:00:00Z,The Guardian
73,Carbon emissions ‘will drop just 40% by 2050 with countries’ current pledges’,2021-10-13T04:00:11Z,The Guardian
74,California’s landscapers to bear brunt of ban on gas-powered lawnmowers,2021-10-31T10:00:25Z,The Guardian
75,Biden killed the Keystone Pipeline. Good,2021-01-28T11:11:09Z,The Guardian
76,‘We are afraid’: Erin Brockovich pollutant linked to global electric car boom,2022-02-19T07:00:27Z,The Guardian
77,Trial delays put a brake on e-scooter makers’ UK ambitions,2021-12-24T15:12:16Z,The Guardian
78,UK accused of ignoring plight of green activists in Afghanistan,2021-09-29T08:45:19Z,The Guardian
79,Electric car batteries with five-minute charging times produced,2021-01-19T06:30:49Z,The Guardian
80,‘What if we just gave up cars?’: Cop26 leaders urged to dream big,2021-11-10T15:12:07Z,The Guardian
81,How Australia's 'white gold' could power the global electric vehicle revolution,2020-09-09T17:30:22Z,The Guardian
82,Is deep-sea mining a cure for the climate crisis or a curse?,2021-08-29T09:00:02Z,The Guardian
83,World leaders announce plan to make green tech cheaper than alternatives,2021-11-02T14:30:17Z,The Guardian
84,Why sustainability is no longer an optional extra for brands – it’s an essential,2022-02-14T22:00:04Z,The Guardian
85,Climate activists are being killed for trying to save our planet. There is a way to help | Bill McKibben,2021-09-13T09:35:22Z,The Guardian
86,‘Zombie batteries’ causing hundreds of waste fires,2020-10-26T06:00:14Z,The Guardian
87,Flying electric car takes off in South Australian desert ahead of Formula One-style races,2021-06-17T08:05:48Z,The Guardian
88,‘What am I going to do?’: soaring prices fuel calls for US government to step in,2022-04-30T06:00:48Z,The Guardian
89,​​Meet the companies embracing ESG reporting: what is it and how can your business benefit?,2021-09-13T07:41:53Z,The Guardian
90,Air of crisis around Rolls-Royce appears to be fading,2020-10-13T18:37:25Z,The Guardian
91,Nobel prize in chemistry awarded for work on lithium-ion batteries,2019-10-09T15:19:29Z,The Guardian
92,The UK has been linked to Congo’s ‘conflict minerals’ – where are the criminal charges? | Vava Tampa,2021-07-21T11:00:15Z,The Guardian
93,The week in audio: This Union; Neil Oliver’s Love Letter to the British Isles; Electric Ride UK and more,2021-09-18T16:00:11Z,The Guardian
94,‘Dramatically more powerful’: world’s first battery-electric freight train unveiled,2021-09-16T11:00:14Z,The Guardian
95,UK car industry ‘could lose 90,2021-06-29T15:18:03Z,The Guardian
96,Blueprint for emissions reduction: major industry policy changes needed for Australia to reach net zero,2021-08-22T17:30:41Z,The Guardian
97,Powerhouses: nanotechnology turns bricks into batteries,2020-08-11T15:00:38Z,The Guardian
98,Anthony Albanese sends mixed signals on fossil fuels as Labor wrestles over climate policy,2021-06-02T02:03:40Z,The Guardian
99,Elon Musk: I tried to sell Tesla to Apple,2020-12-23T02:08:36Z,The Guardian
100,Electric vehicles close to ‘tipping point’ of mass adoption,2021-01-22T12:25:40Z,The Guardian
101,‘I know they’re exciting – but calm down!’ Britain’s love-hate affair with the e-scooter,2022-04-27T05:00:20Z,The Guardian
102,Nobel prize in chemistry awarded for development of lithium-ion batteries – as it happened,2019-10-09T11:26:15Z,The Guardian
103,Annotated solutions for Genius 206,2020-09-06T23:01:37Z,The Guardian
104,Mining boom could herald commodity 'supercycle',2021-02-17T19:38:29Z,The Guardian
105,Australia’s living standards have risen and economy is ‘roaring back’,2021-04-11T17:30:43Z,The Guardian
106,Cornish copper find raises hopes for once 'richest square mile',2020-04-22T16:16:51Z,The Guardian
107,Chile’s political establishment has been swept away – now there's hope for change | Kirsten Sehnbruch,2021-05-27T08:00:22Z,The Guardian
108,Activists angry over Perth festival Fringe World’s new deal with fossil fuel giant Woodside,2021-06-23T23:00:40Z,The Guardian
109,Is India’s pledge of net zero by 2070 an ambitious target – or worthless words?,2021-11-05T07:00:13Z,The Guardian
110,If we want to fight the climate crisis,2021-06-21T10:18:42Z,The Guardian
111,Out of thin air: can hydropanels bring water to parched communities?,2021-10-05T06:00:43Z,The Guardian
112,After the failure of Cop26,2021-11-14T14:48:52Z,The Guardian
113,Ineos signs hydrogen fuel cell deal for its off-road vehicle,2020-11-23T00:01:35Z,The Guardian
114,Nasa leads push for electric planes in next frontier of cutting emissions,2021-05-18T10:00:50Z,The Guardian
115,EV battle heats up in Australia with plan to sell affordable Chinese import for $35,2021-04-15T17:30:43Z,The Guardian
116,UK carmakers have three years to source local electric car batteries,2021-01-03T13:59:44Z,The Guardian
117,Australia must stop wasting time and shift to renewable energy to spark job creation,2021-04-19T17:30:17Z,The Guardian
118,Carbis Bay in Cornwall to host G7 summit in June,2021-01-16T22:30:44Z,The Guardian
119,Charging ahead: what you need to know about buying or renting an e-bike in Australia,2021-02-18T16:30:39Z,The Guardian
120,What could a good green recovery plan actually look like?,2020-11-17T17:09:42Z,The Guardian
121,Angus Taylor to announce shift in climate investment away from wind and solar,2020-02-27T16:30:00Z,The Guardian
122,Oil rallies as US and UK announce bans on Russian oil imports – business live,2022-03-08T19:28:14Z,The Guardian
123,Car battery firm scraps plan to build UK's first gigafactory in Wales,2020-12-11T00:01:13Z,The Guardian
124,Turn off the gas: is America ready to embrace electric vehicles?,2021-05-23T08:00:24Z,The Guardian
125,Australia at risk of losing billions of dollars in revenue without cultural shift to re-use,2021-01-25T16:30:02Z,The Guardian
126,‘I know how much it hurts’: Biden to release US oil in bid to lower gas prices – as it happened,2022-03-31T20:23:54Z,The Guardian
127,Going to e-waste: Australia’s recycling failures and the challenge of solar,2021-08-21T20:00:15Z,The Guardian
128,Jeanie Finlay: ‘I don’t film alpha males. They don’t need more exposure’,2021-08-23T05:00:56Z,The Guardian
129,‘Galactic Britain’: how Cornwall is winning the European space race,2021-10-10T11:39:25Z,The Guardian
130,Chinese firms prepare to charge into Europe’s electric car market,2021-04-17T15:00:37Z,The Guardian
131,Michele Tyrer obituary,2020-11-04T12:48:46Z,The Guardian
132," ‘Like slave and master’: DRC miners toil for 30p an hour to fuel electric cars",2021-11-08T12:00:30Z,The Guardian
133,Elon Musk declared himself 'technoking'. He's just a hyper-capitalist clown | Akin Olla,2021-03-20T10:27:23Z,The Guardian
134,Cosmetics,2020-12-14T13:45:58Z,The Guardian
135,Rich countries must not resist a tax deal that can do so much for the world’s poor,2021-05-30T06:00:47Z,The Guardian
136,Morning mail: Australia isolated on climate,2021-04-19T20:48:18Z,The Guardian
137,The race to give nuclear fusion a role in the climate emergency,2021-08-28T16:00:01Z,The Guardian
138,UK’s first car battery ‘gigafactory’ to be built by two startups,2020-05-20T14:16:20Z,The Guardian
139,I thought mental illness meant I'd never be a doctor. Now I'm a consultant psychiatrist | Rebecca Lawrence,2020-09-16T08:00:17Z,The Guardian
140,Michael Collins obituary,2021-04-29T12:07:09Z,The Guardian
141,Australia's cheapest EV: can it survive a week of on-street parking and one very sandy dog?,2021-01-23T19:00:25Z,The Guardian
142,Tuesday briefing: Vaccine nation – Britain's first shot at freedom,2020-12-08T06:26:01Z,The Guardian
143,New lithium hydroxide factory in Western Australia wins federal approval,2019-01-03T07:02:39Z,The Guardian
144,How UK's disused mine shafts could be used to store renewable energy,2019-10-21T05:00:18Z,The Guardian
145,Power ahead in 2021: how to buy an electric bike,2020-12-26T12:00:15Z,The Guardian
146,Davos day two: Global tax deal delayed; Von der Leyen on Russian food ‘blackmail’ – as it happened,2022-05-24T16:01:42Z,The Guardian
147,Eco-Visionaries review – the salt flats will die and the jellyfish shall rise,2019-11-21T12:28:53Z,The Guardian
148,Battery firm chooses Welsh site for Britain's first gigafactory,2020-07-17T05:45:06Z,The Guardian
149,Big on batteries: government finally seizes on lithium-ion potential,2018-12-11T06:02:37Z,The Guardian
150,Australia can be a 'renewable energy superpower',2020-09-08T17:30:51Z,The Guardian
