name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
MarketCap,"28,098,191,172","24,450,596,364","14,404,747,336","15,344,497,856","13,519,268,122","13,970,492,020","12,917,456,925","8,530,942,218","6,860,014,301","5,933,767,644","7,023,160,019","7,312,612,099","8,186,231,105","10,115,034,512","10,078,195,156","12,030,681,007","12,643,793,140","12,933,245,220","15,622,518,184","14,646,275,259","8,688,825,171","9,044,061,815","7,538,910,998","7,078,419,052","6,504,777,657","5,407,491,135","5,002,258,222","3,826,030,224","4,215,474,841","4,802,273,149","6,283,741,523","6,878,433,979","7,712,582,246","8,352,008,205","6,810,018,032","8,038,873,682","10,630,785,491","14,591,016,225","15,167,289,003","16,219,842,022","14,648,906,641","29,934,985,685","27,426,406,876","25,342,382,578","32,686,356,745","28,455,450,133","29,033,594,048","25,805,711,841","18,885,925,668","20,405,194,214","15,997,661,115","15,944,642,179","15,444,690,206","11,517,798,519","9,887,507,922","6,635,184,346","12,264,957,975","6,153,534,709","4,651,998,545","4,550,141,079","4,528,032,573","3,842,668,889","3,568,155,263","3,029,391,706","2,740,928,343","2,987,280,266","2,874,106,032","3,322,592,606","2,631,964,992","2,120,047,801","1,629,186,477","1,268,607,126","1,076,473,681","1,077,789,664","1,094,107,929","1,052,522,879","739,319,022","622,722,964","571,136,446","502,705,351","583,769,879","618,511,819","613,774,282","446,118,099","518,233,946","563,240,550","552,712,690","547,790,915","585,612,255","717,210,514","830,727,173","738,669,749","882,040,249","797,887,999","839,976,591","701,184,374","806,512,499","1,059,299,998","1,059,299,998","1,420,424,998","1,591,959,373","1,387,321,873","1,303,059,373","1,345,190,623","1,306,068,748","1,257,918,748","1,131,524,998","889,787,495","960,970,495","610,139,997","592,344,247","678,780,746","602,513,247","605,055,497"
EnterpriseValue,"27,437,512,172","24,640,109,364","14,400,985,336","15,353,553,856","14,636,492,122","15,069,870,020","13,772,567,925","9,356,373,218","7,649,550,301","6,650,468,644","7,674,158,019","7,923,546,099","8,674,631,105","10,600,972,512","10,569,329,156","12,466,206,007","12,810,428,140","12,118,928,220","16,043,638,184","15,067,395,259","9,109,945,171","9,465,181,815","7,872,422,998","7,552,920,052","6,940,513,657","5,879,412,135","5,438,685,222","4,354,163,224","4,848,560,841","5,542,101,149","6,885,291,523","7,784,912,979","8,619,061,246","9,258,487,205","7,615,346,032","9,006,958,682","11,650,973,491","15,611,204,225","16,187,477,003","16,982,042,022","15,437,454,641","30,718,767,685","28,134,351,876","26,050,327,578","32,405,149,745","29,096,164,133","28,723,722,048","26,490,066,841","19,570,280,668","21,089,549,214","16,084,543,115","16,638,839,179","16,234,590,206","11,985,698,519","10,221,659,922","6,995,057,346","12,736,725,975","6,505,864,709","4,992,792,545","4,922,056,079","4,915,791,573","4,204,167,889","3,983,272,263","3,606,065,706","3,317,602,343","3,333,614,266","3,105,878,032","3,554,364,606","2,870,543,992","2,265,854,801","1,788,990,477","1,408,207,126","1,301,673,681","1,299,989,664","1,361,599,929","1,317,022,879","1,006,319,022","879,322,964","860,414,446","805,905,351","909,169,879","964,295,819","959,558,282","857,262,099","929,377,946","974,384,550","994,661,690","989,739,915","1,027,561,255","1,159,159,514","1,272,676,173","1,156,869,749","1,300,240,249","1,216,087,999","1,258,176,591","998,384,374","1,103,712,499","1,356,499,998","1,356,499,998","1,643,424,998","1,814,959,373","1,610,321,873","1,526,059,373","1,386,090,623","1,346,968,748","1,298,818,748","1,201,124,998","959,387,495","1,030,570,495","679,739,997","592,344,247","678,780,746","602,513,247","605,055,497"
PeRatio,"21.485","41.764","42.866","66.412","66.861","85.516","78.582","38.227","28.288","21.34","21.962","21.333","20.141","22.908","22.825","25.549","29.527","32.495","45.817","42.954","26.957","32.507","30.171","34.068","31.291","28.919","26.752","15.966","18.529","16.712","17.46","17.371","19.478","15.447","12.595","14.179","16.29","22.449","23.336","25.18","25.072","28.294","28.768","25.541","38.346","34.875","40.29","34.848","24.195","29.33","28.462","27.582","19.768","13.335","12.77","15.587","44.378","30.488","25.841","28.435","30.184","27.188","25.839","22.617","20.464","24.342","27.3","31.56","26.596","24.938","21.95","16.395","16.626","17.651","18.895","23.25","16.922","15.265","14.467","15.785","22.18","26.111","25.911","17.474","21.059","23.778","19.535","16.65","17.8","19.123","19.727","15.758","16.453","13.223","12.523","10.949","12.689","16.794","16.923","21.771","23.283","19.402","17.46","19.605","23.085","24.881","25.134","26.841","28.988","21.739",,,,
ForwardPeRatio,"6.649","12.953","14.663","17.668","29.24","39.841","36.364","19.646","29.586","18.484","22.422","15.974","17.986","17.699","15.385","20.661","28.011","30.581","34.843","35.336","22.936","23.474","21.692","27.701","22.676","18.868","15.337",,,,,"13.755","15.432","16.367","9.671","11.025","12.903","18.587","19.084","20.161","19.531","21.368","19.881","18.215","25.974","27.322","28.986",,,,,,,"3.799","5.155",,"6.223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.186","0.358","0.264","0.354","0.606","0.887","1.526","0.736","1.106","0.639","1.821","1.346","1.448","0.935","1.323","1.232","1.425","1.902","1.8","1.703","1.19","1.383","1.169","1.367","1.929","2.436","9.18",,,,,"1.98","2.22","2.181",,,"3.526","2.336","2.399","2.519","2.442","1.397","116.982","107.239","152.894","160.912","170.629",,,,,,,"0.38","0.516",,"0.622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"6.58","8.542","6.285","7.126","6.423","7.742","7.277","4.752","3.746","3.054","3.449","3.472","3.637","4.446","4.43","5.253","5.862","6.055","7.506","7.037","4.185","4.665","4.197","4.074","3.755","2.991","2.767","2.092","2.258","2.384","3.037","3.254","3.649","3.613","2.946","3.342","4.214","6.008","6.245","6.974","6.676","7.198","6.711","5.958","8.53","7.568","8.411","7.427","5.253","6.542","6.882","7.115","5.762","3.951","3.618","3.944","8.663","4.82","3.917","4.148","4.268","3.685","3.631","3.16","2.859","3.298","3.319","3.837","3.115","2.565","2.066","1.654","1.442","1.514","1.582","1.575","1.185","1.059","1.031","0.929","1.119","1.175","1.166","0.844","1.007","1.122","1.075","1.073","1.148","1.417","1.654","1.712","1.944","1.669","1.664","1.421","1.611","2.085","2.054","2.78","3.13","2.741","2.587","2.676","2.582","2.472","2.395","2.399","2.591","1.794",,,,
PbRatio,"8.775","7.685","4.384","4.792","6.293","6.58","6.309","4.111","3.321","2.844","3.356","3.5","3.92","4.85","4.831","5.76","5.765","5.911","7.137","6.691","3.958","4.027","3.296","3.131","2.747","2.311","2.158","1.653","1.853","2.144","2.558","2.838","3.182","3.514","2.913","3.462","4.655","6.841","7.112","7.53","7.469","8.516","7.344","6.52","9.531","8.396","9.473","7.801","5.618","6.596","6.741","6.912","6.765","4.51","4.387","4.588","9.768","4.931","3.934","4.175","4.013","3.539","3.375","2.97","2.687","2.836","2.901","3.354","2.76","2.184","1.717","1.37","1.21","1.198","1.229","1.208","0.866","0.726","0.672","0.6","0.694","0.744","0.738","0.541","0.629","0.683","0.67","0.664","0.71","0.87","1.008","0.946","1.13","1.022","1.076","0.973","1.119","1.47","1.47","2.046","2.293","1.998","1.877","2.088","2.027","1.953","2.427","1.909","2.061","1.309",,,,
EnterprisesValueRevenueRatio,"6.302","12.199","13.281","23.208","24.892","28.516","26.805","20.66","16.685","16.964","16.251","16.749","17.555","21.024","18.699","22.951","20.057","23.363","27.913","26.969","18.014","17.795","14.215","14.985","14.175","15.004","13.222","9.78","10.013","14.301","14.011","16.691","16.502","17.335","15.472","17.285","20.568","25.042","26.936","27.602","22.592","58.001","52.206","45.33","58.741","60.613","56.803","57.654","41.05","54.281","41.486","43.355","47.084","37.35","25.689","11.874","27.641","19.936","16.303","15.262","15.283","17.728","14.916","13.301","11.617","15.213","14.455","14.514","12.496","10.973","9.675","6.295","6.249","7.576","8.322","6.481","5.8","5.804","6.145","5.11","6.527","8.214","7.53","5.488","7.656","8.026","7.929","7.89","8.191","9.24","10.311","9.373","10.534","9.853","9.946","7.899","8.732","10.732","10.565","12.809","14.146","12.551","12.878","11.707","11.376","10.97","11.73","9.369","10.064","6.638","7.546","8.647","7.675","7.708"
EnterprisesValueEBITDARatio,"14.085","21.699","29.139","89.27","100.077","130.333","128.55","300.201","78.224","74.549","66.964","75.229","75.356","81.726","58.917","97.287","64.636","69.909","96.786","90.742","59.503","59.567","53.384","80.695","52.582","57.634","59.335","106.56","37.361","47.642","58.56","69.005","74.25","73.306","70.622","46.367","74.053","73.673","64.939","70.734","56.797","116.556","102.512","102.26","133.89","142.732","155.535","156.623","104.784","153.126","120.096","103.878","114.046","80.299","57.047","25.663","69.841","57.998","57.493","53.129","49.896","51.1","53.72","45.009","37.522","47.196","48.49","42.25","42.267","41.355","-120.609","19.75","21.914","24.208","-54.578","23.187","19.132","18.168","-35.238","14.787","18.039","29.399","45.868","22.679","7.656","8.026","-3.22","7.89","8.191","9.24","-4.38","9.373","10.534","9.853","-4.122","7.899","8.732","10.732","-4.348","12.809","14.146","12.551","-5.478","11.707","11.376","10.97","-4.598","9.369","10.064","6.638","-2.884","8.647","7.675","7.708"
