name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
MarketCap,"25,347,212,817","26,837,157,661","30,290,783,988","34,059,177,555","25,831,539,343","18,909,729,782","19,911,952,387","9,842,220,354","9,180,322,250","6,828,247,739","5,936,657,698","3,770,352,237","4,066,970,816","4,897,423,081","3,902,636,900"
EnterpriseValue,"25,569,925,492","26,800,469,672","30,080,710,139","33,770,293,785","26,389,632,785","19,495,350,593","20,184,915,474","10,290,898,680","9,603,176,244","7,144,160,167","6,257,694,763","3,898,762,208","3,980,430,052","4,746,202,304","4,023,864,938"
PeRatio,"15.168","24.61","43.41","67.517","84.613","104.687","275.799","210.818","506.507","52.554","38.787","15.139","12.754","11.842",
ForwardPeRatio,"8.795","16.447","34.483","51.546","71.942","92.593","178.571","82.645","91.743","45.455","33.557","12.755","9.533","8.772",
PsRatio,"8.473","11.528","15.627","21.26","22.856","19.419","19.717","9.407","8.255","5.517","4.072","2.181","2.991","2.895",
PbRatio,"5.014","6.011","7.458","9.121","11.696","10.475","10.42","5.793","5.439","3.85","2.841","1.567","2.224","2.103",
EnterprisesValueRevenueRatio,"1.714","4.995","7.322","11.296","10.739","12.133","12.376","6.833","7.341","6.622","5.532","2.809","2.667","3.569","2.853"
EnterprisesValueEBITDARatio,"2.675","6.534","9.941","27.459","21.98","33.499","25.325","36.075","42.362","84.868","58.944","42.708","29.263","13.718","26.549"
