,headline,date,snippet,source,headline_sentiment,snippet_sentiment
13,EMERGING MARKETS-Mexico peso down on NAFTA jitters; Chilean equities sink,26/02/2018,"Quimica y Minera de Chile SA (SQM), which has attracted investor interestrenegotiations,"" he said. Chile's blue-chip IPSA index led losses among",reuters,0.0|1.0|0.0|0.0,0.115|0.766|0.119|0.0258
14,"EMERGING MARKETS-Chilean equities fall on lithium price worries, forestry",26/02/2018,"in the country's lithium and forestry sectors. Shares in Sociedad Quimica y Minera de Chile SA (SQM), which has attracted investor interest due",reuters,0.259|0.741|0.0|-0.4215,0.0|0.704|0.296|0.7906
15,Chile lithium miner SQM says legal dispute could linger through 2018,23/11/2017,") - Chilean lithium and fertilizerproducer Sociedad Quimica Y Minera (SQM of the company's lease in the Salar deAtacama, home to some of the world's",reuters,0.205|0.682|0.114|-0.296,0.0|1.0|0.0|0.0
16,BRIEF-Agrium and PotashCorp receive regulatory approval in China,07/11/2017,"PotashCorp'sholdings in Arab Potash Co, Sociedad Quimica Y Minera De Chilein 18 mnths from closingSource text for Eikon:Further company coverage:",reuters,0.0|0.693|0.307|0.4767,0.0|1.0|0.0|0.0
17,BRIEF-ARENA MINERALS EXERCISES ATACAMA OPTION AGREEMENT WITH SOCIEDAD QUIMICA,01/11/2017,"atacama option agreementwithsociedad quimica y minera de chile on two projects* japan oil gas and mineral national corporation, teck chileltd",reuters,0.0|0.714|0.286|0.4939,0.0|1.0|0.0|0.0
18,BRIEF-Potashcorp reports Q3 earnings per share $0.06,26/10/2017,"quimica y minera de chile,sinofert was about $6.6 billion at oct 25 of co' investments in arab potashco, israel chemicals, sociedad",reuters,0.0|0.732|0.268|0.296,0.0|1.0|0.0|0.0
19,PRESS DIGEST- Canada- Oct 23,23/10/2017,", Israel Chemicals Ltd and Sociedad Quimica yMinera de Chile SA within",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
20,"Talks between SQM, Chile authorities end with no deal",16/10/2017,dispute between Chilean authorities and Sociedad Quimica Y Minera (SQM on Monday. Chile's state-run development agency Corfo has alleged,reuters,0.216|0.784|0.0|-0.296,0.137|0.863|0.0|-0.4019
21,"Chile left-wing candidates could form alliance, threatening market rally",26/09/2017,", respectively. Lithium miner Sociedad Quimica y Minera de Chile SA has risen 77 Central de Chile. ""A Pinera victory depends on division within",reuters,0.298|0.702|0.0|-0.5267,0.0|0.897|0.103|0.34
22,Potash Corp hires banks to explore sale of SQM stake: La Tercera,23/09/2017,percent stake in Chile's Sociedad Quimica Y Minera (SQM)  la Jara and Caroline Stauffer),reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
23,Potash Corp hires banks to explore sale of SQM stake - La Tercera,23/09/2017,"32 percent stake in Chile'sSociedad Quimica Y Minera (SQM), Chilean by Antonio de la Jara and Caroline Stauffer)",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
24,BRIEF-SQM reports Q2 net income of $0.38 per ADR,23/08/2017,Aug 23 (Reuters) - Sociedad Quimica y Minera de Chile S.A.* Q2 net income of $0.38 per ADR* Sociedad Química y Minera de Chile S.A,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
25,"GLOBAL MARKETS-North Korea nerves push stocks down for third day, lift gold",10/08/2017,"Sociedad Quimica y Minera de Chile, one of the world’slargest producer",reuters,0.113|0.887|0.0|-0.1027,0.0|1.0|0.0|0.0
26,BRIEF-PotashCorp Q2 earnings per share $0.24,27/07/2017,"Chemicals Ltd, Sociedad Quimica Y Minera De Chile S.Acontributed $51",reuters,0.0|0.694|0.306|0.296,0.0|1.0|0.0|0.0
27,Exclusive: China's GSR eyes substantial stake in $9 billion Chilean lithium miner SQM - sources,05/07/2017,"holding in Chile's Sociedad Quimica Y Minera (SQM), one of the world's 'lithium triangle' in Chile and Argentina, said in May it was planning",reuters,0.0|0.784|0.216|0.3182,0.0|1.0|0.0|0.0
28,BRIEF-SQM qtrly earnings per ADR $0.39,17/05/2017,May 17 (Reuters) - Sociedad Quimica Y Minera De Chile Sa:* Q1 2017,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
29,Chile's SQM paying $30 mln to resolve U.S. corruption cases,13/01/2017,company Sociedad Quimica y Minera de Chile SA (SQM) has agreed to pay,reuters,0.0|0.776|0.224|0.3818,0.104|0.741|0.156|0.1779
30,BRIEF-SQM Q3 reporting net income of $0.21 per ADR,23/11/2016,Nov 23 (Reuters) - Sociedad Quimica Y Minera De Chile Sa* SQM,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
31,BRIEF-Sociedad Quimica Y Minera De Chile SA reports Q2 net income $0.32 per ADR,24/08/2016,Aug 24 (Reuters) - Sociedad Quimica Y Minera De Chile SA* SQM,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
32,BRIEF-SQM says qtrly EPS $0.22 per ADR,18/05/2016,May 18 (Reuters) - Sociedad Quimica Y Minera De Chile Sa* Says qtrly,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
33,"What to Watch in the Day Ahead - Tuesday, Mar. 3",02/03/2015,that the bank operates in. Sociedad Quimica y Minera de Chile,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
