Date,ENS,CBAT,TIA,ALB,LAC,SQM,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
28/01/2015,-0.479999542,0.090000033,0,-1,0.100000143,-0.652385712,-0.0843,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,65.8,16.4,2,14.3,35.9,30.2,0,23.2,67.4,20.5,5,23.1,70.3,27.8,5,14.3,35.9,30.2,0,21.6,63.5,24.1,0
29/01/2015,0.950000763,0.100000024,0,-7.599998474,-0.049999952,-0.31158638,0.10115,0,0,-0.43395,0.125,0,0,0.25,0,0,-0.35,0.125,0,0,7.4,60.2,16.6,2,15.4,39,38.5,2,17.2,80.8,19.1,5,19,78.9,19.4,5,15.4,39,38.5,2,20.8,72.8,25.9,2
30/01/2015,-1.119998932,-0.019999981,0,0.489997864,-0.050000191,-0.301849365,-0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,56.6,33.7,2,15.2,42.8,28.8,2,18.9,85.1,18.8,5,19.2,87.8,16.9,5,15.2,42.8,28.8,2,20.3,73.3,27.7,2
2/2/2015,1.259998322,0.029999971,0,-0.340000153,0.100000143,0.204479218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,37.9,15.9,0,17.1,36.6,36.7,2,25.5,70.8,20.6,2,25.1,72.7,18.4,2,17.1,36.6,36.7,2,20.9,72.2,24.1,2
3/2/2015,1.959999084,0.129999876,0,1.460002899,0,0.399219513,0,0,0,0,0,0,0,-0.8,0,0.25,0,0,0,0,7.3,43.7,16.1,0,17.5,40.6,41,2,27,64,22.3,2,26.5,66.2,22.3,2,17.5,40.6,41,2,21,73.2,24.1,2
4/2/2015,-0.759998322,0.150000095,0,-0.530002594,0,-0.477117538,0,0,-0.075433333,0,0,0,0,0,0,0,0,0,0,0,7,40.4,16.4,0,16.9,44,39.2,2,26.3,64.5,20.2,2,25.8,66.1,16.9,5,16.9,44,39.2,2,20.3,74.6,24.1,2
5/2/2015,-0.819999695,-0.029999971,0,0.900001526,0.099999905,0.486854553,0,0,0,0.4215,0,0,0,-0.8,0,0,0,0,0,0,8.5,37.6,19.6,0,16.4,41,36.7,2,25.4,74.4,28,5,24,77.5,39.9,5,16.4,41,36.7,2,19.8,78.1,25.9,2
6/2/2015,0.220001221,0.109999895,0,1.330001831,-0.099999905,-0.136320114,0,0,0,0,0,0,0,0,0,0,0,0.136363636,0,0,11.9,26.9,34.8,0,16.1,41,37.8,2,24.3,72.2,12.7,5,22.8,76.3,21.9,5,16.1,41,37.8,2,20.3,72.9,20.5,2
9/2/2015,0.359996796,0.210000038,0,1.059997559,-0.049999952,0.272640228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,40.2,23.3,0,13.4,61.4,34.6,2,24.7,70.5,22.1,5,23.3,73.1,21.9,5,13.4,61.4,34.6,2,21.5,70.7,20.5,0
10/2/2015,0.020000458,0.279999971,0,0.029998779,0,-0.10710907,-0.37895,0,0,0,0.039366667,0,0,-0.2,0,0,0,0,0,0,7.1,33.9,17.8,0,13.1,58.8,32,2,21.5,80.5,41.7,5,20.3,82.6,37.3,5,13.1,58.8,32,2,22.6,66.1,22.3,2
11/2/2015,0.13999939,0,0,1.010002136,-0.100000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,32.9,25.5,0,14.5,51.5,37.4,2,21,77,9.4,5,20.3,75.2,18.2,5,14.5,51.5,37.4,2,21,76.3,25.9,0
12/2/2015,0.790000916,-0.059999943,0,0.779998779,0,0.379747391,0,0,0,-0.128,0,0,0,0,0,0,-0.388888889,0,0,0,8.1,27.2,19.6,0,15.5,47,31.7,2,23.2,72.1,19.8,5,21.9,70.2,20.2,5,15.5,47,31.7,2,20.2,81.1,27.7,2
13/02/2015,0.979999542,0.029999971,0,0.630001068,0.049999952,0.691333771,-0.382733333,0,0,0,0.3818,0,0.5574,0,0,0,0,0,0,0.227272727,10.4,26.7,18.4,0,16.4,44.9,41,1,21.3,85.6,24.4,4,20.4,84.1,15.1,4,16.4,44.9,41,1,20.7,72.7,22.3,2
17/02/2015,0.170001984,-0.180000067,0.143739734,0.200000763,-0.049999952,0.379747391,0,0,0,-0.187283333,0,0,0,0,0,0,0,0,0,0,8,23.6,15.4,0,14.3,26.7,36.4,3,20.7,80.1,24.1,5,20.6,78.7,25.6,5,14.3,26.7,36.4,3,20.8,69.5,25.9,2
18/02/2015,0.36000061,-0.00999999,0,0.069999695,0.049999952,-0.048685074,-0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,26.1,17.8,0,12.8,39,40.3,0,21.7,77.4,14,5,21.4,78.4,19.4,5,12.8,39,40.3,0,20.9,69.5,24.1,2
19/02/2015,0.5,-0.059999943,0,-0.430000305,0,0.321323395,-0.296,0,0,0,0,0,-0.2263,0,0,0,0,0,0,0,10.5,28.1,17.6,0,11,53.3,41.4,0,18.9,70.5,33.5,5,18.1,76.5,33.5,5,11,53.3,41.4,0,23.2,51.5,29.5,2
20/02/2015,0.899997711,-0.149999857,0,1.040000916,0.050000191,-0.301849365,0,0,0,0.150733333,0,0,0,0,0,0,0.30952381,0,0,0,11.2,26.3,31.9,0,11.2,49.6,36,0,13.6,75.9,24.8,5,14,83.3,29.5,5,11.2,49.6,36,0,21.5,61.6,22.3,0
23/02/2015,0.379997253,0.029999971,0,0.090000153,0,-0.204479218,0,0,0,0.096125,0,0,0.3818,0,0,0,0.034090909,0,0,0,2.6,34.1,30.1,2,15.9,22.7,33.1,0,21.1,88.6,16.9,5,20.1,88.1,27.8,5,15.9,22.7,33.1,0,19.5,77.4,25.9,2
24/02/2015,0.370002747,0.029999971,0,0.520000458,0.75,0.038948059,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.025,5.6,18.4,32.2,0,16.2,18.7,32.8,0,21.7,86.5,23.8,5,21.2,87.2,30.2,5,16.2,18.7,32.8,0,20,72.2,27.7,2
25/02/2015,0.010002136,0.079999924,0,0.25,-0.150000095,0.350534439,0,0,0,0,0,0,0,0,0,0,0.136363636,0,0,0,8.9,17.2,34.3,0,16.1,18.5,30.6,0,24.5,77.1,11.9,5,23.5,79.2,16.4,5,16.1,18.5,30.6,0,19.5,67.7,25.9,2
26/02/2015,0.199996948,0.170000076,0.166574299,-0.030002594,-0.049999952,-0.321323395,0,0,-0.2732,0,0,0,0,0,0,0,0,0,0,0,7.7,28.1,40.7,0,15.2,25.8,35.3,0,17.3,85.3,23.8,5,17.4,91.3,25.2,5,15.2,25.8,35.3,0,19.8,68.1,22.3,2
27/02/2015,-0.119995117,0.019999981,-0.053280321,0.270000458,0.049999952,-0.136318207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,42.8,22.8,2,14.3,39.7,36,3,17.3,85.9,23.3,5,17.7,89.5,25.2,5,14.3,39.7,36,3,20.7,61.2,22.3,0
2/3/2015,1.259994507,-0.170000076,0.032787977,0.11000061,0.049999952,-0.058423996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,68.9,22.9,10,14.8,30,32,0,22.4,83.3,16.6,5,21.7,82.5,21.2,5,14.8,30,32,0,19.5,73.7,25.9,0
3/3/2015,-0.559997559,-0.079999924,-0.032202457,0.060001373,-0.049999952,-0.009737015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,54.6,41.7,10,14.1,27.2,28.1,0,23.3,75.5,21.9,5,22,81.6,20.4,5,14.1,27.2,28.1,0,19.5,72,31.7,2
4/3/2015,-0.040000916,0.019999981,-0.038057372,-1.340000153,0.099999905,0.058423996,-0.5994,0,0,0,-0.2936,0,0,0,0,0,0,0,0,0,3.2,34.6,20.9,0,15.2,25.9,32,0,21.6,86.5,13.2,5,21.3,85.1,17.6,5,15.2,25.9,32,0,18.9,72.7,27.7,2
5/3/2015,-0.049995422,-0.00999999,0.06733223,-0.120002747,-0.199999809,-0.272640228,0,0,0,-0.0951,0,0,-0.1027,0,0,0,0,0,0,-0.5,4.3,33.6,15.7,0,15,23.8,34.2,2,19.9,90.4,19.4,5,20.1,88.5,21.2,5,15,23.8,34.2,2,18.8,72.4,24.1,2
6/3/2015,-0.430000305,0.029999971,-0.073187287,-0.449996948,0.049999952,-0.759492874,0,0,0,-0.34,-0.7003,0,0,0,0,0,-0.1,0,0,0,7.6,26.5,19.1,0,15.9,24.8,33.8,0,23.5,82.1,11.4,5,22.5,82.7,14.5,5,15.9,24.8,33.8,0,18.6,72.7,25.9,0
9/3/2015,0.299995422,-0.019999981,-0.03864275,0.069999695,0.049999952,-0.428432465,0,0,0,-0.0258,0,0,0,0,0,0,0,-0.053571429,0,0.25,10.9,20.6,20.7,0,17.8,31.2,34.6,0,23.3,80.2,20.5,2,22.7,79.3,25.6,2,17.8,31.2,34.6,0,18.6,74.1,25.9,0
10/3/2015,-1.569999695,-0.039999962,-0.013759291,-0.560001373,-0.049999952,-0.301849365,0,0,0,-0.0258,0,0,-0.538709091,0,0,0,0,0,0,0,10.5,20.2,22.4,0,17.9,32.3,33.5,0,23.8,79.3,19.4,2,23,79.2,30.9,2,17.9,32.3,33.5,0,19.1,74.2,24.1,0
11/3/2015,0.209999084,-0.029999971,-0.048596445,-0.799999237,0.049999952,-0.50633049,0,-0.7096,-0.7096,-0.0258,-0.7096,0,0,0,0,0,0.084090909,0,0,0,12,29.6,28.2,2,17.8,30.3,33.1,0,24.6,76,11.9,2,23.3,75.6,16.4,2,17.8,30.3,33.1,0,19.8,74.5,24.1,2
12/3/2015,1.310005188,-0.00999999,0.009953554,0.11000061,0,-0.272638321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43.9,24.6,0,16.5,36.6,33.5,0,24.5,74.2,14,2,23,78.5,14.6,2,16.5,36.6,33.5,0,20.9,71.3,24.1,2
13/03/2015,-1.300003052,-0.019999981,-0.067039612,-0.710002899,-0.099999905,-0.642648697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,33.2,19.4,0,15.4,38.5,33.1,0,24.9,74.2,17.9,2,23.2,76.9,16.5,2,15.4,38.5,33.1,0,20.6,72,20.5,2
16/03/2015,0.199996948,0.029999971,0.02810396,-0.149997711,0,0.087633133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,28.4,28.9,0,15.4,49,33.5,2,21.8,90.5,11.2,5,20.7,89,14.6,4,15.4,49,33.5,2,20.7,74,18.4,2
17/03/2015,1.36000061,0.139999866,-0.007611474,-0.299999237,-0.050000191,-0.399219513,0,0,0,-0.2202,0.07508,0,0.035333333,0,0,0,0.056060606,0,0,0.4,13.7,27.7,14.6,0,15.3,46.9,32,2,22.6,87.3,9.4,5,20.8,90.8,14.5,4,15.3,46.9,32,2,20.3,80.3,22.3,2
