name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalRevenue,"291,997,794,000,000","77,781,498,000,000","76,565,524,000,000","73,979,187,000,000","63,671,585,000,000","65,388,503,000,000","61,551,508,000,000","66,964,160,000,000","52,966,142,000,000","55,325,178,000,000","59,884,760,000,000","62,003,471,000,000","56,127,104,000,000","52,385,546,000,000","59,265,050,000,000","65,459,993,000,000","58,482,658,000,000","60,563,714,000,000","65,978,412,000,000","62,048,901,000,000","61,000,537,000,000","50,547,526,000,000","53,331,740,000,000","47,815,633,000,000","50,937,120,000,000","49,782,252,000,000","53,315,453,000,000","51,682,572,000,000","48,537,539,000,000","47,117,918,000,000","52,730,122,000,000","47,447,310,000,000","52,353,229,000,000","53,675,326,000,000","59,276,625,000,000","59,083,499,000,000","57,464,448,000,000","52,868,095,000,000","56,058,847,000,000","52,177,270,000,000","47,596,979,000,000","45,270,517,000,000","47,303,935,227,974.5","41,273,965,000,000","39,438,854,000,000","36,985,017,000,000","41,871,078,781,024.2","40,229,261,000,000","37,891,918,000,000","34,638,070,000,000","71,875,809,539,988","24,861,999,000,000","21,019,644,000,000","18,566,217,000,000","66,791,705,348,589.7","19,256,170,000,000","18,139,099,000,000","17,107,345,000,000","52,808,362,084,922.2","16,680,570,000,000","14,632,873,000,000","14,386,012,000,000"
	OperatingRevenue,"291,997,794,000,000","77,781,498,000,000","76,565,524,000,000","73,979,187,000,000","63,671,585,000,000","65,388,503,000,000","61,551,508,000,000","66,964,160,000,000","52,966,142,000,000","55,325,178,000,000","59,884,760,000,000","62,003,471,000,000","56,127,104,000,000","52,385,546,000,000","59,265,050,000,000","65,459,993,000,000","58,482,658,000,000","60,563,714,000,000","65,978,412,000,000","62,048,901,000,000","61,000,537,000,000","50,547,526,000,000","53,331,740,000,000","47,815,633,000,000","50,937,120,000,000","49,782,252,000,000","53,315,453,000,000","51,682,572,000,000","48,537,539,000,000","47,117,918,000,000","52,730,122,000,000","47,447,310,000,000","52,353,229,000,000","53,675,326,000,000","59,276,625,000,000","59,083,499,000,000","57,464,448,000,000","52,868,095,000,000","56,058,847,000,000","52,177,270,000,000","47,596,979,000,000","45,270,517,000,000","47,303,935,227,974.5","41,273,965,000,000","39,438,854,000,000","36,985,017,000,000","41,871,078,781,024.2","40,229,261,000,000","37,891,918,000,000","34,638,070,000,000","71,875,809,539,988","24,861,999,000,000","21,019,644,000,000","18,566,217,000,000","66,791,705,348,589.7","19,256,170,000,000","18,139,099,000,000","17,107,345,000,000","52,808,362,084,922.2","16,680,570,000,000","14,632,873,000,000","14,386,012,000,000"
CostOfRevenue,"171,983,414,000,000","47,072,057,000,000","44,946,555,000,000","42,898,871,000,000","37,065,931,000,000","41,499,985,000,000","37,804,928,000,000","39,970,476,000,000","31,906,198,000,000","34,806,694,000,000","38,554,523,000,000","39,993,890,000,000","35,944,684,000,000","32,746,452,000,000","34,015,984,000,000","35,194,358,000,000","31,274,597,000,000","31,909,472,000,000","35,731,116,000,000","33,004,119,000,000","32,399,829,000,000","28,155,597,000,000","30,883,483,000,000","29,411,256,000,000","29,609,118,000,000","30,373,858,000,000","33,961,680,000,000","31,609,452,000,000","28,955,599,000,000","28,955,387,000,000","33,846,068,000,000","30,711,398,000,000","31,671,819,000,000","32,049,515,000,000","36,447,915,000,000","35,527,620,000,000","34,341,419,000,000","31,379,355,000,000","34,552,747,000,000","31,989,604,000,000","29,971,206,000,000","30,138,374,000,000","31,509,304,969,191.2","27,754,250,000,000","26,827,122,000,000","26,054,443,000,000","29,115,545,032,598","26,017,008,000,000","24,525,662,000,000","23,008,609,000,000","44,291,199,099,204","18,156,148,000,000","16,557,591,000,000","15,589,925,000,000","49,346,797,598,983.22","14,961,461,000,000","13,033,748,000,000","12,420,349,000,000","36,649,935,438,928.13","11,999,629,000,000","11,289,660,000,000","10,941,688,000,000"
GrossProfit,"120,014,380,000,000","30,709,441,000,000","31,618,969,000,000","31,080,316,000,000","26,605,654,000,000","23,888,518,000,000","23,746,580,000,000","26,993,684,000,000","21,059,944,000,000","20,518,484,000,000","21,330,237,000,000","22,009,581,000,000","20,182,420,000,000","19,639,094,000,000","25,249,066,000,000","30,265,635,000,000","27,208,061,000,000","28,654,242,000,000","30,247,296,000,000","29,044,782,000,000","28,600,708,000,000","22,391,929,000,000","22,448,257,000,000","18,404,377,000,000","21,328,002,000,000","19,408,394,000,000","19,353,773,000,000","20,073,120,000,000","19,581,940,000,000","18,162,531,000,000","18,884,054,000,000","16,735,912,000,000","20,681,410,000,000","21,625,811,000,000","22,828,710,000,000","23,555,879,000,000","23,123,029,000,000","21,488,740,000,000","21,506,100,000,000","20,187,666,000,000","17,625,773,000,000","15,132,143,000,000","15,794,630,258,783.3","13,519,715,000,000","12,611,732,000,000","10,930,574,000,000","12,755,533,748,426.2","14,212,253,000,000","13,366,256,000,000","11,629,461,000,000","27,584,610,440,784","6,705,851,000,000","4,462,053,000,000","2,976,292,000,000","17,444,907,749,606.48","4,294,709,000,000","5,105,351,000,000","4,686,996,000,000","16,158,426,645,994.07","4,680,941,000,000","3,343,213,000,000","3,444,324,000,000"
OperatingExpense,"63,641,983,000,000","16,588,032,000,000","17,752,257,000,000","15,262,785,000,000","14,038,909,000,000","14,505,650,000,000","14,699,579,000,000","14,640,446,000,000","12,913,652,000,000","14,071,139,000,000","14,169,967,000,000","14,231,689,000,000","13,585,355,000,000","13,405,812,000,000","14,448,467,000,000","12,690,770,000,000","12,339,026,000,000","13,012,072,000,000","15,100,325,000,000","14,511,623,000,000","14,534,161,000,000","12,493,568,000,000","13,227,436,000,000","13,204,288,000,000","13,184,052,000,000","12,732,582,000,000","13,211,008,000,000","12,679,747,000,000","12,684,003,000,000","12,183,164,000,000","13,595,627,000,000","12,675,390,000,000","13,494,087,000,000","13,137,012,000,000","14,517,432,000,000","13,392,285,000,000","13,592,346,000,000","12,709,282,000,000","13,103,914,000,000","12,070,689,000,000","10,932,194,000,000","9,295,547,000,000","9,161,656,620,598.22","9,173,152,000,000","8,832,004,000,000","8,062,693,000,000","8,798,918,582,047.72","9,332,565,000,000","8,520,662,000,000","7,471,748,000,000",,,,,,,,,"18,685,157,180,819.027",,"-2,303,000,000","-497,000,000"
	SellingGeneralAndAdministration,"30,900,857,000,000","8,045,918,000,000","8,667,471,000,000","7,770,088,000,000","6,417,380,000,000","6,673,081,000,000","7,171,679,000,000","7,092,934,000,000","5,354,287,000,000","6,465,893,000,000","7,212,126,000,000","6,977,331,000,000","6,467,798,000,000","6,364,925,000,000","7,178,144,000,000","6,230,631,000,000","6,041,156,000,000","6,787,239,000,000","8,743,250,000,000","8,259,109,000,000","8,353,939,000,000","6,793,984,000,000","7,870,911,000,000","8,013,945,000,000","7,991,241,000,000","7,382,803,000,000","7,943,451,000,000","7,578,841,000,000","7,717,021,000,000","7,003,970,000,000","8,324,897,000,000","7,686,507,000,000","8,162,354,000,000","7,757,479,000,000","8,669,128,000,000","8,121,265,000,000","8,575,872,000,000","7,775,732,000,000","8,316,691,000,000","7,914,447,000,000","7,094,387,000,000","5,510,258,000,000","-4,345,381,443,537.54","5,692,528,000,000","5,327,920,000,000","4,745,973,000,000","-8,075,815,900,100.08","5,952,878,000,000","5,393,290,000,000","4,631,129,000,000","-234,747,314,472","3,938,457,000,000","3,398,481,000,000","2,828,653,000,000",,"3,271,318,000,000","3,211,574,000,000","2,532,965,000,000",,"2,614,958,000,000","2,432,540,000,000","2,261,217,000,000"
		GeneralAndAdministrativeExpense,"5,066,424,000,000","1,273,251,000,000","1,385,137,000,000","1,224,119,000,000","1,183,917,000,000","1,047,773,000,000","1,137,339,000,000","1,156,298,000,000","1,065,503,000,000","1,329,130,000,000","1,501,087,000,000","1,374,446,000,000","1,160,556,000,000","1,136,309,000,000","1,117,070,000,000","900,773,000,000","1,006,177,000,000","1,118,250,000,000","1,386,199,000,000","1,255,649,000,000","1,418,582,000,000","1,119,448,000,000","1,327,503,000,000","1,089,474,000,000","1,356,371,000,000","883,080,000,000","1,183,292,000,000","861,118,000,000","1,149,794,000,000","1,372,296,000,000","1,332,382,000,000","1,222,763,000,000","1,167,999,000,000","1,239,868,000,000","1,343,660,000,000","1,268,941,000,000","1,237,427,000,000","1,085,576,000,000","827,601,000,000","855,754,000,000","870,729,000,000","707,196,000,000",,"626,832,000,000","542,596,000,000","491,488,000,000",,"433,597,000,000","366,785,000,000","443,201,000,000",,"3,938,457,000,000","3,398,481,000,000","2,828,653,000,000",,"3,271,318,000,000","3,211,574,000,000","2,532,965,000,000",,"2,614,958,000,000","2,432,540,000,000","2,261,217,000,000"
		SellingAndMarketingExpense,"25,834,433,000,000","6,772,667,000,000","7,282,334,000,000","6,545,969,000,000","5,233,463,000,000","5,625,308,000,000","6,034,340,000,000","5,936,636,000,000","4,288,784,000,000","5,136,763,000,000","5,711,039,000,000","5,602,885,000,000","5,307,242,000,000","5,228,616,000,000","6,061,074,000,000","5,329,858,000,000","5,034,979,000,000","5,668,989,000,000","7,357,051,000,000","7,003,460,000,000","6,935,357,000,000","5,674,536,000,000","6,543,408,000,000","6,924,471,000,000","6,634,870,000,000","6,499,723,000,000","6,760,159,000,000","6,717,723,000,000","6,567,227,000,000","5,631,674,000,000","6,992,515,000,000","6,463,744,000,000","6,994,355,000,000","6,517,611,000,000","7,325,468,000,000","6,852,324,000,000","7,338,445,000,000","6,690,156,000,000","7,489,090,000,000","7,058,693,000,000","6,223,658,000,000","4,803,062,000,000","-2,684,465,443,537.54","5,065,696,000,000","4,785,324,000,000","4,254,485,000,000","-6,832,232,900,100.08","5,519,281,000,000","5,026,505,000,000","4,187,928,000,000",,,,,,,,,,,,
	ResearchAndDevelopment,"22,883,414,000,000","5,922,232,000,000","6,468,776,000,000","5,109,890,000,000","5,382,516,000,000","5,440,544,000,000","5,222,093,000,000","5,311,761,000,000","5,217,642,000,000","5,359,994,000,000","4,919,222,000,000","5,133,014,000,000","4,952,418,000,000","4,902,582,000,000","5,240,471,000,000","4,519,999,000,000","4,368,968,000,000","4,224,642,000,000","4,433,424,000,000","4,181,831,000,000","3,970,405,000,000","3,769,952,000,000","3,539,745,000,000","3,506,418,000,000","3,498,701,000,000","3,566,517,000,000","3,462,980,000,000","3,415,927,000,000","3,335,547,000,000","3,491,241,000,000","3,652,305,000,000","3,339,685,000,000","3,702,672,000,000","3,690,844,000,000","3,793,543,000,000","3,659,594,000,000","3,541,179,000,000","3,325,086,000,000","2,955,874,000,000","2,975,618,000,000","2,872,922,000,000","2,728,381,000,000","2,742,450,878,251.48","2,429,192,000,000","2,464,123,000,000","2,344,075,000,000","2,427,437,270,871.52","2,313,368,000,000","2,305,682,000,000","2,052,865,000,000",,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,969,000,000","79,839,000,000","74,123,000,000","12,721,840,427,231.12","141,604,000,000","185,392,000,000","111,169,000,000","16,260,728,279,004.28","135,814,000,000","14,072,000,000","134,166,000,000",,,,,,,,,"11,422,385,563,821.508",,"-2,434,843,000,000","-2,261,714,000,000"
