name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
TotalOperatingIncomeAsReported,"9,193,104,861.55","5,051,728,868.1","2,856,136,924.68","680,356,554.27","604,882,514.5","-152,246,648.53","-532,011,763.18","-349,711,039.44","227,493,515.96","-368,089,151.74","-5,240,506,183.5","84,122,802.24","280,621,263.63","337,630,020.05","791,467,723.45","719,856,471.06","1,004,854,624.37","1,069,513,390.06","939,466,485.18","966,315,093.45","845,995,149.78","674,119,786.8","411,638,743.42","677,746,010.82","658,308,043.69","468,865,519.93","173,680,854.95","118,487,162.78","128,485,481.3","93,854,812.97","182,274,906.39","33,585,488.79","98,280,361.02","-20,687,048.97","-150,110,305.5","-3,618,552.38","3,634,623.61","905,667.73","4,281,179.33","14,214,056.62","14,968,955.51","8,205,587.77","9,585,816.05","12,459,407.37","9,449,862.12","9,033,106.71","11,147,637.33","10,725,624.69","13,443,266.01","5,159,185.14","11,853,909.81","9,283,947.78"
TotalExpenses,"3,840,068,063.36","963,538,286.78","1,306,726,378.86","797,794,712.7","772,008,685.02","594,635,526.43","738,796,060.17","506,634,680.75","561,206,196.8","562,061,995.69","759,139,068.42","668,360,545.93","583,224,192.45","611,310,846.42","959,802,954.83","640,822,943.48","571,060,569.76","519,626,538.98","551,539,059.95","535,559,517.97","501,081,925.25","393,791,907.58","435,812,504.79","397,735,381.47","296,243,665.31","270,358,368.98","390,047,657.7","316,372,738.14","225,664,788.09","267,652,995.36","340,543,886.09","217,512,829.64","441,660,537.27","100,667,995.36","241,091,608.09","98,202,595.25","95,875,591.9","66,854,033.1","82,172,948.34","90,477,839.53","104,875,042.32","75,897,311.99","96,617,786.8","97,725,385.46","105,140,097.98","68,543,920.68","75,488,076.63","60,924,412.96","63,611,996.97","52,166,777.82","55,588,590.97","73,395,781.86"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,654,699,040.98","3,327,975,300.41","1,549,047,777.81","444,011,982.65","333,663,980.11","-247,866,438.13","-730,487,146.63","-406,713,476.02","-196,270,676.2","-500,294,446.02","-6,122,850,867.18","-53,920,615.55","82,114,804.17","111,294,216.99","511,029,793.6","379,691,868.96","649,173,835.43","660,216,685.22","626,617,492.04","594,430,676.36","518,211,962.04","405,778,717.99","308,557,093.23","456,693,931.52","462,489,042.86","284,310,867.11","186,589,480.9","20,296,923.55","11,204,849.52","29,771,826.27","106,033,658.21","7,048,364.92","37,282,417.45","-19,862,969.58","-136,795,959.63","-2,882,786.65","5,281,357.93","2,035,945.9","3,823,924.74","16,153,369.32","13,608,895.3","8,148,001.17","7,976,535.57","12,452,882.93","10,954,096.54","8,842,464.8","9,630,994.02","10,226,766.19","11,412,877.48","7,613,508.28","11,621,139.55","8,292,466.43"
NormalizedIncome,"6,062,001,014.849","3,784,623,316.845","1,573,194,983.061","441,591,352.776","289,587,284.882","-153,322,960.818","-886,747,954.997","-250,295,228.863","-109,607,631.483","-585,444,390.555","-6,047,654,906.993","-158,497,200.76","30,470,024.557","124,345,773.411","501,938,978.425","391,858,584.214","617,229,560.093","695,213,651.99","611,592,680.381","617,530,011.176","527,930,763.3","411,220,329.786","510,261,186.998","457,897,714.705","462,694,277.402","285,685,930.715","191,092,640.313","62,456,941.713","12,005,019.878","30,289,400.25","116,841,050.465","7,711,047.378","34,545,571.983","-19,680,183.05","-104,905,579.983","-2,615,097.989","6,919,096.461","1,919,955.65","4,822,671.297","16,153,369.32","13,596,081.118","8,417,293.579","7,946,565.129","12,136,615.099","11,123,902.365","9,606,190.275","9,030,306.883","10,693,176.63","12,009,972.889","7,735,544.119","10,696,058.754","8,869,714.219"
InterestIncome,"4,178,639.3","1,673,208.41","1,152,319.12","621,970.52","731,141.25","881,291.03","1,269,985.23","94,684.09","-60,555.34","5,766,126.54","4,477,921.37","1,475,219.38","1,768,613.01","1,237,631.03","18,837,217.26","7,701,076.98",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,
InterestExpense,"1,405,620,148.39","282,484,105.68","309,776,810.74","497,658,741.82","315,700,490.15","345,241,482.31","421,774,444.05","413,209,539.43","478,872,254.24","506,247,802.52","484,569,290.59","553,559,821.2","508,680,139.3","496,961,638.11","213,690,503.02","97,689,136.97","65,019,851.6","38,732,631.76","95,875,379.28","23,939,120.74","67,742,033.01","-8,965,611.59","68,609,224.12","-7,423,175.6","17,664,002.4","17,655,371.19","19,505,833.36","60,479,085.22","47,258,337.78","-2,413,842.29","9,092,447.34","0","23,133,106.32","7,446,885.87","9,411,992.51","9,217,514.83","8,481,311.91","6,029,775.86","7,566,517.16","619,139.93","-608,908.42","-1,715,557.25","6,301,600.84","-1,101,345.83","2,695,641.89","-2,245,475.22","-172,702.75","1,244,258.54","751,219.37","1,682,326.69","1,571,914.29","1,195,420.9"
NetInterestIncome,"-1,327,431,142.83","-243,241,179.05","32,346,493.75","-854,307,790.81","-262,228,666.72","-402,081,148.15","-540,900,514.48","-248,005,735.19","16,856,441.15","-1,007,285,985.2","-399,103,807.89","-639,428,048.81","-499,425,091.62","-509,652,597.65","-111,859,846.64","-117,069,680.35","-29,772,749.74","-38,732,631.76","-73,591,127.45","-23,939,120.74","-55,792,231.68","8,965,611.59","-51,619,956.52","7,423,175.6","-9,915,835.56","-17,655,371.19","1,566,430.16","-60,479,085.22","-40,592,454.96","2,413,842.29","5,606,122.25","0","-15,259,879.34","-7,446,885.87","-10,855,839.56","-9,217,514.83","-7,823,622.05","-6,029,775.86","-3,491,853.8","-619,139.93","608,908.42","1,715,557.25","2,844,460.47","1,101,345.83","2,164,609.98","2,245,475.22","3,164,535.36","-1,244,258.54","-665,772.67","-1,682,326.69","-1,173,534.5","-1,195,420.9"
EBIT,"10,564,225,382.26","5,333,214,891.56","3,128,921,259.95","1,181,822,045.04","920,267,185.71","201,032,193.04","-167,999,871.73","78,312,906.47","716,187,094.75","139,472,942.43","-4,786,659,178.73","641,543,991.44","820,307,130.62","888,371,533.65","1,008,207,479.7","840,825,154.07","1,050,429,647.32","1,149,387,031.86","1,049,003,395.28","1,009,958,538.74","914,598,347.87","669,839,894.58","439,731,952.14","666,817,828.57","679,173,042.72","483,635,509.79","135,387,646.4","234,863,487.24","179,317,032.4","90,077,155.23","230,123,139.36","35,887,540.11","123,310,529.23","-13,081,808.17","-132,224,465.49","5,876,940.93","16,602,289.94","6,604,144.3","19,220,069.34","14,833,196.55","13,959,944.45","6,805,077.93","23,049,226.01","10,980,802.34","16,171,557.48","7,717,802.39","16,548,890.05","12,524,173.66","18,430,670.89","6,979,142.85","17,677,548.71","11,183,074.36"
EBITDA,"10,564,225,382.26"
ReconciledCostOfRevenue,"3,195,605,951.44","773,630,199.33","1,104,973,645.12","660,963,526.96","656,038,580.03","492,384,983.14","553,081,941.42","408,419,144.65","480,206,838.38","453,543,271.2","529,124,703.08","565,402,453.45","487,551,136.23","520,563,223.73","601,582,852.4","518,543,301.42","463,797,172.93","439,465,171.48","436,022,852.67","440,148,551.99","425,071,469.81","332,004,634.1","328,704,218.22","322,822,624.44","243,376,879.56","227,744,736.18","314,658,458.49","278,092,259.83","167,994,458.82","229,774,998.95","291,117,118.93","184,527,019.43","397,199,662.25","91,167,671.18","120,555,523.43","87,489,943.42","85,586,624.81","59,687,259.31","68,791,978.06","78,417,700.02","95,709,484.24","68,943,678.47","85,952,397.17","90,606,677.12","96,587,900.1","63,045,553.73","66,417,393.4","56,346,359.76","58,978,981.5","48,164,152.62","52,191,783.54","67,843,102.27"
NetIncomeFromContinuingOperationNetMinorityInterest,"5,654,699,040.98","3,327,975,300.41","1,549,047,777.81","444,011,982.65","333,663,980.11","-247,866,438.13","-730,487,146.63","-406,713,476.02","-196,270,676.2","-500,294,446.02","-6,122,850,867.18","-53,920,615.55","82,114,804.17","111,294,216.99","511,029,793.6","379,691,868.96","649,173,835.43","660,216,685.22","626,617,492.04","594,430,676.36","518,211,962.04","405,778,717.99","308,557,093.23","456,693,931.52","462,489,042.86","284,310,867.11","186,589,480.9","20,296,923.55","11,204,849.52","29,771,826.27","106,033,658.21","7,048,364.92","37,282,417.45","-19,862,969.58","-136,795,959.63","-2,882,786.65","5,281,357.93","2,035,945.9","3,823,924.74","16,153,369.32","13,608,895.3","8,148,001.17","7,976,535.57","12,452,882.93","10,954,096.54","8,842,464.8","9,630,994.02","10,226,766.19","11,412,877.48","7,613,508.28","11,621,139.55","8,292,466.43"
TotalUnusualItemsExcludingGoodwill,"-556,130,490.83","-586,024,920.23","-35,963,388.84","3,675,895.05","62,181,923.19","-126,057,969.75","165,943,956.01","-199,962,359.59","-115,550,726.29","113,533,259.38","-100,261,280.25","104,885,850.79","66,016,276.15","-17,732,636.11","10,309,988.27","-16,636,073.99","43,159,295.08","-46,754,710.23","19,696,098.11","-30,344,281.64","-12,837,477.94","-7,346,129.69","-268,938,791.69","-1,552,983.23","-257,949.37","-1,909,221.13","-6,004,212.55","-56,213,357.55","-1,066,893.81","-690,098.64","-14,409,856.34","-883,576.61","3,649,127.29","-182,786.53","-33,736,580.67","-277,978.48","-1,929,729.93","140,854.33","-1,116,903.7","0","15,474.16","-315,047.41","38,116.31","377,259.2","-196,399.03","-930,170.9","769,335.81","-554,290.43","-723,335.65","-146,671.02","1,059,780.63","-703,705.68"
TotalUnusualItems,"-556,130,490.83","-586,024,920.23","-35,963,388.84","3,675,895.05","62,181,923.19","-126,057,969.75","165,943,956.01","-199,962,359.59","-115,550,726.29","113,533,259.38","-100,261,280.25","104,885,850.79","66,016,276.15","-17,732,636.11","10,309,988.27","-16,636,073.99","43,159,295.08","-46,754,710.23","19,696,098.11","-30,344,281.64","-12,837,477.94","-7,346,129.69","-268,938,791.69","-1,552,983.23","-257,949.37","-1,909,221.13","-6,004,212.55","-56,213,357.55","-1,066,893.81","-690,098.64","-14,409,856.34","-883,576.61","3,649,127.29","-182,786.53","-33,736,580.67","-277,978.48","-1,929,729.93","140,854.33","-1,116,903.7","0","15,474.16","-315,047.41","38,116.31","377,259.2","-196,399.03","-930,170.9","769,335.81","-554,290.43","-723,335.65","-146,671.02","1,059,780.63","-703,705.68"
NormalizedEBITDA,"11,120,355,873.09","5,919,239,811.79","3,164,884,648.79","1,178,146,149.99","858,085,262.52","327,090,162.79","-333,943,827.74","278,275,266.06","831,737,821.04","25,939,683.05","-4,686,397,898.48","536,658,140.65","754,290,854.47","906,104,169.76","997,897,491.43","857,461,228.06","1,007,270,352.24","1,196,141,742.09","1,029,307,297.17","1,040,302,820.38","927,435,825.81","677,186,024.27","708,670,743.83","668,370,811.8","679,430,992.09","485,544,730.92","141,391,858.95","291,076,844.79","180,383,926.21","90,767,253.87","244,532,995.7","36,771,116.72","119,661,401.94","-12,899,021.64","-98,487,884.82","6,154,919.41","18,532,019.87","6,463,289.97","20,336,973.04","14,833,196.55","13,944,470.29","7,120,125.34","23,011,109.7","10,603,543.14","16,367,956.51","8,647,973.29","15,779,554.24","13,078,464.09","19,154,006.54","7,125,813.87","16,617,768.08","11,886,780.04"
TaxRateForCalcs,"0.268","0.221","0.329","0.341","0.291","0.25","0.058","0.218","0.25","0.25","0.25","0.003","0.218","0.264","0.118","0.269","0.26","0.251","0.237","0.239","0.243","0.259","0.25","0.225","0.204","0.28","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0","0.055","0.037","0.151","0.177","0.106","0.137","0.172","0.145","0.214","0.162","0.135","0.179","0.219","0.159","0.175","0.168","0.127","0.18"
TaxEffectOfUnusualItems,"-148,828,516.961","-129,376,903.795","-11,816,183.589","1,255,265.176","18,105,227.962","-31,514,492.438","9,683,147.643","-43,544,112.433","-28,887,681.573","28,383,314.845","-25,065,320.063","309,265.58","14,371,496.537","-4,681,079.689","1,219,173.095","-4,469,358.736","11,215,019.743","-11,757,743.46","4,671,286.451","-7,244,946.824","-3,118,676.68","-1,904,517.894","-67,234,697.923","-349,200.045","-52,714.828","-534,157.525","-1,501,053.138","-14,053,339.388","-266,723.453","-172,524.66","-3,602,464.085","-220,894.153","912,281.823","0","-1,846,201.023","-10,289.819","-291,991.399","24,864.08","-118,157.143","0","2,659.978","-45,755.001","8,145.869","60,991.369","-26,593.205","-166,445.425","168,648.673","-87,879.99","-126,240.241","-24,635.181","134,699.834","-126,457.891"
