name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
MarketCap,"37,653,948,167,000","39,438,636,620,000","43,357,491,409,000","47,544,556,486,000","46,302,110,522,000","43,835,084,436,000","41,531,057,572,000","28,728,018,748,500","24,105,233,886,500","15,929,562,393,500","15,575,086,284,800","14,717,257,997,800","15,606,219,408,700","14,161,076,316,300","14,453,941,996,200","17,059,135,779,500","14,136,420,924,400","12,720,107,762,300","13,515,669,801,500","13,129,836,598,700","11,340,541,758,500","3,998,714,353,400","3,697,219,562,400","3,448,692,330,300","4,340,716,619,400","4,453,097,632,200","5,176,550,402,100","4,144,049,847,000","4,530,359,578,500","5,176,550,402,100","5,022,026,509,500","5,485,598,187,300","4,480,858,082,400","3,900,892,162,200","3,245,506,367,400","3,280,697,151,800","2,450,424,958,800","2,089,144,355,900","2,221,163,406,000","2,279,496,990,400","2,149,368,225,200","2,176,128,458,000","2,194,861,609,600","1,902,364,827,600","2,729,086,609,200","2,655,109,348,400","3,020,063,265,000","2,771,841,936,000","3,349,334,850,000","2,351,186,946,200","2,488,969,168,000","2,666,114,280,000","1,678,343,796,000","1,303,982,475,200","1,081,512,492,100","1,730,915,916,600","1,610,321,749,200","1,627,667,074,000","1,574,877,871,600","1,560,549,541,000","1,679,562,931,500","1,896,959,923,400"
EnterpriseValue,"39,810,751,570,050","41,595,440,023,050","45,532,035,858,870","49,763,281,561,740","48,478,326,473,360","46,046,890,752,800","43,785,581,087,200","31,225,384,563,420","26,576,133,170,290","18,372,910,349,740","17,896,389,811,120","17,084,685,039,800","17,753,573,343,700","15,762,354,391,320","16,055,220,071,220","17,667,353,270,500","14,837,438,043,400","12,939,957,075,300","13,743,015,432,500","12,862,930,745,700","11,073,635,905,500","3,344,554,793,400","2,221,061,524,400","1,972,534,292,300","2,196,430,410,400","3,985,278,455,200","5,049,549,944,950","4,352,102,796,000","5,018,555,169,500","5,217,707,512,620","5,109,417,666,720","5,850,135,128,300","4,831,890,257,400","4,423,849,933,200","3,682,356,542,370","3,766,748,027,800","2,885,469,600,800","2,218,081,729,820","2,350,100,779,920","2,282,850,633,400","2,126,653,346,200","2,159,077,356,910","2,373,072,856,600","2,080,576,074,600","2,660,191,552,200","2,344,334,017,400","2,247,836,983,690","2,026,759,717,590","2,579,260,928,470","1,754,673,574,110","1,656,522,173,000","2,476,259,770,000","1,582,874,619,000","1,250,190,502,200","837,448,866,100","1,768,870,081,600","1,802,259,146,200","2,069,956,021,000","1,785,092,439,600","1,910,103,482,000","1,829,799,478,500","1,896,959,923,400"
PeRatio,"14.123","14.7","20.65","23.331","30.801","41.981","98.93","87.989","77.689","30.194","9.333","8.827","9.744","8.327","8.423","10.924","8.855","8.785","14.762","26.757","22.48","314.737",,,,,"24.116","19.306",,"35.196",,,,"42.021","8.253","8.345","1.65","1.374","1.462","5.954","5.915","6.615","6.166","5.347","6.532","6.655","13.403","12.311","14.893","10.504","11.12","18.023","11.415","8.892","7.375",,,,,,,
ForwardPeRatio,"13.755","14.728","16.556","18.762","28.902","27.933","18.018","15.528","26.11","8.818","5.663","4.796","7.943","5.634","5.447","6.075","8.681","5.921",,,,,,,"10.684","10.965","4.787","13.423","10.929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.464","0.489","0.378","0.437","0.743","0.523","0.366","0.321","0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.307","1.36","1.717","1.94","2.24","2.473","1.807","1.576","1.392","0.856","0.609","0.576","0.621","0.624","0.652","0.844","0.873","0.894","1.052","1.213","1.019","0.772","0.475","0.427","0.539","0.581","0.657","0.526","0.585","0.706","0.601","0.656","0.885","0.762","0.6","0.607","0.423","0.35","0.37","0.384","0.37","0.386","0.407","0.353","0.516","0.504","0.59","0.542","0.656","0.463","0.49","0.489","0.31","0.241","0.2","0.324","0.301","0.305","0.295",,,
PbRatio,"1.297","1.35","1.606","1.815","2.125","2.277","1.621","1.371","1.211","0.74","0.497","0.47","0.508","0.49","0.491","0.584","0.545","0.513","0.567","0.601","0.505","0.379","0.34","0.317","0.397","0.445","0.457","0.366","0.401","0.448","0.437","0.478","0.574","0.525","0.435","0.44","0.332","0.284","0.298","0.367","0.342","0.356","0.357","0.309","0.441","0.443","0.535","0.491","0.636","0.469","0.5","0.536","0.351","0.282","0.239","0.367","0.349","0.353","0.341","0.331","0.362",
EnterprisesValueRevenueRatio,"2.719","10.272","11.932","14.467","14.539","15.54","13.467","10.114","10.387","7.663","6.344","6.653","7.383","6.841","6.477","7.003","6.6","6.779","7.411","7.531","7.614","2.563","1.705","1.529","1.667","3.088","2.712","2.179","2.722","2.796","2.675","3.092","4.608","3.895","3.056","2.905","2.208","1.836","1.662","1.519","1.439","1.568","1.651","1.437","1.971","1.939","1.806","1.504","1.944","1.456","1.65","2.57","1.77","1.816","25.007","1.359","1.397","1.88","1.552","2.093","2.123","2.186"
EnterprisesValueEBITDARatio,"12.159","50.918","53.089","56.604","67.28","89.348","59.339","52.448","72.481","71.782","79.869","31.11","39.619","56.002","28.202","37.198","51.039","38.595","29.651","42.865","31.875","17.087","10.278","18.443","30.94","-5.5","-37.788","5.076","-22.443","20.327","31.688","23.991","32.949","26.659","-26.54","13.669","9.947","10.058","1.096","-193.231","7.234","7.398","-11.137","8.059","11.116","11.008","12.725","7.218","12.856","10.497","12.659","11.56","9.628","8.729","4.141","8.738","9.56","21.107","-12.047","126.807","-69.243","-475.814"
