name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
			NetIncomeDiscontinuousOperations,"-28,680,000,000","-688,000,000","-6,763,000,000","-20,686,000,000","1,647,000,000","328,379,000,000","42,784,000,000","48,976,000,000","28,244,000,000","-24,177,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-32,570,000,000",,,,,"-7,098,000,000","-244,000,000","-3,239,000,000","-4,211,000,000"
		MinorityInterests,"-300,891,000,000","-81,044,000,000","-74,093,000,000","-69,757,000,000","-75,997,000,000","-64,270,000,000","-59,615,000,000","-58,087,000,000","-36,802,000,000","-15,271,000,000","-20,923,000,000","-8,630,000,000","-15,735,000,000","-17,451,000,000","-6,427,000,000","-3,211,000,000","-15,671,000,000","-21,395,000,000","-22,341,000,000","-24,500,000,000","-13,245,000,000","-16,607,000,000","-1,107,000,000","-1,828,000,000","1,427,000,000","1,637,000,000","3,292,000,000","8,043,000,000","-3,523,000,000","-3,356,000,000","794,000,000","10,432,000,000","586,000,000","2,086,000,000","-139,000,000","-543,000,000","-2,666,000,000","-1,297,000,000","-2,473,000,000","-6,661,000,000","2,731,000,000","-5,455,000,000","-1,581,000,000","-1,590,000,000","-10,492,000,000","-18,081,000,000","-17,458,000,000","-10,556,000,000","-6,857,000,000","-6,638,000,000",,,,,,,,,,,,
DilutedNIAvailtoComStockholders,,,,,,,,,,,,,,,,,,,"315,761,000,000","520,952,000,000","577,077,000,000","531,490,000,000","268,850,000,000","295,600,000,000","376,911,000,000","339,762,000,000","210,334,000,000","350,412,000,000","349,445,000,000","242,796,000,000","110,135,000,000",,"227,332,000,000","288,104,000,000","176,737,000,000","351,790,000,000","398,295,000,000","339,146,000,000","289,851,000,000","452,652,000,000","376,584,000,000","375,399,000,000",,"510,035,000,000","613,975,000,000","638,506,000,000","419,806,000,000","588,556,000,000","638,791,000,000","511,103,000,000",,"543,064,000,000","467,083,000,000","288,512,000,000",,"296,996,000,000","385,546,000,000","258,432,000,000",,"210,721,000,000","236,579,000,000",
BasicEPS,,"8,832",,"7,832","19,132","16,776",,"6,680","4,988","274",,"1,677","887","2,537",,"4,481","6,234","6,934",,"6,799","7,531","6,936",,"4,019","5,124","4,619",,"4,764","4,751","3,300",,"3,294","3,090","3,917",,"4,783","5,415","4,611",,"6,154","5,120","5,104",,"6,935","8,348","8,682",,"8,002","8,686","6,949",,"7,384","6,350","3,454",,"3,561","4,629","3,102",,"2,907.468","3,263","1,559.514"
DilutedEPS,,"8,832",,"7,832","19,132","16,776",,"6,680","4,988","274",,"1,573","819","2,530",,"4,462","6,177","6,934",,"6,799","7,531","6,936",,"4,019","5,124","4,619",,"4,764","4,751","3,300",,"3,294","3,090","3,917",,"4,783","5,415","4,611",,"6,154","5,120","5,104",,"6,935","8,348","8,682",,"8,002","8,686","6,949",,"7,384","6,350","3,454",,"3,561","4,629","3,102",,"2,907.468","3,263","1,559.514"
BasicAverageShares,,"70,224,814",,"70,217,122","70,216,305","70,213,855",,"68,999,296","68,939,926","68,939,926",,"68,939,926","68,939,926","68,939,926",,"68,939,927","68,939,927","68,939,927",,"68,940,380","68,940,610","68,941,301",,"65,911,305","65,911,305","65,911,305",,"65,911,305","65,911,305","65,911,305",,"65,911,308","65,911,308","65,911,308",,"65,911,310","65,911,310","65,911,310",,"65,911,316","65,911,316","65,911,316",,"65,911,319","65,911,319","65,911,319",,"73,551,112","73,542,597","73,550,583",,"73,546,046","73,556,378","83,529,820",,"83,402,415","83,289,263","83,311,412",,"72,517,320","72,503,524",
DilutedAverageShares,,"70,224,814",,"70,217,122","70,216,305","70,213,855",,"68,999,296","70,224,660","70,224,660",,"70,224,660","70,224,660","70,224,660",,"69,730,533","69,479,373","68,939,927",,"68,940,380","68,940,610","68,941,301",,"65,911,305","65,911,305","65,911,305",,"65,911,305","65,911,305","65,911,305",,"65,911,308","65,911,308","65,911,308",,"65,911,310","65,911,310","65,911,310",,"65,911,316","65,911,316","65,911,316",,"65,911,319","65,911,319","65,911,319",,"73,551,112","73,542,597","73,550,583",,"73,546,046","73,556,378","83,529,820",,"83,402,415","83,289,263","83,311,412",,"72,517,320","72,503,524",
TotalOperatingIncomeAsReported,"4,640,242,000,000","1,024,260,000,000","748,416,000,000","726,605,000,000","2,139,808,000,000","1,408,144,000,000","118,577,000,000","902,084,000,000","571,642,000,000","236,458,000,000","-27,508,000,000","380,274,000,000","267,515,000,000","275,367,000,000","289,559,000,000","602,379,000,000","703,291,000,000","650,841,000,000","614,981,000,000","789,698,000,000","726,870,000,000","796,908,000,000","461,724,000,000","459,997,000,000","612,453,000,000","457,745,000,000","352,007,000,000","546,318,000,000","563,441,000,000","361,802,000,000","231,579,000,000","357,453,000,000","359,634,000,000","362,095,000,000","316,362,000,000","516,250,000,000","501,518,000,000","408,916,000,000","346,632,000,000","601,261,000,000","502,955,000,000","459,476,000,000","500,408,000,000","724,321,000,000","775,384,000,000","835,312,000,000","562,262,000,000","778,765,000,000","827,876,000,000","652,426,000,000",,"655,866,000,000","563,031,000,000","416,495,000,000",,"442,909,000,000","481,393,000,000","378,790,000,000",,"252,516,000,000","162,890,000,000","126,918,000,000"
TotalExpenses,"39,977,858,000,000","10,583,811,000,000","10,200,281,000,000","9,883,548,000,000","9,316,334,000,000","8,241,888,000,000","8,786,292,000,000","6,605,197,000,000","6,363,549,000,000","6,879,271,000,000","7,488,730,000,000","6,967,029,000,000","6,909,929,000,000","6,363,706,000,000","7,053,153,000,000","6,632,479,000,000","6,348,562,000,000","5,902,749,000,000","5,817,221,000,000","5,607,385,000,000","5,655,192,000,000","5,689,760,000,000","5,049,972,000,000","4,594,281,000,000","4,606,776,000,000","4,416,347,000,000","4,688,583,000,000","4,631,431,000,000","4,509,781,000,000","4,553,220,000,000","5,140,724,000,000","5,306,495,000,000","5,509,129,000,000","5,310,721,000,000","5,324,275,000,000","5,348,882,000,000","5,415,721,000,000","5,311,688,000,000","5,334,014,000,000","5,224,642,000,000","5,490,520,000,000","5,303,484,000,000","5,083,920,000,000","5,163,145,000,000","4,917,675,000,000","4,655,872,000,000","4,412,386,000,000","4,240,841,000,000","4,193,574,000,000","3,773,443,000,000",,"3,141,831,000,000","2,838,753,000,000","2,515,532,000,000",,"3,621,908,000,000","3,256,600,000,000","3,069,294,000,000",,"2,514,097,000,000","2,482,027,000,000","2,253,817,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"3,051,263,000,000","688,178,000,000","262,685,000,000","610,128,000,000","1,490,272,000,000","1,306,702,000,000","-403,011,000,000","512,300,000,000","382,268,000,000","21,076,000,000","-77,765,000,000","128,555,000,000","68,088,000,000","194,487,000,000","120,146,000,000","343,389,000,000","477,724,000,000","531,349,000,000","315,761,000,000","520,952,000,000","577,077,000,000","531,490,000,000","268,850,000,000","295,600,000,000","376,911,000,000","339,762,000,000","210,334,000,000","350,412,000,000","349,445,000,000","242,796,000,000","110,135,000,000","242,352,000,000","227,332,000,000","288,104,000,000","176,737,000,000","351,790,000,000","398,295,000,000","339,146,000,000","289,851,000,000","452,652,000,000","376,584,000,000","375,399,000,000","375,409,000,000","510,035,000,000","613,975,000,000","638,506,000,000","419,806,000,000","588,556,000,000","638,791,000,000","511,103,000,000",,"543,064,000,000","467,083,000,000","288,512,000,000",,"296,996,000,000","385,546,000,000","258,432,000,000",,"210,721,000,000","236,579,000,000","113,027,000,000"
NormalizedIncome,"3,176,905,002,185.794","673,539,438,287.08","423,597,200,033.22","547,366,234,785.167","1,496,401,933,792.259","958,336,813,446.682","-99,594,718,870.271","571,642,406,460.338","424,953,790,939.165","-165,845,000,000","53,188,750,000","130,103,000,000","79,439,250,000","206,776,556,752.581","157,180,212,103.128","359,394,794,024.152","489,557,018,981.703","543,491,333,474.179","321,767,179,848.715","622,363,608,781.571","581,387,130,420.481","559,839,046,394.034","314,444,828,615.074","299,737,949,707.065","379,350,475,442.224","346,725,352,726.645","236,805,423,447.598","364,166,593,728.607","402,472,938,678.509","254,957,589,534.256","122,863,820,000","289,507,011,792.894","251,132,912,742.234","290,642,375,111.925","221,789,161,023.198","374,366,117,644.391","402,336,330,154.14","343,251,135,594.651","286,517,296,822.143","450,526,892,038.88","376,665,769,270.828","377,212,322,696.348","368,665,688,848.068","544,394,624,984.648","606,247,682,782.377","637,530,718,487.695","440,835,661,406.433","585,716,581,495.301","643,613,848,955.119","511,313,672,404.466","259,240,934,370.787","546,169,017,985.488","481,805,206,449.943","318,023,932,543.364","4,113,446,986.023","262,919,563,608.682","374,061,438,768.116","243,790,964,291.861","158,103,210,913.287","223,641,375,059.793","239,413,000,000","118,933,453,902.715"
