name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingIncome,"2,416,000,000","478,000,000","534,000,000","721,000,000","683,000,000","618,000,000","860,000,000","715,000,000","484,000,000","469,000,000","500,000,000","660,000,000","453,000,000","540,000,000","581,000,000","628,000,000","565,000,000","600,000,000","445,000,000","644,000,000","621,000,000","539,000,000","551,000,000","648,000,000","527,000,000","456,000,000","672,000,000","628,000,000","704,000,000","666,000,000","669,000,000","722,000,000","767,000,000","743,000,000","607,000,000","874,000,000","859,000,000","694,000,000","864,000,000","940,000,000","618,000,000","991,000,000","1,007,000,000","929,000,000","922,000,000","921,000,000","898,000,000","887,000,000","881,000,000","918,000,000","667,000,000","926,000,000","759,000,000","798,000,000","684,000,000","846,000,000","906,000,000","900,000,000","710,000,000","747,000,000","800,000,000","783,000,000","432,000,000","908,000,000","860,000,000","899,000,000","851,000,000","850,000,000","481,000,000","733,000,000","662,000,000","691,000,000","574,000,000","631,000,000","655,000,000","487,000,000","435,000,000","573,000,000","-1,538,000,000","328,000,000","353,000,000","644,000,000","678,000,000","450,000,000","415,000,000","508,000,000","477,000,000","432,000,000","316,000,000","390,000,000","276,000,000","232,000,000","204,000,000","213,000,000","226,000,000","197,000,000","168,000,000","161,000,000","101,000,000","93,000,000","89,000,000","78,000,000","71,000,000","75,000,000","69,000,000","65,000,000","62,300,000","65,100,000","60,600,000","58,600,000","57,600,000","58,200,000","62,300,000","54,000,000","131,100,000","129,200,000","128,800,000","129,500,000","117,200,000","107,600,000","87,200,000","89,000,000","87,000,000","92,300,000","81,300,000","72,900,000","50,000,000","55,100,000","51,000,000","34,000,000"
NetNonOperatingInterestIncomeExpense,"-674,000,000","-183,000,000","-156,000,000","-171,000,000","-164,000,000","-122,000,000","-227,000,000","-226,000,000","-154,000,000","-163,000,000","-186,000,000","-169,000,000","-191,000,000","-186,000,000","-178,000,000","-176,000,000","-187,000,000","-205,000,000","-183,000,000","-252,000,000","-240,000,000","-251,000,000","-246,000,000","-244,000,000","-252,000,000","-234,000,000","-224,000,000","-238,000,000","-177,000,000","-273,000,000","-225,000,000","-321,000,000","-250,000,000","-310,000,000","-355,000,000","-272,000,000","-283,000,000","-311,000,000","-284,000,000","-312,000,000","-302,000,000","-325,000,000","-318,000,000","-329,000,000","-299,000,000","-256,000,000","-255,000,000","-290,000,000","-293,000,000","-284,000,000","-254,000,000","-327,000,000","-293,000,000","-293,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"305,000,000","75,000,000","86,000,000","71,000,000","73,000,000","68,000,000","70,000,000","64,000,000","64,000,000","70,000,000","76,000,000","81,000,000","82,000,000","79,000,000","79,000,000","79,000,000","76,000,000","76,000,000","-47,000,000","101,000,000","93,000,000","97,000,000","99,000,000","110,000,000","138,000,000","130,000,000","151,000,000","150,000,000","133,000,000","90,000,000","160,000,000","69,000,000","73,000,000","63,000,000","62,000,000","85,000,000","63,000,000","66,000,000","86,000,000","89,000,000","83,000,000","91,000,000","107,000,000","103,000,000","97,000,000","95,000,000","104,000,000","97,000,000","101,000,000","109,000,000","66,000,000","94,000,000","90,000,000","98,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"979,000,000","258,000,000","242,000,000","242,000,000","237,000,000","190,000,000","297,000,000","290,000,000","218,000,000","233,000,000","262,000,000","250,000,000","273,000,000","265,000,000","257,000,000","255,000,000","263,000,000","281,000,000","136,000,000","353,000,000","333,000,000","348,000,000","345,000,000","354,000,000","390,000,000","364,000,000","375,000,000","388,000,000","310,000,000","363,000,000","385,000,000","390,000,000","323,000,000","373,000,000","417,000,000","357,000,000","346,000,000","377,000,000","370,000,000","401,000,000","385,000,000","416,000,000","425,000,000","432,000,000","396,000,000","351,000,000","359,000,000","387,000,000","394,000,000","393,000,000","320,000,000","421,000,000","383,000,000","391,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-2,551,000,000","-31,000,000","-1,907,000,000","36,000,000","-649,000,000","-487,000,000","-54,000,000","-1,005,000,000","-225,000,000","14,000,000","-209,000,000","-67,000,000","-144,000,000",,"-57,000,000","-120,000,000","-36,000,000","603,000,000","-237,000,000","-45,000,000","-141,000,000","-128,000,000","-613,000,000","-110,000,000","-297,000,000","-62,000,000","-211,000,000","-224,000,000","-143,000,000","-58,000,000","-10,000,000","205,000,000","-99,000,000","-315,000,000","-309,000,000","-216,000,000","-167,000,000","-84,000,000","11,000,000","-1,879,000,000","-115,000,000","107,000,000","-29,000,000","-372,000,000","2,000,000","38,000,000","-1,086,000,000","-216,000,000","-56,000,000","-54,000,000","35,000,000","29,000,000","120,000,000","164,000,000","-238,000,000","-19,000,000","908,000,000","68,000,000","-419,000,000","-21,000,000","258,000,000","-20,000,000","140,000,000","-606,000,000","-25,000,000","52,000,000","-47,000,000","-13,000,000","87,000,000","-2,000,000","-31,000,000","-10,000,000","-1,000,000","-6,000,000","-92,000,000","36,000,000","207,000,000","69,000,000","-686,000,000","20,000,000","-63,000,000","53,000,000","104,000,000","-34,000,000","109,000,000","37,000,000","138,000,000","103,000,000","99,000,000","118,000,000","130,000,000","-17,000,000","41,000,000","-97,000,000","63,000,000","44,000,000","43,000,000","42,000,000","47,000,000","28,000,000","14,000,000","16,000,000","19,000,000","9,000,000","2,000,000","5,000,000","4,600,000","3,100,000","3,500,000","2,300,000","3,300,000","3,200,000","2,200,000","3,300,000",,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"6,000,000","-19,000,000","-2,000,000","29,000,000","-2,000,000","-35,000,000","35,000,000","2,000,000","-6,000,000","24,000,000","2,000,000","-87,000,000","22,000,000","-4,000,000","-28,000,000","5,000,000","-30,000,000","-19,000,000","29,000,000","21,000,000","12,000,000","-21,000,000","1,000,000","-20,000,000","-36,000,000","43,000,000","80,000,000","32,000,000","15,000,000","-23,000,000","97,000,000","283,000,000","7,000,000","-18,000,000","-6,000,000","35,000,000","3,000,000","-29,000,000","-52,000,000","22,000,000","-96,000,000","178,000,000","-16,000,000","-92,000,000","39,000,000","39,000,000",,"103,000,000","-71,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-2,557,000,000","-7,000,000","-1,905,000,000","6,000,000","-653,000,000","-446,000,000","-92,000,000","-1,009,000,000","-68,000,000","35,000,000","-86,000,000","20,000,000","-166,000,000","5,000,000","116,000,000","-125,000,000","-10,000,000","621,000,000","-273,000,000","-75,000,000","-157,000,000","-112,000,000","-625,000,000","-100,000,000","-263,000,000","-107,000,000","-296,000,000","-261,000,000","-163,000,000","-31,000,000","-176,000,000","-71,000,000","-108,000,000","-307,000,000","-307,000,000","-261,000,000","-171,000,000","-56,000,000","40,000,000","-1,901,000,000","-19,000,000","-71,000,000","-13,000,000","-280,000,000","-37,000,000","-1,000,000","-1,105,000,000","-319,000,000","15,000,000","-54,000,000","35,000,000","29,000,000","120,000,000","164,000,000","-962,000,000","-19,000,000","908,000,000","68,000,000","-577,000,000","-21,000,000","258,000,000","-20,000,000","140,000,000","-606,000,000","-25,000,000","52,000,000","-47,000,000","-13,000,000","87,000,000","-2,000,000","-31,000,000","-10,000,000","-1,000,000","-6,000,000","-92,000,000","36,000,000","207,000,000","69,000,000","-686,000,000","20,000,000","-63,000,000","53,000,000","104,000,000","-34,000,000","109,000,000","37,000,000","138,000,000","103,000,000","99,000,000","118,000,000","130,000,000","-17,000,000","41,000,000","-97,000,000","63,000,000","44,000,000","43,000,000","42,000,000","47,000,000","28,000,000","14,000,000","16,000,000","19,000,000","9,000,000","2,000,000","5,000,000","4,600,000","3,100,000","3,500,000","2,300,000","3,300,000","3,200,000","2,200,000","3,300,000",,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"-246,000,000","0","-30,000,000","-40,000,000","-176,000,000","-36,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,"0","0","0",,"1,000,000","15,000,000","3,000,000",,"-1,000,000",,"6,000,000",,"317,000,000","0","0","0","10,000,000","0","0","154,000,000","314,000,000","58,000,000",,,"-105,000,000","1,893,000,000","18,000,000","11,000,000","29,000,000","180,000,000","33,000,000",,"927,000,000","314,000,000","1,000,000",,"140,000,000","6,000,000","1,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"1,103,000,000","1,000,000","201,000,000","29,000,000","872,000,000","473,000,000","9,000,000","849,000,000","0","6,000,000","69,000,000","0","116,000,000",,"42,000,000","74,000,000","92,000,000","0","277,000,000","2,000,000","90,000,000","168,000,000","623,000,000","79,000,000","235,000,000","159,000,000","9,000,000","231,000,000","37,000,000","8,000,000","43,000,000","15,000,000","63,000,000","12,000,000","-27,000,000","203,000,000","0","48,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
