name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalAssets,"439,326,959,000,000","426,621,158,000,000","410,420,718,000,000","384,777,669,000,000","392,826,274,000,000","378,235,718,000,000","375,788,742,000,000","357,959,499,000,000","357,457,535,000,000","352,564,497,000,000","353,385,985,000,000","342,940,134,000,000","345,067,883,000,000","339,357,244,000,000","337,195,786,000,000","318,688,380,000,000","312,473,113,000,000","301,752,090,000,000","296,578,579,000,000","277,589,436,000,000","264,217,372,000,000","262,174,324,000,000","244,471,456,000,000","243,960,673,000,000","241,239,789,000,000","242,179,521,000,000","246,567,573,000,000","231,690,886,000,000","227,250,377,000,000","230,422,958,000,000","231,746,489,000,000","224,723,074,000,000","225,292,596,000,000","214,075,018,000,000","210,812,881,000,000","203,761,612,000,000","190,842,671,000,000","181,071,570,000,000","176,727,146,000,000","166,300,009,000,000","160,156,621,000,000","155,631,250,757,000.2","148,165,885,000,000","137,969,699,000,000","136,532,155,000,000","134,288,743,480,498.5","132,229,860,000,000","125,676,660,000,000","115,095,795,000,000","112,179,788,333,304","80,760,972,000,000","75,994,052,000,000","74,492,631,000,000","105,300,648,554,960.5","75,019,095,000,000","70,957,624,000,000","67,549,739,000,000","93,375,135,929,828.53","61,892,411,000,000","59,250,245,000,000","56,494,709,000,000"
	CurrentAssets,"232,369,082,000,000","218,163,185,000,000","212,793,019,000,000","191,118,524,000,000","209,155,353,000,000","198,215,579,000,000","203,634,913,000,000","186,136,845,000,000","186,739,748,000,000","181,385,260,000,000","186,042,134,000,000","173,433,478,000,000","177,388,524,000,000","174,697,424,000,000","176,282,049,000,000","156,976,839,000,000","154,941,953,000,000","146,982,464,000,000","145,322,337,000,000","132,172,681,000,000","129,284,204,000,000","141,429,704,000,000","132,166,769,000,000","130,163,049,000,000","126,587,169,000,000","124,814,725,000,000","129,778,399,000,000","115,789,651,000,000","109,990,520,000,000","115,146,026,000,000","119,811,302,000,000","112,799,670,000,000","116,246,003,000,000","110,760,271,000,000","110,165,973,000,000","104,790,421,000,000","95,197,593,000,000","87,269,017,000,000","82,077,446,000,000","73,460,248,000,000","71,292,753,000,000","71,502,060,936,783.28","67,214,252,000,000","59,444,518,000,000","60,957,076,000,000","61,402,589,322,829.91","63,300,505,000,000","60,691,212,000,000","55,296,702,000,000","54,211,296,752,256","23,765,869,000,000","19,196,608,000,000","17,604,161,000,000","48,968,555,960,485.98","19,257,560,000,000","16,865,893,000,000","15,813,261,000,000","41,901,013,715,589.36","13,517,879,000,000","11,320,780,000,000","10,453,190,000,000"
		CashCashEquivalentsAndShortTermInvestments,"125,874,689,000,000","124,150,192,000,000","120,240,975,000,000","110,860,939,000,000","131,785,247,000,000","124,652,843,000,000","118,540,312,000,000","113,044,430,000,000","110,830,836,000,000","108,779,703,000,000","101,946,477,000,000","93,570,387,000,000","96,735,339,000,000","100,939,943,000,000","95,215,625,000,000","83,975,993,000,000","82,064,612,000,000","83,184,201,000,000","76,033,144,000,000","70,502,087,000,000","73,402,287,000,000","88,182,313,000,000","82,121,971,000,000","77,071,323,000,000","72,612,477,000,000","71,493,074,000,000","69,724,761,000,000","61,833,843,000,000","56,128,625,000,000","61,817,340,000,000","66,951,159,000,000","60,662,990,000,000","61,478,354,000,000","54,496,009,000,000","52,683,640,000,000","46,985,444,000,000","43,558,829,000,000","37,448,271,000,000","30,336,585,000,000","23,804,210,000,000","25,390,192,000,000","15,347,729,249,749.84","21,750,921,000,000","19,071,401,000,000","22,340,780,000,000","10,950,571,183,906.24","21,789,394,000,000","20,428,522,000,000","20,643,331,000,000","12,254,350,890,492","8,791,900,000,000","6,107,866,000,000","5,301,900,000,000","9,796,704,886,878.39","8,096,497,000,000","6,383,190,000,000","7,199,683,000,000","6,754,821,796,866.961","5,472,059,000,000","4,108,960,000,000","2,909,826,000,000"
			CashAndCashEquivalents,"48,944,982,000,000","39,031,415,000,000","32,675,040,000,000","30,683,788,000,000","41,039,591,000,000","29,382,578,000,000","26,566,097,000,000","36,109,613,000,000","27,916,683,000,000","26,885,999,000,000","26,604,994,000,000","27,531,931,000,000","26,676,045,000,000","30,340,505,000,000","33,088,093,000,000","31,362,222,000,000","32,303,752,000,000","30,545,130,000,000","30,788,226,000,000","29,007,086,000,000","27,562,938,000,000","32,111,442,000,000","25,267,569,000,000","25,840,759,000,000","24,769,756,000,000","22,636,744,000,000","23,608,377,000,000","17,865,256,000,000","18,395,883,000,000","16,840,766,000,000","18,004,063,000,000","16,057,574,000,000","18,150,284,000,000","16,284,780,000,000","17,514,764,000,000","17,924,523,000,000","18,838,157,000,000","18,791,460,000,000","18,823,533,000,000","15,521,957,000,000","15,923,545,000,000","14,691,760,575,278.2","11,048,427,000,000","9,251,994,000,000","11,709,152,000,000","9,791,418,798,411.52","10,645,625,000,000","8,629,948,000,000","9,225,243,000,000","10,149,930,506,280","2,079,190,000,000","2,041,583,000,000","1,981,045,000,000","8,814,637,393,102.71","2,071,039,000,000","1,907,728,000,000","1,171,776,000,000","5,831,988,703,497.721","1,784,662,000,000","1,941,425,000,000","797,966,000,000"
				CashFinancial,,,,,,,,,,"26,885,999,000,000",,,,"30,340,505,000,000",,,,"30,545,130,000,000",,"29,007,086,000,000",,"32,111,442,000,000",,,,"22,636,744,000,000",,,,"16,840,766,000,000",,,,"16,284,780,000,000",,,,"18,791,460,000,000",,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"48,944,982,000,000","39,031,415,000,000","32,675,040,000,000","30,683,788,000,000","41,039,591,000,000","29,382,578,000,000","26,566,097,000,000","36,109,613,000,000","27,916,683,000,000","26,853,138,000,000","26,604,994,000,000","27,531,931,000,000","26,676,045,000,000","30,293,576,000,000","33,088,093,000,000","31,362,222,000,000","32,303,752,000,000","30,507,609,000,000","30,788,226,000,000",,"27,562,938,000,000","32,059,672,000,000","25,267,569,000,000","25,840,759,000,000","24,769,756,000,000","22,596,407,000,000","23,608,377,000,000","17,865,256,000,000","18,395,883,000,000","16,825,216,000,000","18,004,063,000,000","16,057,574,000,000","18,150,284,000,000","16,270,326,000,000","17,514,764,000,000","17,924,523,000,000","18,838,157,000,000","18,778,560,000,000","18,823,533,000,000","15,521,957,000,000","15,923,545,000,000",,"11,048,427,000,000","9,251,994,000,000","11,709,152,000,000",,"10,645,625,000,000","8,629,948,000,000","9,225,243,000,000",,"2,079,190,000,000","2,041,583,000,000","1,981,045,000,000",,"2,071,039,000,000","1,907,728,000,000","1,171,776,000,000",,"1,784,662,000,000","1,941,425,000,000","797,966,000,000"
			OtherShortTermInvestments,"76,929,707,000,000","85,118,777,000,000","87,565,935,000,000","80,177,151,000,000","90,745,656,000,000","95,270,265,000,000","91,974,215,000,000","76,934,817,000,000","82,914,153,000,000","81,893,704,000,000","75,341,483,000,000","66,038,456,000,000","70,059,294,000,000","70,599,438,000,000","62,127,532,000,000","52,613,771,000,000","49,760,860,000,000","52,639,071,000,000","45,244,918,000,000","41,495,001,000,000","45,839,349,000,000","56,070,871,000,000","56,854,402,000,000","51,230,564,000,000","47,842,721,000,000","48,856,330,000,000","46,116,384,000,000","43,968,587,000,000","37,732,742,000,000","44,976,574,000,000","48,947,096,000,000","44,605,416,000,000","43,328,070,000,000","38,211,229,000,000","35,168,876,000,000","29,060,921,000,000","24,720,672,000,000","18,656,811,000,000","11,513,052,000,000","8,282,253,000,000","9,466,647,000,000","655,968,674,471.64","10,702,494,000,000","9,819,407,000,000","10,631,628,000,000","1,159,152,385,494.72","11,143,769,000,000","11,798,574,000,000","11,418,088,000,000","2,104,420,384,212","6,712,710,000,000","4,066,283,000,000","3,320,855,000,000","982,067,493,775.68","6,025,458,000,000","4,475,462,000,000","6,027,907,000,000","922,833,093,369.24","3,687,397,000,000","2,167,535,000,000","2,111,860,000,000"
		Inventory,"47,590,731,000,000","41,384,404,000,000","37,801,695,000,000","33,592,385,000,000","30,619,976,000,000","32,043,145,000,000","32,442,857,000,000","29,645,529,000,000","28,454,895,000,000","26,766,464,000,000","30,908,762,000,000","31,246,985,000,000","31,455,994,000,000","28,984,704,000,000","28,242,807,000,000","27,358,767,000,000","26,470,871,000,000","24,983,355,000,000","27,032,501,000,000","23,020,912,000,000","21,857,598,000,000","18,353,503,000,000","18,378,245,000,000","17,858,721,000,000","18,749,882,000,000","18,811,794,000,000","22,841,069,000,000","19,311,159,000,000","19,119,811,000,000","17,317,504,000,000","18,872,710,000,000","18,276,064,000,000","19,648,481,000,000","19,134,868,000,000","21,934,641,000,000","21,561,790,000,000","19,501,814,000,000","17,747,413,000,000","19,473,845,000,000","17,443,032,000,000","16,356,523,000,000","15,716,714,958,677.58","16,629,616,000,000","14,060,394,000,000","14,176,330,000,000","13,364,523,858,675.998","15,455,393,000,000","13,824,857,000,000","11,716,180,000,000","9,839,328,233,100","4,043,598,000,000","3,768,257,000,000","3,892,607,000,000","9,492,606,924,396.57","4,276,876,000,000","3,856,978,000,000","3,568,107,000,000","7,968,803,114,521.8","3,377,004,000,000","3,174,486,000,000","3,211,578,000,000"
			RawMaterials,"18,282,421,000,000","14,864,486,000,000","15,334,961,000,000","13,613,917,000,000","10,948,219,000,000","10,464,679,000,000","10,290,396,000,000","10,307,644,000,000","9,341,047,000,000","8,288,265,000,000","10,911,761,000,000","9,230,047,000,000","9,037,964,000,000","8,658,212,000,000","9,730,099,000,000","9,859,780,000,000","10,556,913,000,000","10,196,123,000,000","11,718,995,000,000","10,552,843,000,000","10,044,122,000,000","7,526,608,000,000","6,611,267,000,000","5,861,378,000,000","5,986,750,000,000","6,082,185,000,000","8,254,137,000,000","6,754,634,000,000","7,116,038,000,000","6,244,161,000,000","7,307,399,000,000","6,561,213,000,000","7,643,240,000,000","6,960,985,000,000","11,298,340,000,000","7,332,393,000,000","6,829,924,000,000","5,239,262,000,000","5,863,584,000,000","5,898,549,000,000","5,081,313,000,000","12,645,352,744,718.98","5,456,741,000,000","4,885,355,000,000","4,623,799,000,000","6,233,419,986,087.439","5,251,636,000,000","4,410,886,000,000","3,618,358,000,000","4,927,463,849,916","1,578,208,000,000","1,403,989,000,000","1,358,322,000,000","3,113,562,745,265.31","1,441,021,000,000","1,275,743,000,000","1,260,199,000,000","2,309,979,972,362.04","1,376,645,000,000","1,323,285,000,000","1,120,054,000,000"
			WorkInProcess,"15,060,273,000,000","13,967,331,000,000","12,424,188,000,000","11,512,333,000,000","11,261,152,000,000","12,144,887,000,000","12,170,933,000,000","10,967,776,000,000","10,798,274,000,000","10,424,880,000,000","11,812,131,000,000","13,494,263,000,000","14,680,832,000,000","11,862,033,000,000","10,351,993,000,000","9,865,017,000,000","8,518,543,000,000","7,331,394,000,000","7,289,992,000,000","6,218,971,000,000","5,991,069,000,000","5,334,607,000,000","6,067,549,000,000","6,710,071,000,000","6,840,647,000,000","6,142,964,000,000","6,542,848,000,000","5,695,347,000,000","5,558,386,000,000","5,018,416,000,000","4,841,325,000,000","4,708,513,000,000","4,892,687,000,000","4,466,028,000,000","4,848,486,000,000","4,573,822,000,000","4,069,986,000,000","3,623,572,000,000","4,150,701,000,000","3,745,148,000,000","3,121,876,000,000","3,071,362,213,958.6","3,202,129,000,000","3,087,224,000,000","2,935,372,000,000","2,619,713,316,408.64","2,815,964,000,000","2,500,989,000,000","2,276,965,000,000","1,901,362,780,080","1,664,769,000,000","1,708,494,000,000","1,912,094,000,000","3,329,209,714,683.06","1,771,910,000,000","1,775,038,000,000","1,484,193,000,000","3,318,756,784,254.36","1,531,458,000,000","1,424,599,000,000","1,556,080,000,000"
