name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007
MarketCap,"28,685,471,486","29,187,438,879","32,179,498,163","34,462,057,089","34,355,862,219","32,964,845,956","30,952,043,589","20,916,303,076","17,853,981,710","11,787,750,946","12,003,471,898","11,173,195,184","11,857,975,174","11,098,036,936","11,298,938,004","13,152,197,220","10,888,938,510","9,716,531,525","10,563,005,668","9,706,282,712","8,631,757,649","8,008,127,608","5,606,772,523","5,787,341,206","6,200,341,428","5,255,779,016","6,602,384,502","5,590,955,386","6,602,384,502","8,844,385,707","5,970,241,305","6,588,336,875","5,497,523,361","4,812,147,753","5,171,263,257","5,870,248,802","4,057,113,851","4,347,933,516","5,025,662,656","4,980,790,668","4,756,430,728","4,217,651,032","4,394,207,104","3,226,625,856","4,660,509,152","4,566,967,176","5,404,794,702","4,819,428,398","5,090,988,972","4,000,129,020","3,911,237,264","3,732,559,992","2,385,014,868","1,233,496,936","1,321,603,860","2,105,287,043","2,287,888,824","1,935,604,088","1,935,604,088"
EnterpriseValue,"30,303,231,771","30,783,629,135","33,793,423,389","36,070,271,275","35,970,600,176","34,628,167,823","32,632,282,768","22,734,585,803","19,684,098,390","13,595,809,226","13,792,463,697","12,970,522,133","13,489,585,558","12,352,958,724","12,550,689,374","13,621,118,770","11,428,914,812","9,884,468,213","10,740,684,852","9,508,971,524","8,428,604,512","7,461,291,014","4,450,739,616","4,595,498,892","4,532,087,203","4,894,841,511","6,503,832,244","5,745,349,479","6,990,337,880","8,878,663,020","6,035,704,550","6,860,741,204","5,750,885,204","5,167,144,193","5,470,696,668","6,205,067,283","4,347,526,444","4,438,227,028","5,115,640,996","4,983,114,549","4,740,684,585","4,206,418,549","4,513,051,302","3,337,894,648","4,616,070,237","4,366,932,861","4,890,639,324","4,339,507,024","4,572,445,250","3,607,690,718","3,412,728,077","3,622,356,578","2,331,598,429","1,203,979,667","1,182,399,446","2,127,603,516","2,404,366,028","2,218,458,449","2,089,588,409"
PeRatio,"27.667","28.352","38.4","43.082","48.884","61.642","211.905","146.124","128.979","55.784","23.31","22.908","25.085","20.389","21.278","28.738","20.522","19.571","32.968","56.32","47.25","754.023",,,,,"39.409","35.1",,"72.203",,,,"76.364","19.082","21.676","4.093","4.065","4.705","18.775","18.883","19.462","18.51","14.525","17.294","17.785","36.204","33.233","33.618","27.165","44.184","43.47","28.991","15.328",,,,,
ForwardPeRatio,"26.954","29.674","30.769","34.602","45.872","40.984","38.61","27.778","43.29","16.287","14.144","12.453","20.45","13.793","13.755","15.974","20.161","13.423",,,,,,,"19.763","16.921","7.837","6.083","5","4.482","5.225","3.269","4.146","3.35","3.789","1.086","0.724","0.951","1.24","3.815",,,,,,,,,,,,,,,,,,,
PegRatio,"0.91","0.987","0.704","0.807","1.18","0.768","0.785","0.573","0.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.56","2.624","3.192","3.581","3.555","3.631","3.87","2.669","2.311","1.581","1.521","1.495","1.599","1.527","1.647","2.22","2.023","1.991","2.349","2.553","2.142","1.849","0.92","0.888","0.989","0.889","1.074","0.956","1.072","1.448","0.956","1.055","1.504","1.386","1.387","1.576","1.048","1.035","1.192","1.21","1.181","1.136","1.221","0.958","1.365","1.347","1.594","1.463","1.48","1.196","1.198","1.179","0.786","0.416","0.439","0.669","0.705","0.566",
PbRatio,"2.542","2.605","2.987","3.352","3.372","3.344","3.471","2.394","2.01","1.368","1.241","1.22","1.308","1.199","1.24","1.536","1.263","1.143","1.265","1.266","1.062","0.909","0.659","0.659","0.728","0.681","0.747","0.666","0.735","0.918","0.696","0.768","0.976","0.955","1.005","1.142","0.824","0.839","0.959","1.158","1.092","1.048","1.071","0.84","1.166","1.183","1.445","1.325","1.436","1.213","1.316","1.294","0.892","0.486","0.498","0.759","0.818","0.656",
EnterprisesValueRevenueRatio,"0.002","0.008","0.009","0.01","0.011","0.012","0.01","0.007","0.008","0.006","0.005","0.005","0.006","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.003","0.004","0.003","0.004","0.003","0.003","0.004","0.005","0.003","0.004","0.005","0.005","0.005","0.005","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.002","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.004","0.003","0.002","0.035","0.002","0.002","0.002","0.002"
EnterprisesValueEBITDARatio,"0.009","0.038","0.039","0.041","0.05","0.067","0.044","0.038","0.054","0.053","0.062","0.024","0.03","0.044","0.022","0.029","0.039","0.029","0.023","0.032","0.024","0.038","0.021","0.043","0.064","-0.007","-0.049","0.007","-0.031","0.035","0.037","0.028","0.039","0.031","-0.039","0.023","0.015","0.02","0.002","-0.422","0.016","0.014","-0.021","0.013","0.019","0.021","0.028","0.015","0.023","0.022","0.026","0.017","0.014","0.008","0.006","0.011","0.013","0.023","-0.014"
