name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
			GrossPPE,"2,047,301,000,000","2,138,737,000,000","2,117,087,000,000","2,104,976,000,000","2,137,798,000,000","2,109,694,000,000","2,153,099,000,000","2,145,656,000,000","2,138,759,000,000","2,151,273,000,000","2,136,656,000,000","2,137,951,000,000","1,957,882,000,000","1,960,504,000,000","1,963,209,000,000","1,955,880,000,000","1,923,087,000,000","1,984,682,000,000","2,671,200,000,000","2,720,316,000,000","2,711,709,000,000","2,998,934,000,000","2,904,957,000,000","2,904,041,000,000","2,951,727,000,000","3,261,541,000,000","3,254,909,000,000","3,253,475,000,000","3,201,829,000,000","3,409,563,000,000","3,326,329,000,000","3,283,186,000,000","3,281,211,000,000","3,297,899,000,000","3,237,742,000,000","3,259,097,000,000","3,220,280,000,000","3,170,087,000,000",,,"3,252,029,000,000","3,434,795,000,000","3,508,151,000,000","3,539,940,000,000","3,594,389,000,000","3,621,893,000,000","3,702,133,000,000","3,728,426,000,000",,"3,908,068,000,000",,,,"4,102,738,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","0","0","0",,"0",,,,"0"
				LandAndImprovements,"34,681,000,000","40,590,000,000","40,444,000,000","40,571,000,000","40,649,000,000","40,482,000,000","42,198,000,000","42,109,000,000","41,819,000,000","42,343,000,000","42,701,000,000","42,933,000,000","42,442,000,000","42,541,000,000","42,622,000,000","42,662,000,000","42,079,000,000","43,054,000,000","70,526,000,000","74,021,000,000","73,947,000,000","90,719,000,000","88,870,000,000","87,988,000,000","91,881,000,000","90,531,000,000","92,453,000,000","94,190,000,000","94,246,000,000","109,492,000,000","106,354,000,000","97,299,000,000","97,550,000,000","99,583,000,000","98,776,000,000","99,301,000,000","99,102,000,000","99,127,000,000",,,"100,029,000,000","98,341,000,000","99,273,000,000","99,834,000,000","102,873,000,000","103,700,000,000","104,646,000,000","105,663,000,000",,"98,116,000,000",,,,"128,210,000,000"
				BuildingsAndImprovements,"643,425,000,000","671,250,000,000","665,285,000,000","659,320,000,000","656,035,000,000","645,619,000,000","657,634,000,000","650,003,000,000","644,571,000,000","661,744,000,000","659,319,000,000","658,993,000,000","642,613,000,000","640,496,000,000","642,280,000,000","640,630,000,000","629,742,000,000","658,106,000,000","879,677,000,000","889,047,000,000","889,495,000,000","936,620,000,000","904,419,000,000","906,210,000,000","890,659,000,000","964,048,000,000","948,744,000,000","958,189,000,000","948,137,000,000","998,772,000,000","965,073,000,000","979,127,000,000","977,233,000,000","976,390,000,000","959,401,000,000","961,233,000,000","948,918,000,000","935,931,000,000",,,"940,935,000,000","1,002,514,000,000","1,006,686,000,000","996,409,000,000","1,000,989,000,000","998,569,000,000","1,014,884,000,000","1,016,520,000,000",,"996,709,000,000",,,,"1,160,549,000,000"
				MachineryFurnitureEquipment,"1,227,712,000,000","1,276,496,000,000","1,255,074,000,000","1,254,016,000,000","1,282,570,000,000","1,262,191,000,000","1,264,544,000,000","1,266,879,000,000","1,261,488,000,000","1,268,827,000,000","1,259,549,000,000","1,259,608,000,000","1,243,888,000,000","1,248,173,000,000","1,251,343,000,000","1,246,691,000,000","1,232,282,000,000","1,269,594,000,000","1,683,567,000,000","1,736,836,000,000","1,726,471,000,000","1,919,585,000,000","1,865,872,000,000","1,861,138,000,000","1,905,122,000,000","2,149,135,000,000","2,119,213,000,000","2,116,062,000,000","2,077,734,000,000","2,216,612,000,000","2,150,098,000,000","2,120,825,000,000","2,128,297,000,000","2,137,781,000,000","2,093,009,000,000","2,117,753,000,000","2,081,402,000,000","2,048,688,000,000",,,"2,132,059,000,000","2,227,530,000,000","2,292,111,000,000","2,330,565,000,000","2,394,886,000,000","2,426,039,000,000","2,496,791,000,000","2,508,934,000,000",,"2,698,626,000,000",,,,"2,598,042,000,000"
				OtherProperties,"105,027,000,000","111,638,000,000","114,956,000,000","115,558,000,000","119,739,000,000","118,899,000,000","144,872,000,000","150,203,000,000","155,513,000,000","149,777,000,000","152,352,000,000","156,476,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"36,456,000,000","38,763,000,000","41,328,000,000","35,511,000,000","38,805,000,000","42,503,000,000","43,851,000,000","36,462,000,000","35,368,000,000","28,582,000,000","22,735,000,000","19,941,000,000","28,939,000,000","29,294,000,000","26,964,000,000","25,897,000,000","18,984,000,000","13,928,000,000","37,430,000,000","20,412,000,000","21,796,000,000","52,010,000,000","45,796,000,000","48,705,000,000","64,065,000,000","57,827,000,000","94,499,000,000","85,034,000,000","81,712,000,000","84,687,000,000","104,804,000,000","85,935,000,000","78,131,000,000","84,145,000,000","86,556,000,000","80,810,000,000","90,858,000,000","86,341,000,000",,,"79,006,000,000","106,410,000,000","110,081,000,000","113,132,000,000","95,641,000,000","93,585,000,000","85,812,000,000","97,309,000,000",,"114,617,000,000",,,,"215,937,000,000"
			AccumulatedDepreciation,"-1,481,948,000,000","-1,548,912,000,000","-1,537,073,000,000","-1,533,388,000,000","-1,562,356,000,000","-1,554,461,000,000","-1,568,057,000,000","-1,569,925,000,000","-1,562,949,000,000","-1,577,735,000,000","-1,569,972,000,000","-1,574,611,000,000","-1,572,162,000,000","-1,581,871,000,000","-1,588,002,000,000","-1,586,956,000,000","-1,557,452,000,000","-1,608,593,000,000","-2,021,410,000,000","-2,063,361,000,000","-2,053,833,000,000","-2,198,299,000,000","-2,136,696,000,000","-2,138,123,000,000","-2,157,423,000,000","-2,365,511,000,000","-2,343,673,000,000","-2,349,043,000,000","-2,315,506,000,000","-2,381,180,000,000","-2,328,955,000,000","-2,326,475,000,000","-2,321,176,000,000","-2,342,349,000,000","-2,328,591,000,000","-2,359,228,000,000","-2,335,600,000,000","-2,318,574,000,000",,,"-2,400,664,000,000","-2,522,213,000,000","-2,612,898,000,000","-2,639,735,000,000","-2,686,367,000,000","-2,691,826,000,000","-2,750,915,000,000","-2,749,700,000,000",,"-2,818,489,000,000",,,,"-2,770,560,000,000"
		GoodwillAndOtherIntangibleAssets,"158,360,000,000","153,006,000,000","143,007,000,000","134,290,000,000","128,756,000,000","121,635,000,000","121,341,000,000","118,440,000,000","119,677,000,000","114,279,000,000","113,343,000,000","113,503,000,000","116,595,000,000","115,391,000,000","128,613,000,000","127,674,000,000","126,510,000,000","133,654,000,000","152,619,000,000","359,719,000,000","361,569,000,000","546,020,000,000","572,632,000,000","584,776,000,000","639,889,000,000","1,079,570,000,000","1,060,193,000,000","1,151,589,000,000","1,124,607,000,000","1,153,897,000,000","1,075,793,000,000","1,022,171,000,000","1,006,640,000,000","1,024,824,000,000","948,090,000,000","954,559,000,000","919,333,000,000","860,731,000,000",,,"711,665,000,000","679,880,000,000","555,139,000,000","559,246,000,000","548,953,000,000","571,656,000,000","593,044,000,000","618,731,000,000",,"629,820,000,000",,,,"653,910,000,000"
			Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"442,761,000,000",,,"283,453,000,000",,,,,,,,,,
