name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalAssets,"27,004,998,013,830","25,833,192,996,940","24,521,226,789,740","23,215,380,587,490","21,922,841,096,150","21,534,232,266,830","20,809,397,616,940","20,539,962,732,320","19,886,909,228,400","19,852,096,448,000","19,736,996,217,650","19,765,807,258,360","19,554,270,209,000","19,349,721,183,930","18,425,974,559,000","16,890,462,038,000","16,343,312,555,000","15,751,476,329,730","15,600,335,198,000","15,244,087,897,000","14,682,063,201,000","14,900,311,234,210","15,243,770,092,000","15,886,721,948,000","15,256,809,960,000","16,225,303,457,750","16,522,926,733,000","16,040,668,887,000","16,119,360,953,870","15,968,549,945,810","16,087,507,222,000","10,874,967,552,000","10,634,783,243,000","10,555,670,889,390","10,847,453,855,000","11,001,144,610,000","10,897,391,636,000","10,895,087,292,220","10,578,001,136,000","8,589,595,129,000","8,896,494,296,000","8,527,410,755,420","8,789,417,904,000","8,529,774,587,000","8,127,204,123,000","7,933,567,380,290","7,592,945,218,070","7,355,741,810,700","7,195,309,932,930","6,619,818,667,000","6,625,347,138,000","6,149,904,807,000","6,026,546,649,000","5,977,519,412,000","6,568,252,096,000","6,679,856,837,000","6,588,452,713,000","6,570,067,971,000","6,822,631,837,000","6,311,023,154,000","6,193,208,940,000"
	CurrentAssets,"8,063,272,111,790","7,444,907,068,200","6,912,905,562,780","6,440,591,931,750","5,770,462,156,760","5,657,405,165,390","5,565,795,823,940","5,614,982,393,940","5,387,839,091,930","5,181,414,896,890","5,142,640,923,690","5,216,672,499,880","5,411,887,869,000","5,519,342,209,670","5,362,620,714,000","4,601,840,716,000","4,250,328,746,000","3,605,075,720,090","3,715,118,626,000","3,490,835,446,000","3,484,588,085,000","3,958,265,726,800","4,589,035,022,000","5,375,261,242,000","5,075,548,254,000","4,773,880,158,250","4,014,568,566,000","3,459,971,241,000","3,607,892,500,790","3,535,554,752,850","3,571,021,002,000","2,087,034,843,000","1,955,253,982,000","2,063,191,570,730","2,153,533,591,000","2,523,054,740,000","2,316,591,994,000","2,414,856,331,370","2,521,189,156,000","2,353,916,494,000","2,465,620,355,000","2,364,109,016,540","2,634,655,361,000","2,350,325,400,000","2,176,792,545,000","2,451,455,159,580","2,683,773,596,300","2,797,263,109,730","2,791,037,234,580","2,018,929,503,000","1,982,593,992,000","1,617,390,980,000","1,484,305,336,000","1,486,718,248,000","1,763,460,732,000","1,794,584,027,000","1,469,355,441,000","1,394,345,349,000","1,185,662,171,000","1,084,272,931,000","1,197,932,979,000"
		CashCashEquivalentsAndShortTermInvestments,"2,374,978,206,950","2,490,233,707,130","1,982,480,629,840","2,003,991,781,880","1,750,992,852,200","1,713,011,591,800","1,471,532,069,080","1,657,818,877,210","1,461,336,907,760","1,292,057,056,680","1,102,297,452,000","1,491,484,304,700","1,459,617,110,000","1,660,633,115,980","1,885,359,424,000","1,363,072,491,000","975,639,996,000","1,324,351,833,000","1,182,701,463,000","1,415,790,103,000","1,579,198,382,000","1,945,524,851,330","2,538,558,608,000","3,506,884,015,000","2,100,668,931,000","1,884,880,309,150","1,812,305,009,000","1,419,703,071,000","1,751,808,900,480","1,698,677,141,780","1,519,139,148,000","821,337,475,000","657,931,935,000","755,554,148,440","747,008,304,000","976,776,395,000","752,116,150,000","1,012,356,201,080","879,593,155,000","700,111,900,000","860,489,234,000","786,656,505,090","796,111,357,000","711,548,656,000","741,433,434,000","1,138,845,517,310","1,259,590,067,410","1,445,404,448,530","1,474,494,172,090","1,143,952,587,000","941,332,170,000","689,118,657,000","723,359,953,000","767,148,144,000","568,164,815,000","602,360,083,000","332,879,533,000","409,949,007,000","255,823,764,000","329,405,539,000","351,905,979,000"
			CashAndCashEquivalents,"2,232,223,244,580","2,325,692,348,380","1,823,695,462,720","1,837,329,650,890","1,551,339,942,040","1,545,974,321,800","1,337,341,226,740","1,521,816,102,160","1,323,713,486,760","1,156,295,420,680","965,238,913,000","1,385,275,729,700","1,374,456,338,000","1,516,585,546,980","1,790,008,008,000","1,222,989,041,000","865,638,074,000","1,209,015,664,000","777,050,412,000","1,020,539,587,000","1,002,395,273,000","1,011,701,875,330","1,047,648,661,000","1,038,384,056,000","947,005,182,000","1,287,968,374,150","1,106,191,659,000","533,020,950,000","444,431,329,480","627,528,154,780","843,148,003,000","795,988,812,000","632,587,359,000","730,176,083,440","680,788,316,000","907,631,283,000","711,691,586,000","946,516,332,080","813,267,495,000","674,130,802,000","839,321,622,000","757,661,035,090","732,259,382,000","659,445,775,000","714,793,482,000","1,066,315,966,310","1,177,997,055,410","1,322,822,921,530","1,379,087,618,090","1,047,151,385,000","888,861,071,000","426,402,943,000","350,471,923,000","653,755,618,000","564,464,049,000","597,663,362,000","328,273,328,000","403,295,936,000","251,620,332,000","324,797,480,000","347,262,189,000"
				CashFinancial,"1,039,051,034,000","1,074,988,118,000","896,349,300,000","1,837,329,651,000","758,213,245,000","819,582,308,000","814,576,012,000","1,509,430,922,000","1,249,868,696,000","1,143,864,921,000","942,733,546,000","1,364,598,382,000","1,336,721,545,000","1,449,415,478,000","75,275,000","68,273,000","1,125,638,000","1,346,724,000","1,092,870,000","1,866,533,000","1,332,786,000","1,706,452,000","138,436,000","2,619,737,000","2,491,935,000","2,762,698,000","3,145,923,000","2,420,973,000","2,296,188,000","1,731,652,000","2,591,982,000","1,118,987,000","1,039,302,000","615,965,000","1,163,727,000","1,301,523,000","1,323,936,000","700,534,000","1,205,481,000","1,236,519,000","12,803,574,000","602,943,000","1,039,107,000","1,008,679,000","826,926,000","667,337,000","879,048,000","730,001,000","631,465,000",,,,,,,,,,,,
				CashEquivalents,"1,193,172,211,000","1,250,704,230,000","927,346,163,000",,"793,126,697,000","726,392,014,000","522,765,215,000","12,385,180,000","73,844,791,000","12,430,500,000","22,505,367,000","20,677,348,000","37,734,793,000","67,170,069,000","1,789,932,733,000","1,222,920,768,000","864,512,436,000","1,207,668,940,000","775,957,542,000","1,018,673,054,000","1,001,062,487,000","1,009,995,423,000","1,047,510,225,000","1,035,764,319,000","944,513,247,000","1,285,205,676,000","1,103,045,736,000","530,599,977,000","442,135,141,000","625,796,503,000","840,556,021,000","794,869,825,000","631,548,057,000","729,560,118,000","679,624,589,000","906,329,760,000","710,367,650,000","945,815,798,000","812,062,014,000","672,894,283,000","826,518,048,000","757,058,092,000","731,220,275,000","658,437,096,000","713,966,556,000","1,065,648,629,000","1,177,118,007,000","1,322,092,920,000","1,378,456,153,000",,"888,861,071,000","426,402,943,000","350,471,923,000",,"564,464,049,000","597,663,362,000","328,273,328,000",,"251,620,332,000","324,797,480,000","347,262,189,000"
			OtherShortTermInvestments,"142,754,962,370","164,541,358,750","158,785,167,120","166,662,130,990","199,652,910,160","167,037,270,000","134,190,842,340","136,002,775,050","137,623,421,000","135,761,636,000","137,058,539,000","106,208,575,000","85,160,772,000","144,047,569,000","95,351,416,000","140,083,450,000","110,001,922,000","115,336,169,000","405,651,051,000","395,250,516,000","576,803,109,000","933,822,976,000","1,490,909,947,000","2,468,499,959,000","1,153,663,749,000","596,911,935,000","706,113,350,000","886,682,121,000","1,307,377,571,000","1,071,148,987,000","675,991,145,000","25,348,663,000","25,344,576,000","25,378,065,000","66,219,988,000","69,145,112,000","40,424,564,000","65,839,869,000","66,325,660,000","25,981,098,000","21,167,612,000","28,995,470,000","63,851,975,000","52,102,881,000","26,639,952,000","72,529,551,000","81,593,012,000","122,581,527,000","95,406,554,000","96,801,202,000","52,471,099,000","262,715,714,000","372,888,030,000","113,392,526,000","3,700,766,000","4,696,721,000","4,606,205,000","6,653,071,000","4,203,432,000","4,608,059,000","4,643,790,000"
		Inventory,"2,630,529,985,000","2,487,316,318,700","2,505,096,683,670","2,031,002,313,840","1,861,798,300,560","1,810,785,260,640","1,964,086,119,030","1,903,329,084,780","1,863,477,438,800","1,707,920,528,830","2,001,272,284,830","1,805,940,741,610","1,797,889,399,000","1,745,650,833,400","1,487,353,216,000","1,363,958,302,000","1,120,162,919,000","966,571,644,370","920,501,295,000","787,005,793,000","686,399,596,000","729,058,574,260","673,644,063,000","628,016,883,000","619,002,677,000","749,950,201,660","726,550,178,000","710,563,587,000","727,485,347,580","768,553,751,370","838,693,294,000","531,854,645,000","499,247,787,000","525,775,079,320","524,580,852,000","597,045,258,000","597,234,423,000","558,451,772,510","640,963,718,000","637,305,058,000","604,843,560,000","583,586,733,540","632,301,151,000","574,243,813,000","484,290,028,000","484,053,440,550","487,631,209,030","453,182,723,910","402,191,120,110","208,168,686,000","250,645,755,000","203,033,021,000","193,346,218,000","197,998,554,000","271,394,298,000","342,651,498,000","330,122,966,000","318,288,699,000","319,876,475,000","301,096,043,000","390,387,753,000"
			RawMaterials,"744,343,389,000","759,240,974,000","661,403,897,000","534,477,085,000","577,560,533,000","494,075,207,000","530,408,573,000","597,264,050,000","589,224,794,000","581,217,884,000","604,227,506,000","505,469,193,000","662,998,960,000","673,184,988,000","448,833,379,000","386,432,116,000","347,521,496,000","308,170,478,000","286,449,410,000","231,899,304,000","220,755,885,000","196,529,249,000","191,584,947,000","177,544,101,000","161,255,693,000","237,013,939,000","211,831,141,000","204,673,647,000","199,510,934,000","235,381,461,000","264,334,572,000","136,318,269,000","144,661,025,000","138,335,062,000","156,480,011,000","205,430,178,000","192,954,580,000","171,520,573,000","213,633,544,000","220,871,983,000","215,355,865,000","195,652,991,000","237,603,065,000","214,150,694,000","165,517,034,000","140,972,803,000","155,066,727,000","139,262,047,000","105,737,851,000","58,363,251,000","58,947,920,000","55,961,318,000","69,502,792,000","48,657,808,000","67,025,020,000","105,982,766,000","97,860,545,000","81,569,696,000","75,012,779,000","78,585,809,000","86,552,820,000"
			WorkInProcess,"972,742,903,000","821,049,869,000","904,522,206,000","723,540,208,000","702,840,147,000","628,602,776,000","669,822,404,000","673,631,867,000","618,329,069,000","569,890,372,000","707,948,838,000","680,339,158,000","578,307,275,000","524,016,606,000","490,795,831,000","463,546,692,000","405,244,754,000","357,531,139,000","322,384,081,000","265,705,008,000","220,435,139,000","278,453,987,000","274,118,767,000","271,344,827,000","253,509,906,000","248,833,278,000","251,625,804,000","266,213,714,000","264,891,928,000","264,880,716,000","246,941,361,000","157,483,923,000","159,252,968,000","120,818,670,000","143,954,838,000","164,547,515,000","152,612,513,000","128,923,602,000","129,129,968,000","129,040,717,000","117,352,232,000","113,752,851,000","120,196,198,000","125,332,950,000","106,364,490,000","82,183,350,000","96,441,763,000","100,778,666,000","100,250,806,000",,"79,924,539,000","81,201,301,000","48,032,977,000",,"77,855,601,000","109,880,004,000","72,747,916,000",,"62,341,658,000","53,720,820,000","59,041,289,000"
