name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
MarketCap,"416,434,081,745,000","467,338,727,580,000","526,023,506,705,000","499,633,801,275,000","542,408,201,575,000","546,011,028,670,000","544,116,847,670,000","388,997,122,760,000","353,468,750,190,000","318,054,873,432,500","369,725,741,346,400","325,321,858,727,500","312,055,196,125,000","296,380,433,732,500","257,157,237,410,000","308,442,661,042,500","309,472,040,212,500","326,159,758,469,000","341,450,038,122,000","395,023,570,542,000","342,008,779,146,000","278,354,616,062,000","245,868,757,924,000","218,366,863,158,000","197,439,177,785,000","184,534,092,320,000","180,755,714,283,000","164,617,170,312,000","183,434,949,330,000","207,982,052,427,000","193,273,159,768,000","172,888,431,916,000","194,177,582,662,000","196,836,173,006,000","199,727,378,554,000","196,314,903,040,000","193,183,037,164,000","217,196,612,757,000","216,065,883,646,000","191,667,226,356,000","171,576,889,535,000","182,026,790,355,000","150,974,243,282,000","120,688,764,034,000","118,620,576,928,000","133,694,854,838,000","142,062,273,639,000","116,314,422,147,000","115,865,331,714,000","122,451,991,398,000","119,607,751,989,000","119,715,058,230,000","86,958,668,064,000","83,433,316,656,000","66,247,228,542,000","79,148,402,872,000","91,763,708,750,000","91,159,554,829,000","84,257,746,560,000","84,053,007,800,000","82,676,380,704,000","82,172,924,543,000"
EnterpriseValue,"308,729,216,745,000","359,633,862,580,000","420,384,930,705,000","398,581,859,275,000","448,401,601,575,000","434,317,917,670,000","439,800,852,670,000","290,202,750,760,000","257,228,538,190,000","223,008,696,432,500","279,477,542,346,400","239,628,186,727,500","228,643,828,125,000","210,227,060,732,500","171,003,864,410,000","240,693,090,042,500","240,388,111,212,500","261,909,069,469,000","284,098,417,122,000","341,352,754,542,000","288,337,963,146,000","218,321,100,062,000","176,823,551,924,000","149,321,657,158,000","132,732,068,785,000","123,306,717,320,000","122,256,070,283,000","107,898,771,312,000","133,034,253,330,000","161,820,145,427,000","142,840,805,768,000","119,995,228,916,000","147,606,304,662,000","147,956,666,006,000","156,511,369,554,000","155,506,586,040,000","162,100,058,164,000","194,762,972,757,000","193,632,243,646,000","182,454,154,356,000","160,174,920,535,000","181,445,138,114,345","141,494,970,282,000","111,209,491,034,000","110,638,278,928,000","123,021,331,838,000","142,006,543,393,727","105,658,323,147,000","105,923,135,714,000","110,179,164,398,000","116,867,479,221,205","111,150,867,230,000","81,087,139,064,000","78,376,038,656,000","74,024,650,500,111","71,285,051,872,000","85,599,758,750,000","84,173,269,829,000","92,135,025,599,312","80,150,603,800,000","79,974,433,704,000","82,172,924,543,000"
PeRatio,"9.7","10.925","15.174","14.36","16.997","19.544","22.119","18.205","16.515","15.236","15.402","13.539","8.539","6.911","5.535","5.011","7.033","8.207","9.756","12.076","11.196","11.753","13.723","12.169","10.518","9.913","9.077","8.169","9.709","10.772","7.999","7.137","6.89","6.676","7.022","6.997","7.992","9.919","17.103","15.125","13.496","14.327","10.012","7.949","7.817","8.82","14.694","12.03","11.984","12.665","12.371","21.826","15.854","15.212","12.078","11.017","12.775","12.734","11.773","11.032","10.86","10.802"
ForwardPeRatio,"9.843","10.515","11.933","10.331","14.62","14.97","15.083","10.893","14.793","11.025","13.298","11.641","13.85","10.395","6.031","6.01","6.321","7.037","7.128","8.865","9.56","2.255","2.168","2.156","2.508","2.348","1.868","9.775","11.669","13.793","13.263","14.451","12.346","12.121","12.034","11.561","10.471","12.642","15.48","13.21",,,,,,,,,,,,,,,,,,,,,,
PegRatio,,"1.406","1.001","0.725","0.992","1.009","1.016","0.766","1.105",,,,,"2.241","1.164","3.979","6.259",,"0.486","0.604","1.241","0.434","0.344","0.374","0.965","1.555","0.865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.22","1.374","1.584","1.499","1.742","1.901","1.844","1.405","1.275","1.18","1.3","1.142","1.15","1.094","0.826","1.277","1.085","1.244","1.219","1.369","1.269","1.208","0.992","0.88","0.814","0.797","0.816","0.734","0.778","0.907","0.724","0.646","0.713","0.737","0.706","0.703","0.841","0.993","1.202","1.063","0.948","1.007","0.887","0.704","0.693","0.782","0.893","0.731","0.729","0.77","0.752","0.86","0.625","0.599","0.476","0.701","0.813","0.81","0.749","0.88","0.866","0.862"
PbRatio,"1.371","1.544","1.845","1.746","2","2.081","2.054","1.511","1.371","1.255","1.485","1.305","1.301","1.264","1.122","1.399","1.469","1.614","1.707","1.815","1.694","1.564","1.457","1.292","1.149","1.094","1.055","0.969","1.126","1.329","1.262","1.133","1.297","1.352","1.487","1.482","1.631","1.968","2.045","1.883","1.757","1.969","1.686","1.337","1.369","1.603","1.738","1.423","1.486","1.708","1.725","1.876","1.431","1.421","1.145","1.366","1.638","1.719","1.638","1.8","1.866","1.577"
EnterprisesValueRevenueRatio,"1.057","4.624","5.491","5.388","7.042","6.642","7.145","4.334","4.856","4.031","4.667","3.865","4.074","4.013","2.885","3.677","4.11","4.325","4.306","5.501","4.727","4.319","3.316","3.123","2.606","2.477","2.293","2.088","2.741","3.434","2.709","2.529","2.819","2.757","2.64","2.632","2.821","3.684","3.454","3.497","3.365","4.008","2.991","2.694","2.805","3.326","3.392","2.626","2.795","3.181","1.626","4.471","3.858","4.221","1.108","3.702","4.719","4.92","1.745","4.805","5.465","5.712"
EnterprisesValueEBITDARatio,"3.238","14.386","17.452","15.751","21.407","24.551","25.731","14.101","16.825","15.592","16.813","15.301","16.044","14.823","9.148","9.634","10.896","11.6","12.371","16.466","14.548","14.127","11.999","13.379","9.935","9.666","11.844","8.288","10.176","14.378","13.707","12.448","11.892","10.532","11.535","10.677","11.571","14.781","15.342","14.582","14.801","17.822","24.188","14.283","14.526","18.5","36.002","12.611","13.007","13.816","22.598","17.991","18.169","29.286","119.647","21.412","19.239","18.691","22.47","18.029","23.815","23.373"
