name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
			AccumulatedDepreciation,"-8,734,000,000","-8,486,000,000","-8,112,000,000","-7,970,000,000","-8,342,000,000","-8,472,000,000","-8,135,000,000","-8,623,000,000","-8,597,000,000","-8,505,000,000","-8,599,000,000","-8,440,000,000","-8,273,000,000","-8,227,000,000","-8,033,000,000","-7,905,000,000","-8,168,000,000","-7,942,000,000","-10,199,000,000","-9,841,000,000","-9,777,000,000","-9,528,000,000","-9,884,000,000","-9,705,000,000","-9,768,000,000","-9,449,000,000","-9,264,000,000","-9,996,000,000","-9,652,000,000","-9,962,000,000","-9,981,000,000","-10,095,000,000","-9,943,000,000","-9,604,000,000","-9,531,000,000","-9,747,000,000","-9,745,000,000","-9,723,000,000","-9,562,000,000","-9,274,000,000","-9,290,000,000","-9,145,000,000","-9,257,000,000","-9,727,000,000","-9,366,000,000","-9,173,000,000","-9,151,000,000","-9,099,000,000","-9,205,000,000","-8,920,000,000","-8,799,000,000","-8,368,000,000","-7,685,000,000","-7,515,000,000","-7,937,000,000","-8,347,000,000","-7,849,000,000","-7,502,000,000","-7,395,000,000","-7,106,000,000","-6,815,000,000","-6,979,000,000","-6,768,000,000","-6,637,000,000","-6,415,000,000","-6,087,000,000","-6,041,000,000","-5,783,000,000","-5,530,000,000","-5,853,000,000","-5,087,000,000","-4,797,000,000","-4,745,000,000","-4,593,000,000","-4,739,000,000","-4,577,000,000","-4,267,000,000","-4,204,000,000","-4,102,000,000","-4,180,000,000","-4,337,000,000","-3,314,000,000","-3,125,000,000","-2,990,000,000","-2,797,000,000","-1,304,000,000","-1,061,000,000","-952,000,000","-845,000,000","-763,000,000","-718,000,000","-626,000,000","-578,000,000","-525,000,000","-477,000,000","-445,000,000","-410,000,000","-373,000,000","-336,000,000","-318,000,000","-295,000,000","-282,000,000","-262,000,000","-249,000,000","-282,000,000","-222,000,000","-212,500,000","-199,600,000","-172,700,000","-161,900,000","-151,600,000","-141,800,000","-131,900,000"
		GoodwillAndOtherIntangibleAssets,"2,767,000,000","2,627,000,000","2,038,000,000","2,010,000,000","1,943,000,000","1,888,000,000","1,673,000,000","1,625,000,000","1,518,000,000","1,528,000,000","1,521,000,000","1,519,000,000","1,526,000,000","1,495,000,000","1,459,000,000","1,400,000,000","1,421,000,000","1,425,000,000","1,631,000,000","1,554,000,000","1,510,000,000","1,516,000,000","1,384,000,000","1,376,000,000","1,366,000,000","1,371,000,000","1,724,000,000","1,714,000,000","1,726,000,000","1,739,000,000","1,751,000,000","1,767,000,000","1,761,000,000","1,919,000,000","2,266,000,000","2,407,000,000","2,416,000,000","2,428,000,000","2,429,000,000","4,308,000,000","4,282,000,000","4,299,000,000","1,739,000,000","1,794,000,000","1,784,000,000","1,787,000,000","1,886,000,000","1,867,000,000","1,805,000,000","1,809,000,000","1,910,000,000","1,916,000,000","1,901,000,000","1,921,000,000","1,969,000,000","2,010,000,000","1,957,000,000","1,921,000,000","1,771,000,000","1,809,000,000","1,749,000,000","1,724,000,000","1,412,000,000","1,416,000,000","1,428,000,000","1,428,000,000","1,449,000,000","1,454,000,000","1,422,000,000","1,378,000,000","1,376,000,000","1,376,000,000","1,381,000,000","1,378,000,000","1,385,000,000","1,374,000,000","1,375,000,000","1,388,000,000","2,040,000,000","2,262,000,000","3,105,000,000","3,208,000,000","2,834,000,000","2,920,000,000","2,859,000,000","2,307,000,000","953,000,000","802,000,000","817,000,000","795,000,000","167,000,000","67,000,000","66,000,000",,"29,000,000","26,000,000","22,000,000","23,000,000","26,000,000","56,000,000","52,000,000",,,,,,,,,,,,
			Goodwill,"1,182,000,000","1,177,000,000","1,110,000,000","1,110,000,000","1,146,000,000","1,061,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,059,000,000","1,157,000,000","1,157,000,000","1,157,000,000","1,157,000,000","1,157,000,000","1,157,000,000","1,157,000,000","1,157,000,000","1,473,000,000","1,473,000,000","1,465,000,000","1,458,000,000","1,468,000,000","1,468,000,000","1,468,000,000","1,622,000,000","1,941,000,000","1,999,000,000","1,999,000,000","1,999,000,000","1,967,000,000","3,801,000,000","3,732,000,000","3,733,000,000","1,246,000,000","1,267,000,000","1,269,000,000","1,271,000,000","1,276,000,000","1,293,000,000","1,297,000,000","1,299,000,000","1,423,000,000","1,430,000,000","1,417,000,000","1,421,000,000",,,,"1,416,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,585,000,000","1,450,000,000","928,000,000","900,000,000","797,000,000","827,000,000","614,000,000","566,000,000","459,000,000","469,000,000","462,000,000","460,000,000","467,000,000","436,000,000","400,000,000","341,000,000","362,000,000","366,000,000","474,000,000","397,000,000","353,000,000","359,000,000","227,000,000","219,000,000","209,000,000","214,000,000","251,000,000","241,000,000","261,000,000","281,000,000","283,000,000","299,000,000","293,000,000","297,000,000","325,000,000","408,000,000","417,000,000","429,000,000","462,000,000","507,000,000","550,000,000","566,000,000","493,000,000","527,000,000","515,000,000","516,000,000","610,000,000","574,000,000","508,000,000","510,000,000","487,000,000","486,000,000","484,000,000","500,000,000",,,,"505,000,000",,,,,,,,,,,,,,,"1,381,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"1,081,000,000","1,080,000,000","781,000,000","793,000,000","785,000,000","835,000,000","787,000,000","802,000,000","938,000,000","966,000,000","1,209,000,000","1,086,000,000","1,147,000,000","1,114,000,000","1,277,000,000","1,327,000,000","1,282,000,000","1,197,000,000","1,164,000,000","683,000,000","674,000,000","621,000,000","626,000,000","615,000,000","611,000,000","610,000,000","601,000,000","562,000,000","586,000,000","537,000,000","704,000,000","1,000,000,000","1,030,000,000","1,010,000,000","1,025,000,000","1,177,000,000","1,195,000,000","1,196,000,000","1,334,000,000","1,392,000,000","1,430,000,000","1,422,000,000","1,401,000,000","1,542,000,000","1,544,000,000","1,320,000,000","1,313,000,000","1,227,000,000","1,175,000,000","1,157,000,000","1,109,000,000","1,043,000,000","949,000,000","901,000,000",,,,"743,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"1,081,000,000","1,080,000,000","781,000,000","793,000,000","785,000,000","835,000,000","787,000,000","802,000,000","938,000,000","966,000,000","1,209,000,000","1,086,000,000","1,147,000,000","1,114,000,000","1,277,000,000","1,327,000,000","1,282,000,000","1,197,000,000","1,164,000,000","683,000,000","674,000,000","621,000,000","626,000,000","615,000,000","611,000,000","610,000,000","601,000,000","562,000,000","586,000,000","537,000,000","704,000,000","1,000,000,000","1,030,000,000","1,010,000,000","1,025,000,000","1,177,000,000","1,195,000,000","1,196,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"1,081,000,000","1,080,000,000","781,000,000","793,000,000","785,000,000","835,000,000","787,000,000","802,000,000","938,000,000","966,000,000","1,209,000,000","1,086,000,000","1,147,000,000","1,114,000,000","1,277,000,000","1,327,000,000","1,282,000,000","1,197,000,000","1,164,000,000","683,000,000","674,000,000","621,000,000","626,000,000","615,000,000","611,000,000","610,000,000","601,000,000","562,000,000","586,000,000","537,000,000","704,000,000","1,000,000,000","1,030,000,000","1,010,000,000","1,025,000,000","1,177,000,000","1,195,000,000","1,196,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,"0","1,260,000,000","1,280,000,000","1,300,000,000","1,351,000,000","1,370,000,000","1,388,000,000","1,406,000,000","1,423,000,000","1,441,000,000","1,458,000,000","1,474,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"385,000,000","409,000,000","314,000,000","300,000,000","235,000,000","288,000,000","336,000,000","204,000,000","197,000,000","156,000,000","135,000,000","122,000,000","108,000,000","97,000,000","88,000,000","83,000,000","94,000,000","130,000,000","760,000,000","757,000,000","778,000,000","781,000,000","503,000,000","483,000,000","599,000,000","543,000,000","503,000,000","571,000,000","597,000,000","662,000,000","693,000,000","656,000,000","680,000,000","666,000,000","821,000,000","896,000,000","986,000,000","996,000,000","671,000,000","658,000,000","736,000,000","715,000,000","585,000,000","661,000,000","998,000,000","1,022,000,000","1,071,000,000","978,000,000","1,028,000,000","988,000,000","1,065,000,000","1,025,000,000","924,000,000","933,000,000",,,,"999,000,000","290,000,000","282,000,000","271,000,000","285,000,000","319,000,000","307,000,000","1,144,000,000","1,101,000,000","1,079,000,000","1,074,000,000","1,294,000,000","1,326,000,000","1,264,000,000","468,000,000","1,243,000,000","1,211,000,000","432,000,000","442,000,000","421,000,000","433,000,000",,,,,"447,000,000","446,000,000","428,000,000","375,000,000","309,000,000","276,000,000","234,000,000","236,000,000","151,000,000","189,000,000","159,000,000","167,000,000","147,000,000","148,000,000","120,000,000","122,000,000","89,000,000","77,000,000","59,000,000","47,000,000","41,000,000","40,000,000","47,000,000","32,000,000","32,200,000","31,900,000","31,900,000","32,900,000","33,500,000","29,900,000","30,700,000"
			NonCurrentDeferredTaxesAssets,"385,000,000","409,000,000","314,000,000","300,000,000","235,000,000","288,000,000","336,000,000","204,000,000","197,000,000","156,000,000","135,000,000","122,000,000","108,000,000","97,000,000","88,000,000","83,000,000","94,000,000","130,000,000","760,000,000","757,000,000","778,000,000","781,000,000","503,000,000","483,000,000","599,000,000","543,000,000","503,000,000","571,000,000","597,000,000","662,000,000","693,000,000","656,000,000","680,000,000","666,000,000","821,000,000","896,000,000","986,000,000","996,000,000","671,000,000","658,000,000","736,000,000","715,000,000","585,000,000","661,000,000","627,000,000","646,000,000","689,000,000","604,000,000","639,000,000","604,000,000","674,000,000","633,000,000","553,000,000","567,000,000",,,,"647,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
