name,ttm,07/28/2022,06/30/2022,05/31/2022,04/29/2022,03/31/2022,02/28/2022,01/31/2022,12/31/2021,11/30/2021,10/29/2021,09/30/2021,08/31/2021,07/30/2021,06/30/2021,05/31/2021,04/30/2021,03/31/2021,03/18/2021,02/26/2021,01/29/2021,01/25/2021,01/12/2021,12/31/2020,12/30/2020,12/29/2020,12/22/2020,11/30/2020,11/20/2020,11/13/2020,11/04/2020,10/30/2020,10/28/2020,10/08/2020,09/30/2020,09/29/2020,09/22/2020,08/31/2020,08/14/2020,07/31/2020,07/24/2020,07/14/2020,06/30/2020,05/29/2020,04/30/2020,04/24/2020,03/31/2020,02/28/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/30/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016,02/29/2016,01/29/2016,12/31/2015,11/30/2015,10/30/2015,09/30/2015,08/31/2015,07/31/2015,06/30/2015,05/29/2015,04/30/2015,03/31/2015,02/27/2015,01/30/2015,12/31/2014,11/28/2014,10/31/2014,09/30/2014,08/29/2014,07/31/2014,06/30/2014,05/30/2014,04/30/2014,03/31/2014,02/28/2014,01/31/2014,12/31/2013,11/29/2013,10/31/2013,09/30/2013,08/30/2013,07/31/2013,06/28/2013,05/31/2013,04/30/2013,03/29/2013,02/28/2013,01/31/2013,12/31/2012,11/30/2012,10/31/2012,09/28/2012,08/31/2012,07/31/2012,06/29/2012,05/31/2012,04/30/2012,03/30/2012,02/29/2012,01/31/2012,12/30/2011,11/30/2011,10/31/2011,09/30/2011,08/31/2011,07/29/2011,06/30/2011,05/31/2011,04/29/2011,03/31/2011,02/28/2011,01/31/2011,12/31/2010,11/30/2010,10/29/2010,09/30/2010,08/31/2010,07/30/2010,06/30/2010,05/31/2010,04/30/2010,03/31/2010,02/26/2010,01/29/2010,12/31/2009,11/30/2009,10/30/2009,09/30/2009,08/31/2009,07/31/2009,06/30/2009,05/29/2009,04/30/2009,03/31/2009,02/27/2009,01/30/2009,12/31/2008,11/28/2008,10/31/2008,09/30/2008,08/29/2008,07/31/2008,06/30/2008,05/30/2008,04/30/2008,03/31/2008,02/29/2008,01/31/2008,12/31/2007,11/30/2007,10/31/2007,09/28/2007,08/31/2007,07/31/2007,06/29/2007,05/31/2007,04/30/2007,03/30/2007
MarketCap,"416,434,081,745,000","416,434,081,745,000","383,067,713,750,000","452,312,566,560,000","451,160,525,180,000","467,338,727,580,000","483,620,176,215,000","492,142,449,125,000","526,023,506,705,000","478,227,955,945,000","469,355,570,790,000","499,633,801,275,000","516,142,699,945,000","527,958,061,245,000","542,408,201,575,000","540,638,224,375,000","546,854,872,935,000","546,011,028,670,000","555,459,434,515,000","552,413,212,135,000","549,675,186,870,000","598,871,186,610,000","606,693,235,030,000","544,116,847,670,000","544,116,847,670,000","526,846,393,405,000","487,983,017,315,000","448,462,873,455,000","434,219,225,595,000","424,523,953,740,000","392,186,964,915,000","379,116,316,000,000","395,747,876,880,000","398,939,260,625,000","388,997,122,760,000","388,997,122,760,000","389,408,566,110,000","361,455,375,950,000","387,885,454,920,000","386,383,301,295,000","361,585,339,956,900","359,157,105,488,600","353,468,750,190,000","337,928,670,380,000","333,256,090,575,000","328,881,999,897,500","318,054,873,432,500","360,295,053,611,300","375,001,111,705,000","369,725,741,346,400","333,894,983,960,000","334,656,539,555,000","325,321,858,727,500","292,993,807,095,000","301,176,446,542,500","312,055,196,125,000","282,352,215,535,000","304,325,915,157,500","296,380,433,732,500","298,861,114,205,000","306,363,715,932,500","257,157,237,410,000","277,607,825,842,500","282,536,979,645,000","308,442,661,042,500","321,904,566,537,500","307,577,859,212,500","309,472,040,212,500","335,994,886,635,000","351,371,159,900,000","326,159,758,469,000","312,574,452,212,000","331,333,271,236,000","341,450,038,122,000","340,587,655,180,000","368,738,837,306,000","395,023,570,542,000","357,261,234,387,000","371,155,441,707,000","342,008,779,146,000","347,570,607,018,000","347,093,003,378,000","278,354,616,062,000","261,681,351,286,000","269,235,211,537,000","245,868,757,924,000","237,666,841,950,000","223,864,127,667,000","218,366,863,158,000","224,554,923,232,000","213,454,177,928,000","197,439,177,785,000","181,215,975,520,000","174,976,344,984,000","184,534,092,320,000","167,991,526,216,000","164,674,333,817,000","180,755,714,283,000","187,523,136,348,000","200,843,419,302,000","164,617,170,312,000","157,876,725,519,000","171,270,926,715,000","183,434,949,330,000","190,164,063,843,000","203,698,907,970,000","207,982,052,427,000","197,356,800,004,000","198,753,441,484,000","193,273,159,768,000","189,375,498,803,000","182,473,465,834,000","172,888,431,916,000","181,858,720,014,000","197,185,896,875,000","194,177,582,662,000","210,922,737,306,000","196,439,098,326,000","196,836,173,006,000","197,709,017,471,000","186,531,670,850,000","199,727,378,554,000","215,459,022,994,000","212,080,217,736,000","196,314,903,040,000","197,287,660,930,000","183,745,253,318,000","193,183,037,164,000","220,938,753,472,000","216,220,434,794,000","217,196,612,757,000","219,500,441,976,000","206,303,724,184,000","216,065,883,646,000","200,244,857,144,000","187,054,063,608,000","191,667,226,356,000","175,700,150,001,000","187,226,190,101,000","171,576,889,535,000","172,127,247,333,000","197,428,827,716,000","182,026,790,355,000","171,163,855,472,000","157,441,566,801,000","150,974,243,282,000","142,951,767,030,000","138,721,876,544,000","120,688,764,034,000","107,610,903,834,000","121,002,953,580,000","118,620,576,928,000","129,254,739,500,000","128,718,839,632,000","133,694,854,838,000","138,170,156,553,000","146,852,571,591,000","142,062,273,639,000","123,649,565,886,000","111,524,124,195,000","116,314,422,147,000","113,170,789,116,000","121,254,416,910,000","115,865,331,714,000","116,164,725,336,000","127,092,592,539,000","122,451,991,398,000","111,374,427,384,000","117,362,299,824,000","119,607,751,989,000","105,760,542,240,000","106,201,211,166,000","119,715,058,230,000","113,251,913,982,000","106,348,100,808,000","86,958,668,064,000","81,964,420,236,000","86,958,668,064,000","83,433,316,656,000","70,066,359,234,000","71,829,034,938,000","66,247,228,542,000","71,365,721,328,000","77,386,286,296,000","79,148,402,872,000","75,760,117,944,000","82,807,570,776,000","91,763,708,750,000","108,425,730,543,000","104,036,024,853,000","91,159,554,829,000","81,917,253,600,000","87,037,081,950,000","84,257,746,560,000","82,591,216,360,000","80,398,529,200,000","84,053,007,800,000","86,328,164,304,000","89,687,805,216,000","82,676,380,704,000","78,086,171,635,000","83,778,434,614,000","82,172,924,543,000"
EnterpriseValue,"308,729,216,745,000","308,729,216,745,000","275,362,848,750,000","344,607,701,560,000","343,455,660,180,000","359,633,862,580,000","377,981,600,215,000","386,503,873,125,000","420,384,930,705,000","377,176,013,945,000","368,303,628,790,000","398,581,859,275,000","422,136,099,945,000","433,951,461,245,000","448,401,601,575,000","428,945,113,375,000","435,161,761,935,000","434,317,917,670,000","451,023,972,515,000","448,097,217,135,000","445,359,191,870,000","500,076,814,610,000","507,898,863,030,000","439,800,852,670,000","445,322,475,670,000","428,052,021,405,000","389,188,645,315,000","349,668,501,455,000","337,979,013,595,000","328,283,741,740,000","295,946,752,915,000","280,321,944,000,000","299,507,664,880,000","302,699,048,625,000","290,202,750,760,000","292,756,910,760,000","293,168,354,110,000","265,215,163,950,000","292,839,277,920,000","290,143,089,295,000","266,539,162,956,900","264,110,928,488,600","257,228,538,190,000","242,882,493,380,000","238,209,913,575,000","238,633,800,897,500","223,008,696,432,500","270,046,854,611,300","284,752,912,705,000","279,477,542,346,400","248,201,311,960,000","248,962,867,555,000","239,628,186,727,500","215,007,161,095,000","223,189,800,542,500","228,643,828,125,000","198,940,847,535,000","220,914,547,157,500","210,227,060,732,500","212,707,741,205,000","220,210,342,932,500","171,003,864,410,000","204,197,073,842,500","209,126,227,645,000","240,693,090,042,500","254,154,995,537,500","239,828,288,212,500","240,388,111,212,500","266,910,957,635,000","282,287,230,900,000","261,909,069,469,000","248,323,763,212,000","267,082,582,236,000","284,098,417,122,000","283,236,034,180,000","311,387,216,306,000","341,352,754,542,000","303,590,418,387,000","317,484,625,707,000","288,337,963,146,000","287,537,091,018,000","287,059,487,378,000","218,321,100,062,000","188,900,891,286,000","196,454,751,537,000","176,823,551,924,000","168,621,635,950,000","154,818,921,667,000","149,321,657,158,000","159,847,814,232,000","148,747,068,928,000","132,732,068,785,000","119,988,600,520,000","113,748,969,984,000","123,306,717,320,000","109,491,882,216,000","106,174,689,817,000","122,256,070,283,000","130,804,737,348,000","144,125,020,302,000","107,898,771,312,000","107,476,029,519,000","120,870,230,715,000","133,034,253,330,000","144,002,156,843,000","157,537,000,970,000","161,820,145,427,000","146,924,446,004,000","148,321,087,484,000","142,840,805,768,000","136,482,295,803,000","129,580,262,834,000","119,995,228,916,000","135,287,442,014,000","150,614,618,875,000","147,606,304,662,000","162,043,230,306,000","147,559,591,326,000","147,956,666,006,000","154,493,008,471,000","143,315,661,850,000","156,511,369,554,000","174,650,705,994,000","171,271,900,736,000","155,506,586,040,000","164,246,731,930,000","150,704,324,318,000","162,100,058,164,000","189,855,774,472,000","185,137,455,794,000","194,762,972,757,000","197,066,801,976,000","183,870,084,184,000","193,632,243,646,000","185,372,557,144,000","172,181,763,608,000","182,454,154,356,000","166,487,078,001,000","178,013,118,101,000","160,174,920,535,000","160,725,278,333,000","186,026,858,716,000","181,445,138,114,345","170,582,203,231,345","156,859,914,560,345","141,494,970,282,000","133,472,494,030,000","129,242,603,544,000","111,209,491,034,000","99,628,605,834,000","113,020,655,580,000","110,638,278,928,000","118,581,216,500,000","118,045,316,632,000","123,021,331,838,000","138,114,426,307,727","146,796,841,345,727","142,006,543,393,727","112,993,466,886,000","100,868,025,195,000","105,658,323,147,000","103,228,593,116,000","111,312,220,910,000","105,923,135,714,000","103,891,898,336,000","114,819,765,539,000","110,179,164,398,000","108,634,154,616,205","114,622,027,056,205","116,867,479,221,205","97,196,351,240,000","97,637,020,166,000","111,150,867,230,000","107,380,384,982,000","100,476,571,808,000","81,087,139,064,000","76,907,142,236,000","81,901,390,064,000","78,376,038,656,000","77,843,781,192,111","79,606,456,896,111","74,024,650,500,111","63,502,370,328,000","69,522,935,296,000","71,285,051,872,000","69,596,167,944,000","76,643,620,776,000","85,599,758,750,000","101,439,445,543,000","97,049,739,853,000","84,173,269,829,000","89,794,532,639,312","94,914,360,989,312","92,135,025,599,312","77,325,130,360,000","75,132,443,200,000","80,150,603,800,000","82,425,760,304,000","85,785,401,216,000","79,974,433,704,000","75,384,224,635,000","81,076,487,614,000","82,172,924,543,000"
PeRatio,"9.7",,"8.947","10.579",,"10.925","12.446","12.688","15.174","13.818",,"14.36","16.154",,"16.997","19.328","19.568","19.544",,,,,,"22.119",,,,"18.214",,,,,,,"18.205",,,"16.891",,"18.111",,,"16.515",,"15.954",,"15.236",,"17.814","15.402",,"13.911","13.539",,"9.788",,"7.722","8.33",,"6.98","7.143","5.535","5.985","6.064",,"5.227","4.989",,"7.644","7.99",,"7.847","8.32",,"9.725","10.545",,"10.908","11.351","11.196","12.752",,"11.753","12.167","12.49",,"13.296","12.482","12.169","11.957",,"10.518","9.762",,"9.913","9.327",,"9.077","9.25",,"8.169","8.338","9.073","9.709",,"10.54","10.772",,,"7.999",,"7.498","7.137",,"6.999","6.89",,"6.676","6.676","6.82","6.471","7.022",,"7.498","6.997",,"6.933",,"9.16","9.053",,"10.029","9.406","17.103","15.8","14.721",,"13.855","14.71",,"13.608","15.62",,"13.552","12.44",,"9.501","9.16","7.949","7.041",,"7.817","8.536",,"8.82","8.735","9.283","14.694","12.789",,"12.03","11.705",,"11.984","12.015","13.145","12.665",,,"12.371","19.282",,"21.826","20.648","19.389","15.854",,"15.854","15.212",,,"12.078",,"10.772","11.017",,"11.528","12.775",,"14.533","12.734","11.446","12.162","11.773","10.84","10.553",,"11.339","11.781",,"10.265","11.013",
ForwardPeRatio,"9.843",,"8.347","9.416",,"10.515","10.406","11.161","11.933","10.858",,"10.331","13.175",,"14.62","14.706","14.881","14.97",,,,,,"15.083",,,,"12.453",,,,,,,"10.893",,,"14.771",,"16.208",,,"14.793",,"13.123",,"11.025",,"13.141","13.298",,"11.962","11.641",,"13.369",,"12.048","10.684",,"7.502","7.675","6.031","6.09","5.584",,"6.566","6.266",,"6.78","7.072",,"6.536","6.978",,"7.107","8.703",,"8.21","8.54","9.56","8.993",,"2.255","2.085","2.078",,"2.131","2.067","2.156","2.627",,"2.508","2.264",,"2.348","8.224",,"1.868","1.925",,"9.775","9.407","10.352","11.669",,"13.089","13.793",,,"13.263",,"11.862","14.451",,"12.516","12.346",,"12.438","12.121","12.18","12.048","12.034",,"12.595","11.561",,"10,000",,"12.092","12.376",,"13.158","14.881","15.48","14.025","12.854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,"1.406","1.391","0.938","1.001","0.912",,"0.725","0.923",,"0.992","0.998","1.01","1.009",,,,,,"1.016",,,,"0.839",,,,,,,"0.766",,,"1.038",,"1.212",,,"1.105",,"0.981",,,,,,,,,,,,,"2.302",,"1.448","1.482","1.164","4.034","3.699",,"4.347","6.205",,,,,,,,"0.484","0.593",,"0.559","0.582","1.241","1.166",,"0.434","0.401","0.4",,"0.338","0.364","0.374","0.456",,"0.965","0.871",,"1.555","5.444",,"0.865","0.891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.22",,"1.125","1.33",,"1.374","1.535","1.565","1.584","1.442",,"1.499","1.655",,"1.742","1.88","1.903","1.901",,,,,,"1.844",,,,"1.518",,,,,,,"1.405",,,"1.304",,"1.398",,,"1.275",,"1.235",,"1.18",,"1.461","1.3",,"1.174","1.142",,"1.081",,"1.04","1.122",,"1.105","1.13","0.826","0.893","0.905",,"1.332","1.272",,"1.179","1.233",,"1.19","1.262",,"1.216","1.318",,"1.237","1.287","1.269","1.31",,"1.208","1.184","1.216",,"0.962","0.903","0.88","0.926",,"0.814","0.785",,"0.797","0.758",,"0.816","0.831",,"0.734","0.669","0.727","0.778",,"0.887","0.907",,,"0.724",,"0.679","0.646",,"0.724","0.713",,"0.737","0.737","0.772","0.733","0.706",,"0.754","0.703",,"0.708",,"0.964","0.953",,"1.004","0.942","1.202","1.11","1.034",,"0.974","1.034",,"0.956","1.098",,"0.952","0.874",,"0.842","0.812","0.704","0.624",,"0.693","0.756",,"0.782","0.774","0.823","0.893","0.778",,"0.731","0.712",,"0.729","0.73","0.799","0.77",,,"0.752","0.76",,"0.86","0.813","0.764","0.625",,"0.625","0.599",,,"0.476",,"0.685","0.701",,"0.733","0.813",,"0.924","0.81","0.728","0.774","0.749","0.865","0.842",,"0.905","0.94",,"0.819","0.879",
PbRatio,"1.371",,"1.264","1.495",,"1.544","1.649","1.681","1.845","1.68",,"1.746","1.901",,"2","2.058","2.084","2.081",,,,,,"2.054",,,,"1.692",,,,,,,"1.511",,,"1.402",,"1.503",,,"1.371",,"1.315",,"1.255",,"1.504","1.485",,"1.341","1.305",,"1.233",,"1.176","1.269",,"1.277","1.306","1.122","1.213","1.229",,"1.459","1.393",,"1.596","1.669",,"1.548","1.641",,"1.711","1.855",,"1.65","1.717","1.694","1.697",,"1.564","1.444","1.482",,"1.412","1.325","1.292","1.309",,"1.149","1.078",,"1.094","0.993",,"1.055","1.097",,"0.969","0.967","1.052","1.126",,"1.3","1.329",,,"1.262",,"1.19","1.133",,"1.318","1.297",,"1.352","1.352","1.409","1.337","1.487",,"1.588","1.482",,"1.449",,"1.869","1.847",,"1.989","1.865","2.045","1.888","1.759",,"1.725","1.831",,"1.768","2.029",,"1.861","1.708",,"1.598","1.541","1.337","1.233",,"1.369","1.552",,"1.603","1.619","1.721","1.738","1.513",,"1.423","1.451",,"1.486","1.62","1.773","1.708",,,"1.725","1.657",,"1.876","1.863","1.75","1.431",,"1.481","1.421",,,"1.145",,"1.336","1.366",,"1.478","1.638",,"1.962","1.719","1.593","1.692","1.638","1.679","1.634",,"1.849","1.921",,"1.762","1.891",
EnterprisesValueRevenueRatio,"1.057"
EnterprisesValueEBITDARatio,"3.238"
