name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007
	InterestIncomeNonOperating,"2,885,000,000","430,000,000","719,000,000","500,000,000","1,236,000,000","427,000,000","570,000,000","507,000,000","1,222,000,000","818,000,000","939,000,000","677,000,000","1,811,000,000","1,058,000,000","1,062,000,000","1,531,000,000","2,598,000,000","1,600,000,000","2,093,000,000","2,434,000,000","2,976,000,000","1,489,000,000","2,058,000,000","1,792,000,000","1,804,000,000","897,000,000","1,456,000,000","2,146,000,000","2,101,000,000","5,175,000,000","1,371,000,000","2,349,000,000","1,991,000,000","4,839,000,000","4,205,000,000","2,172,000,000","2,540,000,000","4,656,000,000","3,324,000,000","1,333,000,000","1,079,000,000","3,571,000,000","2,133,000,000","2,730,000,000","2,250,000,000","2,856,000,000","2,427,000,000","1,615,000,000",,,"1,484,000,000","2,988,000,000","749,000,000",,,,,,,,
	InterestExpenseNonOperating,"4,366,000,000","1,113,000,000","1,068,000,000","1,120,000,000","1,065,000,000","1,024,000,000","1,180,000,000","1,223,000,000","1,122,000,000","1,148,000,000","1,166,000,000","1,143,000,000","1,952,000,000","2,028,000,000","2,020,000,000","2,359,000,000","4,156,000,000","7,329,000,000","8,691,000,000","5,311,000,000","4,503,000,000","2,428,000,000","5,284,000,000","4,091,000,000","4,575,000,000","3,963,000,000","5,442,000,000","5,639,000,000","5,709,000,000","5,596,000,000","5,689,000,000","5,583,000,000","8,116,000,000","8,499,000,000","9,013,000,000","8,242,000,000","7,942,000,000","8,419,000,000","7,779,000,000","8,301,000,000","8,193,000,000","9,539,000,000","7,934,000,000","7,116,000,000","7,226,000,000","8,032,000,000","6,964,000,000","8,153,000,000","8,220,000,000","9,862,000,000","9,545,000,000","7,985,000,000","8,343,000,000","7,348,000,000","9,440,000,000","8,876,000,000","8,029,000,000",,"9,567,000,000","11,417,000,000","9,530,000,000"
PretaxIncome,"239,105,000,000","87,052,000,000","69,932,000,000","52,919,000,000","29,202,000,000","80,206,000,000","53,231,000,000","23,681,000,000","-3,630,000,000","58,459,000,000","6,175,000,000","17,535,000,000","-129,708,000,000","511,000,000","-60,160,000,000","42,151,000,000","28,407,000,000","-5,504,000,000","14,241,000,000","189,902,000,000","85,103,000,000","822,548,000,000","-664,541,000,000","60,342,000,000","7,182,000,000","-472,127,000,000","-199,320,000,000","55,590,000,000","-17,288,000,000","1,746,000,000","67,646,000,000","49,949,000,000","17,303,000,000","89,934,000,000","39,113,000,000","34,487,000,000","17,404,000,000","64,510,000,000","48,029,000,000","57,673,000,000","-14,659,000,000","125,752,000,000","-11,544,000,000","39,176,000,000","3,146,000,000","107,578,000,000","135,383,000,000","58,705,000,000","5,913,000,000","66,240,000,000","-109,988,000,000","130,810,000,000","-62,100,000,000","-73,216,000,000","-142,531,000,000","-47,104,000,000","-16,401,000,000","29,305,000,000","149,473,000,000","42,773,000,000","34,007,000,000"
TaxProvision,"24,845,000,000","2,173,000,000","10,249,000,000","6,702,000,000","5,721,000,000","-6,822,000,000","8,065,000,000","6,971,000,000","5,545,000,000","13,106,000,000","5,411,000,000","12,003,000,000","4,600,000,000","-799,000,000","-3,986,000,000","7,195,000,000","13,142,000,000","-63,670,000,000","-21,023,000,000","293,102,000,000","27,829,000,000","-26,580,000,000","107,397,000,000","23,867,000,000","948,000,000","-85,072,000,000","317,895,000,000","26,682,000,000","-5,757,000,000","101,700,000,000","27,058,000,000","19,980,000,000","6,921,000,000","53,546,000,000","21,997,000,000","13,794,000,000","6,962,000,000","32,150,000,000","14,601,000,000","17,529,000,000","-4,453,000,000","52,451,000,000","-1,553,000,000","13,242,000,000","1,063,000,000","8,083,000,000","26,610,000,000","23,705,000,000","2,389,000,000","13,320,000,000","-11,391,000,000","35,139,000,000","-7,380,000,000","91,822,000,000","-9,493,000,000","-21,396,000,000","-6,610,000,000","21,564,000,000","65,134,000,000","14,651,000,000","12,031,000,000"
NetIncomeCommonStockholders,"194,651,000,000","79,732,000,000","55,124,000,000","41,799,000,000","17,996,000,000","70,368,000,000","40,119,000,000","14,841,000,000","-11,348,000,000","30,993,000,000","-480,000,000","-4,918,000,000","-140,228,000,000","-8,367,000,000","-60,513,000,000","65,408,000,000","1,016,728,000,000","776,969,000,000","76,827,000,000","-100,111,000,000","50,326,000,000","-433,151,000,000","-647,821,000,000","35,506,000,000","79,803,000,000","19,422,000,000","-516,728,000,000","49,564,000,000","-12,271,000,000","-109,736,000,000","41,063,000,000","21,904,000,000","8,944,000,000","12,151,000,000","17,143,000,000","16,229,000,000","5,303,000,000","23,012,000,000","29,324,000,000","42,986,000,000","-12,105,000,000","64,873,000,000","-11,505,000,000","22,199,000,000","470,000,000","97,658,000,000","97,893,000,000","27,350,000,000","466,000,000","48,597,000,000","-96,156,000,000","85,616,000,000","-57,800,000,000","-183,962,000,000","-121,143,000,000","-26,849,000,000","-11,605,000,000","1,251,000,000","80,505,000,000","25,025,000,000","20,632,000,000"
	NetIncome,"194,651,000,000","79,732,000,000","55,124,000,000","41,799,000,000","17,996,000,000","70,368,000,000","40,119,000,000","14,841,000,000","-11,348,000,000","30,993,000,000","-480,000,000","-4,918,000,000","-140,228,000,000","-8,367,000,000","-60,513,000,000","65,408,000,000","1,016,728,000,000","776,969,000,000","76,827,000,000","-100,111,000,000","50,326,000,000","-433,151,000,000","-647,821,000,000","35,506,000,000","79,803,000,000","19,422,000,000","-516,728,000,000","49,564,000,000","-12,271,000,000","-109,736,000,000","41,063,000,000","21,904,000,000","8,944,000,000","12,151,000,000","17,143,000,000","16,229,000,000","5,303,000,000","23,012,000,000","29,324,000,000","42,986,000,000","-12,105,000,000","64,873,000,000","-11,505,000,000","22,199,000,000","470,000,000","97,658,000,000","97,893,000,000","27,350,000,000","466,000,000","48,597,000,000","-96,156,000,000","85,616,000,000","-57,800,000,000","-183,962,000,000","-121,143,000,000","-26,849,000,000","-11,605,000,000","1,251,000,000","80,505,000,000","25,025,000,000","20,632,000,000"
		NetIncomeIncludingNoncontrollingInterests,"214,260,000,000","84,879,000,000","59,683,000,000","46,217,000,000","23,481,000,000","79,300,000,000","45,166,000,000","16,710,000,000","-9,175,000,000","31,559,000,000","764,000,000","5,532,000,000","-134,308,000,000","-2,462,000,000","-56,514,000,000","71,563,000,000","1,023,010,000,000","781,533,000,000","94,587,000,000","-93,010,000,000","57,274,000,000","-532,345,000,000","-751,851,000,000","41,008,000,000","82,987,000,000","-16,197,000,000","-517,215,000,000","28,908,000,000","-11,531,000,000","-99,954,000,000","40,588,000,000","29,969,000,000","10,382,000,000","21,367,000,000","17,116,000,000","20,693,000,000","10,442,000,000","32,360,000,000","33,428,000,000","40,144,000,000","-10,206,000,000","72,649,000,000","-10,293,000,000","25,552,000,000","2,124,000,000","98,864,000,000","100,948,000,000","29,886,000,000","3,472,000,000","55,372,000,000","-94,023,000,000","88,144,000,000","-54,786,000,000","-165,038,000,000","-133,038,000,000","-25,708,000,000","-9,791,000,000","7,741,000,000","84,339,000,000","28,122,000,000","21,976,000,000"
			NetIncomeContinuousOperations,"214,260,000,000","84,879,000,000","59,683,000,000","46,217,000,000","23,481,000,000","87,028,000,000","45,166,000,000","16,710,000,000","-9,175,000,000","45,353,000,000","764,000,000","5,532,000,000","-134,308,000,000","1,310,000,000","-56,174,000,000","34,956,000,000","15,265,000,000","58,166,000,000","35,264,000,000","-103,200,000,000","57,274,000,000","849,128,000,000","-771,938,000,000","36,475,000,000","6,234,000,000","-387,055,000,000","-517,215,000,000","28,908,000,000","-11,531,000,000","-99,954,000,000","40,588,000,000","29,969,000,000","10,382,000,000","36,388,000,000","17,116,000,000","20,693,000,000","10,442,000,000","32,360,000,000","33,428,000,000","40,144,000,000","-10,206,000,000","73,301,000,000","-9,991,000,000","25,934,000,000","2,083,000,000","99,495,000,000","108,773,000,000","35,000,000,000","3,524,000,000","52,920,000,000","-98,597,000,000","95,671,000,000","-54,720,000,000","-161,243,000,000","-133,038,000,000","-25,708,000,000","-9,791,000,000","7,741,000,000","84,339,000,000","28,122,000,000","21,976,000,000"
			NetIncomeDiscontinuousOperations,"0",,,,,,,,,,,,,"-3,772,000,000","-340,000,000","36,607,000,000","1,007,745,000,000","723,367,000,000","59,323,000,000","10,190,000,000",,"-1,381,473,000,000","20,087,000,000","4,533,000,000","76,753,000,000",,,,,,,,,,,,,"0","0","0","0","-652,000,000","-302,000,000","-382,000,000","41,000,000","-631,000,000","-7,825,000,000","-5,114,000,000","-52,000,000","2,452,000,000","4,574,000,000","-7,527,000,000","-66,000,000",,,,,,,,
		MinorityInterests,"-19,609,000,000","-5,147,000,000","-4,559,000,000","-4,418,000,000","-5,485,000,000","-8,931,000,000","-5,047,000,000","-1,869,000,000","-2,173,000,000","-566,000,000","-1,244,000,000","-10,450,000,000","-5,920,000,000","-5,905,000,000","-3,999,000,000","-6,155,000,000","-6,282,000,000","-4,564,000,000","-17,760,000,000","-7,101,000,000","-6,948,000,000","99,194,000,000","104,030,000,000","-5,502,000,000","-3,184,000,000","35,619,000,000","487,000,000","20,656,000,000","-740,000,000","-9,782,000,000","475,000,000","-8,065,000,000","-1,438,000,000","-9,216,000,000","27,000,000","-4,464,000,000","-5,139,000,000","-9,348,000,000","-4,104,000,000","2,842,000,000","-1,899,000,000","-7,776,000,000","-1,212,000,000","-3,353,000,000","-1,654,000,000","-1,206,000,000","-3,055,000,000","-2,536,000,000","-3,006,000,000","-6,775,000,000","-2,133,000,000","-2,528,000,000","-3,014,000,000","-5,145,000,000","11,895,000,000","-1,141,000,000","-1,814,000,000","-6,490,000,000","-3,834,000,000","-3,097,000,000","-1,344,000,000"
