name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
		OtherCurrentAssets,"360,569,000,000","283,372,000,000","345,786,000,000","425,949,000,000","351,596,000,000","214,849,000,000","249,525,000,000","284,241,000,000","280,256,000,000","248,128,000,000","440,929,000,000","427,773,000,000","295,759,000,000","200,273,000,000","227,560,000,000","165,280,000,000","189,787,000,000","151,024,000,000","27,726,000,000","17,633,000,000","18,770,000,000","10,001,000,000","48,387,000,000","10,339,000,000","13,539,000,000","15,836,000,000","49,587,000,000","45,081,000,000","43,976,000,000","106,728,000,000","56,570,000,000","53,450,000,000","65,640,000,000","63,960,000,000","47,199,000,000","59,760,000,000","101,235,000,000","51,424,000,000","47,064,000,000","87,674,000,000","68,181,000,000","14,315,000,000","51,141,000,000","56,705,000,000","48,043,000,000","7,813,000,000","154,911,000,000","132,870,000,000","118,187,000,000","897,000,000","1,506,000,000","1,947,000,000","1,576,000,000","1,619,000,000","4,931,000,000","9,168,000,000","8,110,000,000","902,000,000","2,335,000,000","10,466,000,000","3,141,000,000"
	TotalNonCurrentAssets,"31,652,783,000,000","30,721,482,000,000","29,285,220,000,000","27,618,776,000,000","25,764,628,000,000","25,069,194,000,000","24,140,718,000,000","23,600,784,000,000","23,126,702,000,000","22,154,702,000,000","20,670,600,000,000","19,134,360,000,000","18,014,048,000,000","16,855,625,000,000","14,981,570,000,000","14,772,264,000,000","14,161,852,000,000","13,835,640,000,000","12,961,586,000,000","12,721,049,000,000","12,522,210,000,000","11,260,126,000,000","10,763,384,000,000","10,866,144,000,000","9,915,208,000,000","9,923,123,000,000","10,033,357,000,000","10,166,296,000,000","10,055,435,000,000","9,980,825,000,000","9,692,284,000,000","9,562,288,000,000","9,421,625,000,000","9,414,847,000,000","9,378,468,000,000","9,467,396,000,000","9,258,409,000,000","9,128,215,000,000","8,909,617,000,000","8,683,287,000,000","8,343,779,000,000","8,029,342,000,000","7,548,008,000,000","7,117,294,000,000","6,714,873,000,000","6,381,782,000,000","5,933,375,000,000","5,738,022,000,000","5,473,018,000,000",,"4,606,323,000,000","4,573,159,000,000","4,979,781,000,000",,"4,719,237,000,000","4,407,067,000,000","4,227,722,000,000",,"4,022,184,000,000","4,001,093,000,000","3,922,469,000,000"
		NetPPE,"25,232,426,000,000","24,378,259,000,000","22,793,052,000,000","21,851,947,000,000","21,119,270,000,000","20,567,475,000,000","20,157,060,000,000","19,677,458,000,000","19,483,246,000,000","18,593,642,000,000","17,267,112,000,000","15,863,283,000,000","14,823,767,000,000","13,839,198,000,000","12,247,688,000,000","12,077,767,000,000","11,518,116,000,000","11,211,482,000,000","10,313,725,000,000","10,157,089,000,000","9,996,018,000,000","9,680,133,000,000","9,280,793,000,000","9,381,351,000,000","8,813,959,000,000","8,867,209,000,000","8,880,686,000,000","9,002,318,000,000","8,796,031,000,000","8,699,536,000,000","8,500,827,000,000","8,431,784,000,000","8,508,338,000,000","8,559,609,000,000","8,541,328,000,000","8,650,254,000,000","8,459,880,000,000","8,348,178,000,000","8,134,530,000,000","7,976,023,000,000","7,665,938,000,000","7,375,955,000,000","6,967,237,000,000","6,555,213,000,000","6,174,380,000,000","5,872,040,000,000","5,391,927,000,000","5,207,871,000,000","4,982,344,000,000","3,860,280,000,000","3,746,267,000,000","3,683,908,000,000","3,942,019,000,000","3,867,666,000,000","3,818,058,000,000","3,692,600,000,000","3,572,784,000,000","3,621,800,000,000","3,033,724,000,000","3,071,533,000,000","3,110,590,000,000"
			GrossPPE,"25,232,426,000,000","41,387,330,000,000","22,793,052,000,000","21,851,947,000,000","36,243,389,000,000","35,260,869,000,000","34,895,948,000,000","33,987,098,000,000","33,844,067,000,000","32,373,328,000,000","30,671,888,000,000","28,930,461,000,000","27,636,907,000,000","26,262,628,000,000","24,448,735,000,000","24,090,189,000,000","23,253,748,000,000","22,584,216,000,000","21,633,403,000,000","21,347,990,000,000","20,909,825,000,000","20,226,509,000,000","19,382,667,000,000","19,388,509,000,000","18,476,357,000,000","18,250,879,000,000","18,145,218,000,000","18,000,302,000,000","17,603,311,000,000","17,231,110,000,000","16,747,294,000,000","16,348,588,000,000","16,231,450,000,000","16,113,782,000,000","15,862,075,000,000","15,805,071,000,000","15,330,149,000,000","14,960,184,000,000","14,568,724,000,000","14,233,428,000,000","13,738,039,000,000","13,271,221,000,000","12,721,044,000,000","12,007,716,000,000","11,675,145,000,000","11,256,820,000,000","5,391,927,000,000","5,207,871,000,000","4,982,344,000,000","3,860,280,000,000","7,656,495,000,000","7,505,422,000,000","8,189,837,000,000","8,063,602,000,000","7,932,018,000,000","7,727,716,000,000","7,534,498,000,000","7,533,027,000,000","6,599,534,000,000","6,564,539,000,000","6,527,334,000,000"
				Properties,,"0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"0","0","0",,"0","0","0",,"0","0","0"
				LandAndImprovements,,"1,888,589,000,000",,,"1,781,881,000,000","1,772,039,000,000","1,808,175,000,000","1,808,879,000,000","1,796,473,000,000","1,796,480,000,000","1,801,375,000,000","1,670,767,000,000","1,660,542,000,000","1,657,105,000,000","1,644,976,000,000","1,647,352,000,000","1,605,888,000,000","1,605,247,000,000","1,592,904,000,000","1,591,776,000,000","1,569,418,000,000","1,507,154,000,000","1,322,599,000,000","1,324,215,000,000","911,868,000,000","912,108,000,000","912,370,000,000","911,936,000,000","911,811,000,000","911,867,000,000","820,370,000,000","820,236,000,000","819,358,000,000","813,367,000,000","738,030,000,000","735,235,000,000","735,270,000,000","712,238,000,000","693,627,000,000","693,171,000,000","647,900,000,000","604,869,000,000","605,288,000,000","443,336,000,000","443,404,000,000","443,411,000,000",,,,"426,305,000,000","425,929,000,000","426,110,000,000","497,987,000,000","498,231,000,000","499,728,000,000","497,460,000,000","497,468,000,000","497,823,000,000","426,403,000,000","428,671,000,000","430,183,000,000"
				BuildingsAndImprovements,,"6,604,140,000,000",,,"6,022,651,000,000","5,794,729,000,000","5,748,049,000,000","5,732,540,000,000","5,409,472,000,000","4,769,924,000,000","4,565,445,000,000","4,529,427,000,000","4,291,403,000,000","3,959,198,000,000","3,801,648,000,000","3,763,830,000,000","3,512,706,000,000","3,438,000,000,000","3,068,528,000,000","2,948,325,000,000","2,905,863,000,000","2,796,650,000,000","2,684,369,000,000","2,624,686,000,000","2,569,709,000,000","2,539,113,000,000","2,542,182,000,000","2,508,020,000,000","2,474,628,000,000","2,436,140,000,000","2,387,517,000,000","2,341,515,000,000","2,339,590,000,000","2,279,332,000,000","2,190,062,000,000","2,148,443,000,000","2,085,387,000,000","1,981,069,000,000","1,944,141,000,000","1,881,508,000,000","1,818,439,000,000","1,765,429,000,000","1,683,256,000,000","1,593,067,000,000","1,501,786,000,000","1,475,425,000,000",,,,"842,384,000,000","1,021,593,000,000","1,001,293,000,000","1,105,137,000,000","1,092,373,000,000","1,037,062,000,000","1,004,472,000,000","995,195,000,000","1,015,083,000,000","958,537,000,000","951,725,000,000","950,498,000,000"
				MachineryFurnitureEquipment,,"25,898,991,000,000",,,"21,404,728,000,000","20,940,604,000,000","20,849,658,000,000","19,802,680,000,000","20,006,550,000,000","19,003,069,000,000","18,440,369,000,000","17,975,733,000,000","16,545,831,000,000","16,107,981,000,000","15,527,628,000,000","15,254,736,000,000","15,035,684,000,000","14,635,284,000,000","14,559,974,000,000","14,484,679,000,000","14,365,400,000,000","14,026,693,000,000","13,492,255,000,000","13,449,537,000,000","13,100,023,000,000","12,889,468,000,000","12,856,340,000,000","12,352,823,000,000","12,106,963,000,000","11,923,818,000,000","11,406,570,000,000","11,119,936,000,000","11,059,070,000,000","10,977,237,000,000","10,586,448,000,000","10,509,468,000,000","10,300,221,000,000","9,659,826,000,000","9,017,205,000,000","8,799,889,000,000","8,510,551,000,000","8,254,952,000,000","8,052,961,000,000","7,702,210,000,000","7,582,081,000,000","7,516,847,000,000",,,,"2,066,830,000,000","5,224,890,000,000","5,076,711,000,000","5,671,253,000,000","6,105,515,000,000","5,515,963,000,000","5,358,102,000,000","5,194,530,000,000","5,700,543,000,000","4,605,629,000,000","4,578,749,000,000","4,360,958,000,000"
				OtherProperties,"25,232,426,000,000","3,073,609,000,000","22,793,052,000,000","21,851,947,000,000","2,756,598,000,000","2,438,793,000,000","2,384,934,000,000","2,333,792,000,000","2,410,809,000,000","2,343,038,000,000","2,160,769,000,000","2,094,238,000,000","1,917,450,000,000","1,722,952,000,000","1,442,420,000,000","1,426,492,000,000","1,416,552,000,000","1,401,968,000,000","1,457,101,000,000","1,428,099,000,000","1,399,744,000,000","1,384,868,000,000","1,334,429,000,000","1,384,195,000,000","1,356,871,000,000","1,334,592,000,000","1,346,891,000,000","1,295,461,000,000","1,245,861,000,000","1,230,711,000,000","1,145,882,000,000","1,166,760,000,000","1,167,421,000,000","1,145,710,000,000","1,109,579,000,000","1,097,860,000,000","1,076,744,000,000","1,011,840,000,000","1,001,107,000,000","982,350,000,000","868,868,000,000","849,572,000,000","829,963,000,000","799,776,000,000","725,696,000,000","726,668,000,000","5,391,927,000,000","5,207,871,000,000","4,982,344,000,000","10,666,000,000","506,184,000,000","503,121,000,000","511,613,000,000","0","507,205,000,000","503,764,000,000","505,490,000,000","12,935,000,000","394,712,000,000","390,676,000,000","386,139,000,000"
				ConstructionInProgress,,"3,922,001,000,000",,,"4,277,531,000,000","4,314,704,000,000","4,105,132,000,000","4,309,207,000,000","4,220,763,000,000","4,460,817,000,000","3,703,930,000,000","2,660,296,000,000","3,221,681,000,000","2,815,392,000,000","2,032,063,000,000","1,997,779,000,000","1,682,918,000,000","1,503,717,000,000","954,896,000,000","895,111,000,000","669,400,000,000","511,144,000,000","549,015,000,000","605,876,000,000","537,886,000,000","575,598,000,000","487,435,000,000","932,062,000,000","864,048,000,000","728,574,000,000","986,955,000,000","900,141,000,000","846,011,000,000","898,136,000,000","1,237,956,000,000","1,314,065,000,000","1,132,527,000,000","1,595,211,000,000","1,912,644,000,000","1,876,510,000,000","1,892,281,000,000","1,796,399,000,000","1,549,576,000,000","1,469,327,000,000","1,422,178,000,000","1,094,469,000,000",,,,"514,095,000,000","477,899,000,000","498,187,000,000","403,847,000,000","367,483,000,000","372,060,000,000","363,918,000,000","341,815,000,000","306,643,000,000","214,253,000,000","214,718,000,000","399,556,000,000"
